,0,거래금액,건축년도,년,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,도로명
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,
2,건축년도,,,,,,,,,,,,,,,,,,,,,,,,,,
3,년,,,,,,,,,,,,,,,,,,,,,,,,,,
4,도로명,,,,,,,,,,,,,,,,,,,,,,,,,,
5,도로명건물본번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
6,도로명건물부번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
7,도로명시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
8,도로명일련번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
9,도로명지상지하코드,,,,,,,,,,,,,,,,,,,,,,,,,,
10,도로명코드,,,,,,,,,,,,,,,,,,,,,,,,,,
11,법정동,,,,,,,,,,,,,,,,,,,,,,,,,,
12,법정동본번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
13,법정동부번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
14,법정동시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
15,법정동읍면동코드,,,,,,,,,,,,,,,,,,,,,,,,,,
16,법정동지번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
17,아파트,,,,,,,,,,,,,,,,,,,,,,,,,,
18,월,,,,,,,,,,,,,,,,,,,,,,,,,,
19,일,,,,,,,,,,,,,,,,,,,,,,,,,,
20,일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,
21,전용면적,,,,,,,,,,,,,,,,,,,,,,,,,,
22,지번,,,,,,,,,,,,,,,,,,,,,,,,,,
23,지역코드,,,,,,,,,,,,,,,,,,,,,,,,,,
24,층,,,,,,,,,,,,,,,,,,,,,,,,,,
25,해제사유발생일,,,,,,,,,,,,,,,,,,,,,,,,,,
26,해제여부,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"15,200",1986,2017,00105,00009,41390,01,0,3199025,대야동,0344,0000,41390,10100,1,현대,9,4,41390-15,50.55,344,41390,1,,,
28,,"14,900",1987,2017,00007,00000,41390,01,0,4397266,대야동,0274,0024,41390,10100,1,영남2,9,4,41390-196,37.47,274-24,41390,4,,,복지로120번길
29,,"25,600",1997,2017,00047,00001,41390,01,0,4397301,대야동,0547,0000,41390,10100,1,청구2,9,5,41390-14,59.835,547,41390,11,,,비둘기공원7길
30,,"28,000",1997,2017,00232,00000,41390,01,0,3199071,대야동,0564,0000,41390,10100,1,서강2,9,9,41390-195,84.99,564,41390,10,,,은행로
31,,"13,300",1987,2017,00007,00000,41390,01,0,4397266,대야동,0274,0024,41390,10100,1,영남2,9,9,41390-196,37.47,274-24,41390,6,,,복지로120번길
32,,"26,500",1992,2017,00013,00000,41390,01,0,4397514,대야동,0278,0000,41390,10100,1,벽산,9,11,41390-2,84.955,278,41390,2,,,은행로216번길
33,,"24,200",1995,2017,00208,00000,41390,01,0,3199071,대야동,0569,0001,41390,10100,1,우성2,9,11,41390-11,59.96,569-1,41390,19,,,은행로
34,,"17,000",1986,2017,00015,00004,41390,00,0,4397266,대야동,0274,0003,41390,10100,1,영남1,9,11,41390-8,39.84,274-3,41390,2,,,복지로120번길
