,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,0,,,,,,,,,,,,,,,,,,,,,,,,,
1,거래금액,,,,,,,,,,,,,,,,,,,,,,,,,
2,건축년도,,,,,,,,,,,,,,,,,,,,,,,,,
3,년,,,,,,,,,,,,,,,,,,,,,,,,,
4,도로명,,,,,,,,,,,,,,,,,,,,,,,,,
5,도로명건물본번호코드,,,,,,,,,,,,,,,,,,,,,,,,,
6,도로명건물부번호코드,,,,,,,,,,,,,,,,,,,,,,,,,
7,도로명시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,
8,도로명일련번호코드,,,,,,,,,,,,,,,,,,,,,,,,,
9,도로명지상지하코드,,,,,,,,,,,,,,,,,,,,,,,,,
10,도로명코드,,,,,,,,,,,,,,,,,,,,,,,,,
11,법정동,,,,,,,,,,,,,,,,,,,,,,,,,
12,법정동본번코드,,,,,,,,,,,,,,,,,,,,,,,,,
13,법정동부번코드,,,,,,,,,,,,,,,,,,,,,,,,,
14,법정동시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,
15,법정동읍면동코드,,,,,,,,,,,,,,,,,,,,,,,,,
16,법정동지번코드,,,,,,,,,,,,,,,,,,,,,,,,,
17,아파트,,,,,,,,,,,,,,,,,,,,,,,,,
18,월,,,,,,,,,,,,,,,,,,,,,,,,,
19,일,,,,,,,,,,,,,,,,,,,,,,,,,
20,일련번호,,,,,,,,,,,,,,,,,,,,,,,,,
21,전용면적,,,,,,,,,,,,,,,,,,,,,,,,,
22,지번,,,,,,,,,,,,,,,,,,,,,,,,,
23,지역코드,,,,,,,,,,,,,,,,,,,,,,,,,
24,층,,,,,,,,,,,,,,,,,,,,,,,,,
25,해제사유발생일,,,,,,,,,,,,,,,,,,,,,,,,,
26,해제여부,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"17,500",2017,2017,중앙2길,00006,00000,47720,00,0,4742250,군위읍 서부리,0214,0000,47720,25022,1,부국군위아파트,9,19,59.5646,214,47720,6,,
28,,"17,000",2017,2017,중앙2길,00006,00000,47720,00,0,4742250,군위읍 서부리,0214,0000,47720,25022,1,부국군위아파트,9,19,59.5646,214,47720,7,,
29,,"11,000",2017,2017,중앙2길,00006,00000,47720,00,0,4742250,군위읍 서부리,0214,0000,47720,25022,1,부국군위아파트,9,20,59.5646,214,47720,5,,
30,,"11,000",2017,2017,중앙2길,00006,00000,47720,01,0,4742250,군위읍 서부리,0214,0000,47720,25022,1,부국군위아파트,9,20,59.5646,214,47720,10,,
31,,"11,000",2017,2017,중앙2길,00006,00000,47720,00,0,4742250,군위읍 서부리,0214,0000,47720,25022,1,부국군위아파트,9,20,59.5646,214,47720,9,,
32,,"11,000",2017,2017,중앙2길,00006,00000,47720,01,0,4742250,군위읍 서부리,0214,0000,47720,25022,1,부국군위아파트,9,20,59.5646,214,47720,8,,
33,,"11,000",2017,2017,중앙2길,00006,00000,47720,00,0,4742250,군위읍 서부리,0214,0000,47720,25022,1,부국군위아파트,9,23,59.5646,214,47720,9,,
34,,"11,000",2017,2017,중앙2길,00006,00000,47720,01,0,4742250,군위읍 서부리,0214,0000,47720,25022,1,부국군위아파트,9,25,59.5646,214,47720,4,,
35,,"11,000",2017,2017,중앙2길,00006,00000,47720,01,0,4742250,군위읍 서부리,0214,0000,47720,25022,1,부국군위아파트,9,25,59.5646,214,47720,8,,
36,,"11,000",2017,2017,중앙2길,00006,00000,47720,01,0,4742250,군위읍 서부리,0214,0000,47720,25022,1,부국군위아파트,9,25,59.5646,214,47720,7,,
37,,"11,000",2017,2017,중앙2길,00006,00000,47720,01,0,4742250,군위읍 서부리,0214,0000,47720,25022,1,부국군위아파트,9,25,59.5646,214,47720,7,,
38,,"11,000",2017,2017,중앙2길,00006,00000,47720,01,0,4742250,군위읍 서부리,0214,0000,47720,25022,1,부국군위아파트,9,25,59.5646,214,47720,4,,
39,,"11,000",2017,2017,중앙2길,00006,00000,47720,01,0,4742250,군위읍 서부리,0214,0000,47720,25022,1,부국군위아파트,9,25,59.5646,214,47720,6,,
40,,"11,000",2017,2017,중앙2길,00006,00000,47720,01,0,4742250,군위읍 서부리,0214,0000,47720,25022,1,부국군위아파트,9,26,59.5646,214,47720,6,,
41,,"11,000",2017,2017,중앙2길,00006,00000,47720,01,0,4742250,군위읍 서부리,0214,0000,47720,25022,1,부국군위아파트,9,26,59.5646,214,47720,10,,
