,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,도로명지상지하코드
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"23,300",1992,2017,동문로,00068,00000,47130,00,3305073,성동동,0228,0002,47130,10400,1,장미동산타워,4,20,47130-2,111.33,228-2,47130,2,,,
2,,"10,500",1992,2017,동문로,00068,00000,47130,00,3305073,성동동,0228,0002,47130,10400,1,장미동산타워,4,20,47130-2,61.92,228-2,47130,7,,,
3,,"6,900",1983,2017,동문로,00054,00000,47130,03,3305073,성동동,0232,0005,47130,10400,1,수송,4,26,47130-130,58.14,232-5,47130,5,,,0
4,,"16,800",2016,2017,태종로699번길,00029,00001,47130,00,4716211,노서동,0176,0032,47130,10700,1,가나아파트3차,4,5,47130-1077,58.6133,176-32,47130,3,,,0
5,,"15,200",2016,2017,태종로699번길,00029,00001,47130,00,4716211,노서동,0176,0032,47130,10700,1,가나아파트3차,4,21,47130-1077,58.6133,176-32,47130,4,,,0
6,,"2,800",1997,2017,국민주택길34번길,00003,00000,47130,01,4715150,성건동,0620,0636,47130,10800,1,대신유니하우스,4,1,47130-123,21,620-636,47130,5,,,0
7,,"13,300",2016,2017,원효로45번길,00010,00000,47130,01,4715967,성건동,0342,0039,47130,10800,1,이룸찬B동,4,5,47130-1056,44.4324,342-39,47130,6,,,0
8,,"2,800",1997,2017,국민주택길34번길,00003,00000,47130,01,4715150,성건동,0620,0636,47130,10800,1,대신유니하우스,4,24,47130-123,21,620-636,47130,4,,,0
9,,"4,500",1985,2017,동성로,00018,00000,47130,04,3305016,성건동,0383,0002,47130,10800,1,장미3동,4,26,47130-203,54.63,383-2,47130,5,,,0
10,,"2,500",1997,2017,충효1길,00034,00000,47130,01,4716174,충효동,0079,0000,47130,11400,1,대신유니하우스,4,5,47130-19,21,79,47130,2,,,0
11,,"17,500",2004,2017,충효1길,00022,00005,47130,00,4716174,충효동,0044,0003,47130,11400,1,삼정그린뷰경주본가1단지,4,7,47130-132,72.4961,44-3,47130,3,,,0
12,,"13,300",1996,2017,충효5길,00030,00000,47130,01,4716178,충효동,0371,0002,47130,11400,1,충효에덴타운,4,14,47130-318,84.97,371-2,47130,15,,,0
13,,"3,150",1996,2017,충효녹지길,00134,00009,47130,00,4716182,충효동,2935,0000,47130,11400,1,대신그린타운,4,15,47130-14,24.34,2935,47130,1,,,
14,,"3,580",1996,2017,충효녹지길,00134,00009,47130,00,4716182,충효동,2935,0000,47130,11400,1,대신그린타운,4,19,47130-14,24.34,2935,47130,8,,,
15,,"13,600",1996,2017,충효5길,00013,00000,47130,00,4716178,충효동,2942,0000,47130,11400,1,대우2차,4,20,47130-16,59.998,2942,47130,10,,,
16,,"26,500",2015,2017,충효1길,00008,00000,47130,00,4716174,충효동,3022,0000,47130,11400,1,경주 충효 신원아침도시,4,20,47130-1020,84.7199,3022,47130,4,,,0
17,,"10,400",1996,2017,충효5길,00013,00000,47130,00,4716178,충효동,2942,0000,47130,11400,1,대우2차,4,20,47130-16,59.998,2942,47130,2,,,
18,,"15,000",1996,2017,충효5길,00013,00000,47130,00,4716178,충효동,2942,0000,47130,11400,1,대우2차,4,21,47130-16,84.954,2942,47130,2,,,
19,,"11,500",1996,2017,충효5길,00013,00000,47130,00,4716178,충효동,2942,0000,47130,11400,1,대우2차,4,21,47130-16,59.998,2942,47130,12,,,
20,,"12,000",1996,2017,충효녹지길,00134,00009,47130,00,4716182,충효동,2935,0000,47130,11400,1,대신그린타운,4,26,47130-14,84.86,2935,47130,1,,,
21,,"14,500",1996,2017,충효5길,00013,00000,47130,00,4716178,충효동,2942,0000,47130,11400,1,대우2차,4,27,47130-16,84.954,2942,47130,10,,,
22,,"10,200",1995,2017,충효2길,00040,00001,47130,00,4716175,충효동,0057,0001,47130,11400,1,삼보마을1차,4,27,47130-17,59.945,57-1,47130,1,,,
23,,"11,500",1996,2017,충효녹지길,00142,00009,47130,00,4716182,충효동,2927,0000,47130,11400,1,대우1차,4,29,47130-15,59.964,2927,47130,15,,,
24,,"40,000",2010,2017,태종로,00399,00000,47130,06,3305061,충효동,0053,0001,47130,11400,5,이안,4,29,47130-924,149.5675,BL-53-1,47130,12,,,0
25,,"19,500",2010,2017,능원길,00022,00000,47130,01,4715250,도지동,1018,0000,47130,11900,1,코아루그랑블,4,17,47130-932,84.9983,1018,47130,12,,,0
26,,"19,750",1998,2017,황성로,00060,00000,47130,00,3305067,황성동,0277,0006,47130,12400,1,황성현대5,4,3,47130-47,84.6,277-6,47130,6,,,
27,,"38,500",2009,2017,광중길,00073,00016,47130,01,4715107,황성동,1163,0000,47130,12400,1,현진에버빌1차,4,5,47130-913,123.878,1163,47130,15,,,0
28,,"41,900",2009,2017,광중길,00073,00016,47130,01,4715107,황성동,1163,0000,47130,12400,1,현진에버빌1차,4,5,47130-913,162.06,1163,47130,6,,,0
29,,"37,500",2009,2017,광중길,00073,00016,47130,01,4715107,황성동,1163,0000,47130,12400,1,현진에버빌1차,4,6,47130-913,118.96,1163,47130,8,,,0
30,,"11,000",1992,2017,황성로69번길,00005,00000,47130,01,4716328,황성동,0273,0001,47130,12400,1,청우2차(102동),4,7,47130-42,66.04,273-1,47130,3,,,0
31,,"11,500",1992,2017,황성로69번길,00005,00000,47130,01,4716328,황성동,0273,0001,47130,12400,1,청우2차(102동),4,7,47130-42,66.04,273-1,47130,6,,,0
32,,"11,500",1995,2017,용담로54번길,00029,00006,47130,01,4715899,황성동,0315,0012,47130,12400,1,삼보타운5차(108동),4,8,47130-28,59.9,315-12,47130,10,,,0
33,,"9,500",1991,2017,용담로116번길,00015,00000,47130,01,4715898,황성동,0893,0000,47130,12400,1,황성주공2차,4,8,47130-50,39.3,893,47130,2,,,0
34,,"9,100",1997,2017,황성로69번길,00003,00000,47130,00,4716328,황성동,0241,0004,47130,12400,1,청우3차(301~303동),4,9,47130-39,44.675,241-4,47130,11,,,
35,,"16,500",1997,2017,황성로69번길,00010,00000,47130,01,4716328,황성동,0241,0004,47130,12400,1,청우3차(301~303동),4,11,47130-39,84.745,241-4,47130,13,,,0
