,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,
2,건축년도,,,,,,,,,,,,,,,,,,,,,,,,,,
3,년,,,,,,,,,,,,,,,,,,,,,,,,,,
4,도로명,,,,,,,,,,,,,,,,,,,,,,,,,,
5,도로명건물본번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
6,도로명건물부번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
7,도로명시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
8,도로명일련번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
9,도로명지상지하코드,,,,,,,,,,,,,,,,,,,,,,,,,,
10,도로명코드,,,,,,,,,,,,,,,,,,,,,,,,,,
11,법정동,,,,,,,,,,,,,,,,,,,,,,,,,,
12,법정동본번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
13,법정동부번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
14,법정동시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
15,법정동읍면동코드,,,,,,,,,,,,,,,,,,,,,,,,,,
16,법정동지번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
17,아파트,,,,,,,,,,,,,,,,,,,,,,,,,,
18,월,,,,,,,,,,,,,,,,,,,,,,,,,,
19,일,,,,,,,,,,,,,,,,,,,,,,,,,,
20,일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,
21,전용면적,,,,,,,,,,,,,,,,,,,,,,,,,,
22,지번,,,,,,,,,,,,,,,,,,,,,,,,,,
23,지역코드,,,,,,,,,,,,,,,,,,,,,,,,,,
24,층,,,,,,,,,,,,,,,,,,,,,,,,,,
25,해제사유발생일,,,,,,,,,,,,,,,,,,,,,,,,,,
26,해제여부,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"4,500",2002,2017,신남로54번길,00026,00000,42810,01,0,4499105,남면 신남리,0308,0000,42810,31021,1,신남골든빌아파트,6,2,42810-9,41.5268,308,42810,4,,
28,,"6,650",1991,2017,금강로,00092,00000,42810,01,0,3000121,북면 원통리,0604,0003,42810,32021,1,미진원통아파트,6,1,42810-5,62.58,604-3,42810,7,,
29,,"8,800",2001,2017,원통로211번길,00028,00000,42810,01,0,4499143,북면 원통리,0546,0007,42810,32021,1,신아,6,2,42810-12,52.39,546-7,42810,12,,
30,,"8,800",2001,2017,원통로211번길,00028,00000,42810,01,0,4499143,북면 원통리,0546,0007,42810,32021,1,신아,6,2,42810-12,52.39,546-7,42810,3,,
31,,"16,000",2013,2017,금강로26번길,00020,00000,42810,01,0,4499229,북면 원통리,0681,0001,42810,32021,1,넥슨아파트,6,12,42810-78,84.84,681-1,42810,1,,
32,,"16,000",2013,2017,금강로26번길,00020,00000,42810,01,0,4499229,북면 원통리,0681,0001,42810,32021,1,넥슨아파트,6,26,42810-78,84.84,681-1,42810,8,,
33,,"5,800",1997,2017,원통로,00097,00001,42810,01,0,3233019,북면 원통리,0755,0011,42810,32021,1,혜진2차,6,27,42810-7,59.03,755-11,42810,5,,
34,,"6,200",1997,2017,원통로,00097,00001,42810,01,0,3233019,북면 원통리,0755,0011,42810,32021,1,혜진2차,6,28,42810-7,59.03,755-11,42810,4,,
35,,"8,500",2001,2017,원통로211번길,00028,00000,42810,01,0,4499143,북면 원통리,0546,0007,42810,32021,1,신아,6,28,42810-12,52.39,546-7,42810,12,,
