,0,거래금액,건축년도,년,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,도로명
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"8,300",2013,2017,00490,00000,41150,01,0,3181063,의정부동,0138,0015,41150,10100,1,비비르파크,10,11,41150-2019,17.84,138-15,41150,6,,,
2,,"24,000",2005,2017,01303,00000,41150,01,0,3000136,의정부동,0220,0110,41150,10100,1,한라비발디루트,10,12,41150-1732,84.85,220-110,41150,10,,,호국로
3,,"18,900",1995,2017,00080,00000,41150,01,0,4343039,의정부동,0396,0001,41150,10100,1,신도2,10,17,41150-2,59.94,396-1,41150,8,,,경의로132번길
4,,"7,500",2014,2017,00027,00000,41150,01,0,3181060,의정부동,0487,0004,41150,10100,1,남해오네뜨,10,17,41150-2081,15.7546,487-4,41150,7,,,시민로
5,,"18,700",1995,2017,00087,00014,41150,00,0,4343039,의정부동,0397,0012,41150,10100,1,신도3,10,23,41150-3,59.94,397-12,41150,3,,,경의로132번길
6,,"37,800",2014,2017,00012,00000,41150,01,0,4343313,의정부동,0527,0000,41150,10100,1,의정부일성트루엘,10,23,41150-2128,84.982,527,41150,12,,,의정로40번길
7,,"8,700",2013,2017,00490,00000,41150,01,0,3181063,의정부동,0138,0015,41150,10100,1,비비르파크,10,24,41150-2019,19.92,138-15,41150,7,,,평화로
8,,"9,000",2015,2017,00002,00000,41150,01,0,4343499,의정부동,0436,0004,41150,10100,1,스카이파크,10,24,41150-2146,19.54,436-4,41150,6,,,흥선로168번길
9,,"75,000",2009,2017,00024,00000,41150,01,0,3181060,의정부동,0490,0000,41150,10100,1,신도아크라티움,10,25,41150-1830,138.3343,490,41150,17,,,시민로
10,,"18,400",1995,2017,00080,00000,41150,01,0,4343039,의정부동,0396,0001,41150,10100,1,신도2,10,26,41150-2,59.94,396-1,41150,3,,,경의로132번길
11,,"27,900",1993,2017,00052,00000,41150,01,0,4343399,호원동,0430,0000,41150,10200,1,우성3,10,2,41150-23,84.97,430,41150,8,,,평화로322번길
12,,"41,000",2003,2017,00026,00000,41150,01,0,4343387,호원동,0467,0000,41150,10200,1,I-PARK,10,2,41150-133,101.9968,467,41150,12,,,평화로150번길
13,,"26,850",1997,2017,00056,00000,41150,02,0,3181053,호원동,0360,0000,41150,10200,1,호원가든1,10,2,41150-39,84.96,360,41150,8,,,호동로
14,,"21,500",1996,2017,00037,00000,41150,01,0,4343399,호원동,0432,0009,41150,10200,1,한주4,10,2,41150-35,59.995,432-9,41150,14,,,평화로322번길
15,,"23,800",1999,2017,00023,00000,41150,02,0,3181017,호원동,0376,0007,41150,10200,1,뉴익호원가든3,10,9,41150-5,59.97,376-7,41150,12,,,범골로
16,,"37,500",2007,2017,00064,00000,41150,01,0,3181034,호원동,0308,0139,41150,10200,1,회룡역풍림아이원,10,9,41150-1759,84.99,308-139,41150,14,,,외미로
17,,"42,000",2003,2017,00026,00000,41150,01,0,4343387,호원동,0467,0000,41150,10200,1,I-PARK,10,9,41150-133,119.9955,467,41150,8,,,평화로150번길
18,,"24,000",1998,2017,00033,00000,41150,02,0,3181015,호원동,0351,0001,41150,10200,1,삼익,10,9,41150-8,73.665,351-1,41150,19,,,백석로
19,,"32,200",1995,2017,00204,00000,41150,01,0,3181041,호원동,0318,0001,41150,10200,1,삼성미도,10,9,41150-7,134.52,318-1,41150,11,,,전좌로
20,,"29,500",1999,2017,00122,00000,41150,02,0,3181063,호원동,0467,0008,41150,10200,1,롯데,10,9,41150-6,84.4,467-8,41150,19,,,평화로
21,,"27,000",1999,2017,00023,00000,41150,02,0,3181017,호원동,0376,0007,41150,10200,1,뉴익호원가든3,10,10,41150-5,84.93,376-7,41150,13,,,범골로
22,,"38,400",2004,2017,00020,00000,41150,01,0,4343391,호원동,0461,0000,41150,10200,1,신일유토빌플러스,10,10,41150-141,84.647,461,41150,11,,,평화로202번길
23,,"29,800",2003,2017,00256,00000,41150,01,0,3181054,호원동,0055,0004,41150,10200,1,신일유토빌,10,10,41150-44,59.92,55-4,41150,7,,,호암로
24,,"37,900",2003,2017,00256,00000,41150,01,0,3181054,호원동,0055,0004,41150,10200,1,신일유토빌,10,10,41150-44,84.97,55-4,41150,15,,,호암로
25,,"21,400",1998,2017,00033,00000,41150,02,0,3181015,호원동,0351,0001,41150,10200,1,삼익,10,10,41150-8,59.595,351-1,41150,4,,,백석로
26,,"20,000",1996,2017,00010,00000,41150,01,0,4343490,호원동,0421,0000,41150,10200,1,신도4,10,11,41150-11,59.94,421,41150,7,,,회룡로149번길
