,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,도로명지상지하코드
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,
2,건축년도,,,,,,,,,,,,,,,,,,,,,,,,,,
3,년,,,,,,,,,,,,,,,,,,,,,,,,,,
4,도로명,,,,,,,,,,,,,,,,,,,,,,,,,,
5,도로명건물본번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
6,도로명건물부번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
7,도로명시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
8,도로명일련번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
9,도로명지상지하코드,,,,,,,,,,,,,,,,,,,,,,,,,,
10,도로명코드,,,,,,,,,,,,,,,,,,,,,,,,,,
11,법정동,,,,,,,,,,,,,,,,,,,,,,,,,,
12,법정동본번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
13,법정동부번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
14,법정동시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
15,법정동읍면동코드,,,,,,,,,,,,,,,,,,,,,,,,,,
16,법정동지번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
17,아파트,,,,,,,,,,,,,,,,,,,,,,,,,,
18,월,,,,,,,,,,,,,,,,,,,,,,,,,,
19,일,,,,,,,,,,,,,,,,,,,,,,,,,,
20,일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,
21,전용면적,,,,,,,,,,,,,,,,,,,,,,,,,,
22,지번,,,,,,,,,,,,,,,,,,,,,,,,,,
23,지역코드,,,,,,,,,,,,,,,,,,,,,,,,,,
24,층,,,,,,,,,,,,,,,,,,,,,,,,,,
25,해제사유발생일,,,,,,,,,,,,,,,,,,,,,,,,,,
26,해제여부,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"9,000",2015,2017,동헌1길,00007,00000,45210,00,4616283,요촌동,0514,0029,45210,10100,1,서해화인빌3동,2,1,45210-111,47.28,514-29,45210,4,,,
28,,"9,000",2015,2017,동헌1길,00007,00000,45210,00,4616283,요촌동,0514,0029,45210,10100,1,서해화인빌3동,2,1,45210-111,47.56,514-29,45210,9,,,
29,,"9,000",2015,2017,동헌1길,00007,00000,45210,00,4616283,요촌동,0514,0029,45210,10100,1,서해화인빌3동,2,1,45210-111,47.56,514-29,45210,4,,,
30,,"6,500",1990,2017,남북로,00298,00000,45210,01,3272083,요촌동,0348,0000,45210,10100,1,동원맨션,2,4,45210-5,84.89,348,45210,2,,,0
31,,"5,600",1993,2017,도작로,00093,00000,45210,01,3272017,신풍동,0595,0000,45210,10200,1,비사벌,2,3,45210-16,59.4,595,45210,6,,,0
32,,"4,150",1992,2017,금성로,00102,00000,45210,01,3272008,신풍동,0070,0000,45210,10200,1,주공,2,5,45210-18,46.98,70,45210,3,,,0
33,,"13,000",2001,2017,금성8길,00056,00000,45210,01,4616113,신풍동,0605,0000,45210,10200,1,대방,2,9,45210-24,82.8836,605,45210,17,,,0
34,,"10,000",2001,2017,금성8길,00056,00000,45210,01,4616113,신풍동,0605,0000,45210,10200,1,대방,2,10,45210-24,70.9784,605,45210,10,,,0
