,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,전용면적,지번,지역코드,층,해제사유발생일,해제여부,일련번호
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
1,거래금액,,,,,,,,,,,,,,,,,,,,,,,,,,
2,건축년도,,,,,,,,,,,,,,,,,,,,,,,,,,
3,년,,,,,,,,,,,,,,,,,,,,,,,,,,
4,도로명,,,,,,,,,,,,,,,,,,,,,,,,,,
5,도로명건물본번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
6,도로명건물부번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
7,도로명시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
8,도로명일련번호코드,,,,,,,,,,,,,,,,,,,,,,,,,,
9,도로명지상지하코드,,,,,,,,,,,,,,,,,,,,,,,,,,
10,도로명코드,,,,,,,,,,,,,,,,,,,,,,,,,,
11,법정동,,,,,,,,,,,,,,,,,,,,,,,,,,
12,법정동본번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
13,법정동부번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
14,법정동시군구코드,,,,,,,,,,,,,,,,,,,,,,,,,,
15,법정동읍면동코드,,,,,,,,,,,,,,,,,,,,,,,,,,
16,법정동지번코드,,,,,,,,,,,,,,,,,,,,,,,,,,
17,아파트,,,,,,,,,,,,,,,,,,,,,,,,,,
18,월,,,,,,,,,,,,,,,,,,,,,,,,,,
19,일,,,,,,,,,,,,,,,,,,,,,,,,,,
20,일련번호,,,,,,,,,,,,,,,,,,,,,,,,,,
21,전용면적,,,,,,,,,,,,,,,,,,,,,,,,,,
22,지번,,,,,,,,,,,,,,,,,,,,,,,,,,
23,지역코드,,,,,,,,,,,,,,,,,,,,,,,,,,
24,층,,,,,,,,,,,,,,,,,,,,,,,,,,
25,해제사유발생일,,,,,,,,,,,,,,,,,,,,,,,,,,
26,해제여부,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,"30,500",2017,2017,산마루로,00046,00000,41310,00,0,3196005,갈매동,0651,0000,41310,10100,1,구리 갈매 스타힐스,11,2,74.94,651,41310,1,,,
28,,"34,300",2017,2017,산마루로,00046,00000,41310,00,0,3196005,갈매동,0651,0000,41310,10100,1,구리 갈매 스타힐스,11,3,84.95,651,41310,4,,,
29,,"31,500",2017,2017,산마루로,00046,00000,41310,00,0,3196005,갈매동,0651,0000,41310,10100,1,구리 갈매 스타힐스,11,3,74.98,651,41310,22,,,
30,,"34,000",2017,2017,산마루로,00046,00000,41310,00,0,3196005,갈매동,0651,0000,41310,10100,1,구리 갈매 스타힐스,11,3,84.94,651,41310,23,,,
31,,"43,500",2016,2017,갈매중앙로,00131,00000,41310,01,0,3351113,갈매동,0590,0000,41310,10100,1,한라비발디,11,5,84.58,590,41310,17,,,41310-1066
32,,"42,500",2016,2017,갈매중앙로,00131,00000,41310,01,0,3351113,갈매동,0590,0000,41310,10100,1,한라비발디,11,15,74.92,590,41310,22,,,41310-1066
33,,"10,500",2017,2017,갈매중앙로,00070,00000,41310,00,0,3351113,갈매동,0646,0000,41310,10100,1,이룸넘버원리치안,11,17,14.98,646,41310,6,,,41310-1088
34,,"36,800",2017,2017,산마루로,00046,00000,41310,00,0,3196005,갈매동,0651,0000,41310,10100,1,구리 갈매 스타힐스,11,17,84.95,651,41310,14,,,
