,0,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,"21,200",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,11,1,41480-71,59.06,1003,41480,11,,,
2,,"20,600",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,11,1,41480-72,51.67,1022,41480,8,,,
3,,"21,850",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),11,3,41480-68,59.99,972,41480,10,,,
4,,"22,900",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,11,3,41480-72,59.56,1022,41480,13,,,
5,,"21,800",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,11,3,41480-71,59.72,1003,41480,17,,,
6,,"17,300",1997,2017,황골로,00040,00000,41480,01,0,3206104,금촌동,0234,0022,41480,10100,1,두보3(234-22),11,4,41480-17,59.98,234-22,41480,14,,,
7,,"28,400",2005,2017,쇠재로,00030,00000,41480,01,0,3206051,금촌동,1019,0000,41480,10100,1,금촌주공7단지(1019-0),11,4,41480-240,75.99,1019,41480,7,,,
8,,"21,000",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,11,4,41480-72,59.56,1022,41480,2,,,
9,,"21,500",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),11,6,41480-68,59.99,972,41480,13,,,
10,,"21,000",2006,2017,금신초교길,00072,00000,41480,01,0,4418069,금촌동,1014,0000,41480,10100,1,한일유앤아이1차(1014-0),11,6,41480-550,74.8794,1014,41480,4,,,
11,,"27,850",2005,2017,쇠재로,00030,00000,41480,01,0,3206051,금촌동,1019,0000,41480,10100,1,금촌주공7단지(1019-0),11,6,41480-240,84.8,1019,41480,9,,,
12,,"20,800",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,11,6,41480-72,51.67,1022,41480,9,,,
13,,"22,500",2004,2017,번영로,00055,00000,41480,01,0,3206113,금촌동,0972,0000,41480,10100,1,새꽃마을뜨란채(972-0),11,6,41480-68,59.99,972,41480,16,,,
14,,"15,800",1993,2017,아동로,00020,00000,41480,01,0,3206055,금촌동,0051,0049,41480,10100,1,장안미래(51-49),11,7,41480-24,84.6,51-49,41480,5,,,
15,,"13,000",1996,2017,금신초교길,00045,00000,41480,01,0,4418069,금촌동,0399,0001,41480,10100,1,삼산(399-1),11,8,41480-18,59.76,399-1,41480,6,,,
16,,"27,000",2005,2017,쇠재로,00030,00000,41480,01,0,3206051,금촌동,1019,0000,41480,10100,1,금촌주공7단지(1019-0),11,8,41480-240,75.99,1019,41480,8,,,
17,,"21,000",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,11,8,41480-71,59.94,1003,41480,15,,,
18,,"16,000",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),11,8,41480-26,59.98,922,41480,5,,,
19,,"20,000",2000,2017,황골로,00000,00000,41480,00,0,3206104,금촌동,0228,0004,41480,10100,1,장미아파트601동,11,9,41480-22,84.87,228-4,41480,9,,,
20,,"15,200",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),11,9,41480-26,49.97,922,41480,12,,,
21,,"8,400",1997,2017,중앙로,00308,00000,41480,01,0,3206129,금촌동,0052,0039,41480,10100,1,금촌타워(52-39),11,10,41480-11,53.92,52-39,41480,7,,,
22,,"9,000",2012,2017,정담길,00185,00000,41480,01,0,4418712,금촌동,1014,0002,41480,10100,1,그린,11,10,41480-750,19.59,1014-2,41480,4,,,
23,,"23,350",2004,2017,새꽃로,00010,00000,41480,01,0,3206045,금촌동,1022,0000,41480,10100,1,후곡마을주공6단지,11,10,41480-72,59.56,1022,41480,9,,,
24,,"16,900",1997,2017,한마음1길,00025,00000,41480,01,0,4418851,금촌동,0922,0000,41480,10100,1,주공(922-0),11,10,41480-26,59.98,922,41480,9,,,
25,,"15,500",1997,2017,황골로,00022,00000,41480,01,0,3206104,금촌동,0233,0006,41480,10100,1,장미3(233-6),11,10,41480-21,59.96,233-6,41480,2,,,
26,,"16,200",1993,2017,아동로,00020,00000,41480,01,0,3206055,금촌동,0051,0049,41480,10100,1,장안미래(51-49),11,13,41480-24,72.72,51-49,41480,8,,,
27,,"9,750",2012,2017,정담길,00185,00000,41480,01,0,4418712,금촌동,1014,0002,41480,10100,1,그린,11,13,41480-750,19.59,1014-2,41480,8,,,
28,,"22,600",2006,2017,마음밭길,00114,00000,41480,01,0,4418200,금촌동,1015,0000,41480,10100,1,대방노블랜드(1015-0),11,13,41480-553,84.9728,1015,41480,10,,,
29,,"21,700",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,11,13,41480-71,59.72,1003,41480,7,,,
30,,"19,000",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,11,13,41480-71,59.72,1003,41480,19,,,
31,,"20,500",2004,2017,쇠재로,00133,00000,41480,01,0,3206051,금촌동,1003,0000,41480,10100,1,쇠재마을뜨란채주공5단지,11,13,41480-71,59.92,1003,41480,16,,,
