,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"11,000",1993,2017,아리랑로144번길,00019,00000,44810,01,0,4589350,예산읍 예산리,0012,0000,44810,25021,1,능금마을신성,1,17,44810-1,84.945,12,44810,6,,
1,"13,700",1997,2017,아리랑로,00043,00000,44810,01,0,3263022,예산읍 주교리,0179,0001,44810,25024,1,"석탑,까치마을",1,14,44810-173,84.77,179-1,44810,17,,
2,"17,000",1997,2017,아리랑로,00043,00000,44810,01,0,3263022,예산읍 주교리,0179,0001,44810,25024,1,"석탑,까치마을",1,18,44810-173,115.58,179-1,44810,6,,
3,"8,500",1997,2017,아리랑로,00043,00000,44810,01,0,3263022,예산읍 주교리,0179,0001,44810,25024,1,"석탑,까치마을",1,23,44810-173,59.6,179-1,44810,10,,
4,"17,000",2006,2017,아리랑로,00093,00010,44810,01,0,3263022,예산읍 산성리,0095,0001,44810,25025,1,예산1차세광엔리치타워,1,9,44810-168,84.9595,95-1,44810,1,,
5,"18,500",2006,2017,아리랑로,00093,00010,44810,01,0,3263022,예산읍 산성리,0095,0001,44810,25025,1,예산1차세광엔리치타워,1,13,44810-168,84.9595,95-1,44810,12,,
6,"23,200",2009,2017,벚꽃로,00175,00017,44810,00,,3263012,예산읍 발연리,0090,0001,44810,25026,1,예산우방유쉘,1,13,44810-180,84.99,90-1,44810,10,,
7,"24,500",2008,2017,벚꽃로155번길,00050,00000,44810,01,0,4589175,예산읍 발연리,0253,0001,44810,25026,1,예산발연계룡리슈빌,1,25,44810-175,116.07,253-1,44810,14,,
8,"9,500",1994,2017,창신로,00055,00000,44810,01,0,3263043,예산읍 신례원리,0582,0000,44810,25030,1,신례원현대,1,13,44810-12,84.905,582,44810,9,,
9,"20,900",2008,2017,덕산온천로,00413,00026,44810,01,0,3263010,덕산면 읍내리,0200,0001,44810,36021,1,이테크써니밸리,1,4,44810-178,127.4393,200-1,44810,5,,
10,"8,100",2000,2017,덕산온천로,00021,00011,44810,00,,3263010,덕산면 시량리,0468,0001,44810,36027,1,아람파크빌,1,4,44810-28,84.96,468-1,44810,5,,
11,"5,000",2000,2017,덕산온천로,00021,00011,44810,00,,3263010,덕산면 시량리,0468,0001,44810,36027,1,아람파크빌,1,24,44810-28,40.32,468-1,44810,1,,
12,"7,200",2003,2017,황금뜰로,00156,00000,44810,03,0,3263049,봉산면 대지리,0279,0004,44810,37030,1,은행마을,1,7,44810-29,55.9675,279-4,44810,5,,
13,"6,800",2003,2017,황금뜰로,00156,00000,44810,03,0,3263049,봉산면 대지리,0279,0004,44810,37030,1,은행마을,1,9,44810-29,55.9675,279-4,44810,5,,
