,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,"8,100",1979,2017,고현로14길,00056,00000,45140,01,0,4607083,창인동2가,0001,0112,45140,10200,1,창인,12,1,45140-65,57.426,1-112,45140,2,,,
1,"6,900",1979,2017,익산대로,00181,00000,45140,02,0,2269001,창인동2가,0001,0112,45140,10200,1,창인,12,14,45140-65,57.426,1-112,45140,5,,,
2,"8,100",1979,2017,고현로14길,00056,00000,45140,01,0,4607083,창인동2가,0001,0112,45140,10200,1,창인,12,27,45140-65,57.426,1-112,45140,2,,,
3,"17,500",2006,2017,평동로,00530,00007,45140,01,0,3269066,평화동,0382,0000,45140,10600,1,클래시움,12,4,45140-545,84.891,382,45140,7,,,
4,"14,600",2002,2017,번영로8길,00223,00000,45140,01,0,4607488,평화동,0370,0000,45140,10600,1,제일1차,12,14,45140-132,84.8211,370,45140,13,,,
5,"26,300",2006,2017,서동로,00031,00000,45140,02,0,3269019,인화동2가,0054,0000,45140,11000,1,인화동제이파크,12,11,45140-540,114.159,54,45140,4,,,
6,"4,500",1988,2017,목천로,00335,00000,45140,04,0,3269012,동산동,0597,0006,45140,11100,1,동신,12,1,45140-3,63.06,597-6,45140,2,,,
7,"21,250",2009,2017,동천로,00025,00000,45140,01,0,3269009,동산동,1139,0000,45140,11100,1,동산여울휴먼시아2단지,12,1,45140-570,84.88,1139,45140,7,,,
8,"6,700",1988,2017,서동로18길,00066,00000,45140,01,0,4607588,동산동,1057,0000,45140,11100,1,세경,12,4,45140-136,49.32,1057,45140,5,,,
9,"6,400",1997,2017,평동로,00799,00000,45140,04,0,3269066,동산동,0995,0005,45140,11100,1,우남,12,6,45140-13,49.68,995-5,45140,14,,,
