,지역별 보험료 분위,2013년 세대수 (세대),2013년 평균보험료 (원),2013년 적용인구 (명),2014년 세대수 (세대),2014년 평균보험료 (원),2014년 적용인구 (명),2015년 세대수 (세대),2015년 평균보험료 (원),2015년 적용인구 (명),2016년 세대수 (세대),2016년 평균보험료 (원),2016년 적용인구 (명),2017년 세대수 (세대),2017년 평균보험료 (원),2017년 적용인구 (명),2018년 세대수 (세대),2018년 평균보험료 (원),2018년 적용인구 (명),2019년 세대수 (세대),2019년 평균보험료 (원),2019년 적용인구 (명)
0,광주계,588246,79882,1357778,602837,84576,1374047,611500,87480,1361222,625562,91728,1364329,638672,95166,1364651,662140,481285,1363707,686733,102562,1369265
1,광주1분위,62886,18098,107772,62207,18111,104010,62350,19244,100713,62733,19888,98927,63482,20717,98868,66467,111815,102498,64784,24730,97280
2,광주2분위,75689,26033,130082,83235,26400,140313,82908,28408,138474,83358,30392,137172,85157,31363,137134,74588,182594,123196,81033,39317,127528
3,광주3분위,61421,32820,107653,59258,35984,108014,60555,38231,106557,63564,39997,109030,66833,41374,112529,85515,186972,136738,87393,44586,137172
4,광주4분위,55131,42684,107919,55473,44553,105025,57228,46550,104265,57998,49071,103137,58497,51534,103302,60671,250963,102988,66259,55993,109156
5,광주5분위,58321,53565,117012,59754,55943,118924,59844,58459,116578,62458,61408,119964,62608,63869,116743,63937,299517,115106,66579,67552,116506
6,광주6분위,57551,68915,129853,59519,71992,132501,58943,74863,127076,59665,78319,124449,60591,81054,123987,64528,389086,126472,67352,85976,128961
7,광주7분위,55812,88268,140896,56879,91986,141659,58812,95459,141371,59116,99492,139475,60557,102580,138661,61787,500771,135961,60775,108097,128107
8,광주8분위,56556,114390,161296,57805,119345,162945,58395,123503,159302,59666,128451,159321,60333,132362,156550,61754,649583,151639,65085,137073,154456
9,광주9분위,54621,151341,176710,56796,157848,179903,58992,162877,182208,61001,168838,183857,61999,173910,182556,63606,877878,180576,66924,184460,184005
10,광주10분위,50258,253891,178585,51911,276128,180753,53473,273299,184678,56003,283176,188997,58615,292152,194321,59287,1572585,188533,60549,328894,186094
11,전북계,718795,71202,1602248,743104,75889,1654169,753517,78801,1640461,767647,82275,1641646,779343,84998,1637569,802839,1119665,1626943,825549,90978,1621241
12,전북1분위,107150,15183,170838,106430,15248,167164,105721,16227,161673,105139,16781,157785,107842,17169,159423,109877,250344,165192,112366,20202,163825
13,전북2분위,87113,25161,149098,89883,26547,154300,93215,28453,157064,96341,30312,160813,97319,31334,160816,99798,465808,164753,103205,37987,164701
