,법정동명,2016,2017,2018
1,광주 동구,73713059,79099354,83961864
2,광주 서구,276146194,294400774,309975176
3,광주 남구,183124812,193945733,206311963
4,광주 북구,338919856,356574030,379617057
5,광주 광산구,334340280,362758904,382438879
9,전북 군산시,217484512,223652516,230054706
10,전북 익산시,208536438,219887375,228862104
11,전북 정읍시,63688768,67630804,71386479
12,전북 남원시,46225273,48454438,50723616
13,전북 김제시,45726102,48492283,51326881
14,전북 완주군,63920958,67724551,71237562
15,전북 진안군,12817830,13906454,15079956
16,전북 무주군,12676037,13337746,14178118
17,전북 장수군,11086483,11783332,12611870
18,전북 임실군,13967489,14826417,15826646
19,전북 순창군,14532747,15328562,16369213
20,전북 고창군,28092657,29391924,31103974
21,전북 부안군,27627524,29395418,30446089
23,전남 목포시,165557358,169065915,172418729
24,전남 여수시,247253111,262393543,277293133
25,전남 순천시,228008983,242650265,259859924
26,전남 나주시,67212493,79141681,88438235
27,전남 광양시,139085501,147294999,157215126
28,전남 담양군,27383031,29278673,30940416
29,전남 곡성군,15992352,17267339,18135376
30,전남 구례군,14093449,15064145,16014881
31,전남 고흥군,28041049,29078458,30759400
32,전남 보성군,20137222,21101665,21959595
33,전남 화순군,37840958,40373544,42397048
34,전남 장흥군,20487465,20664562,21821375
35,전남 강진군,19044756,19644473,20693681
36,전남 해남군,34931210,36277700,37676554
37,전남 영암군,39422134,37293099,36283688
38,전남 무안군,53699437,57118647,60430259
39,전남 함평군,17025384,18307924,19220282
40,전남 영광군,32396986,35029610,36575083
41,전남 장성군,23874941,25840159,28153125
42,전남 완도군,21517122,22948664,24010403
43,전남 진도군,13683142,14470325,15045267
44,전남 신안군,16702446,17526290,18304759
46,제주 제주시,367147705,410715799,452404187
47,제주 서귀포시,110804772,128891266,147659416
49,대전 동구,159948490,165416218,172121961
50,대전 중구,196304158,204635417,213210684
51,대전 서구,447498313,469823662,495702507
52,대전 유성구,399552257,435931950,464686585
53,대전 대덕구,152084263,155993230,160877569
54,세종 소계,233529507,281194391,341649297
60,충북 충주시,152031296,162891947,175321763
61,충북 제천시,96528600,103082340,108737433
62,충북 보은군,17920433,19261995,20489795
63,충북 옥천군,30337832,32006954,34522344
64,충북 영동군,26260132,28094800,29401392
65,충북 증평군,26803671,28574590,30581417
66,충북 진천군,59633956,67802134,78827102
67,충북 괴산군,20755976,22260780,23729193
68,충북 음성군,80031742,86941159,93856083
69,충북 단양군,18167754,19431484,20644136
73,충남 공주시,74605378,78702403,82977065
74,충남 보령시,72334876,76884516,80261343
75,충남 아산시,309612338,332003038,366924757
76,충남 서산시,156483721,166821493,182328772
77,충남 논산시,69195788,72972267,76892715
78,충남 계룡시,24047413,26192376,27783790
79,충남 당진시,156287917,164207174,172516780
80,충남 금산군,30674883,31725225,32749704
81,충남 부여군,36232595,37959196,39299845
82,충남 서천군,31312492,33287168,34274478
83,충남 청양군,17125158,18413939,19629844
84,충남 홍성군,67450338,74910252,79233656
85,충남 예산군,51215854,53825010,57663522
86,충남 태안군,38849142,41986447,44715140
88,부산 중구,31039354,31243920,31755491
89,부산 서구,83660604,85513553,90535641
90,부산 동구,57389220,59807151,62443691
91,부산 영도구,85798958,86051883,88085124
92,부산 부산진구,308513855,318678398,328639420
93,부산 동래구,245243891,259818024,270138556
94,부산 남구,243204682,250790080,272373574
95,부산 북구,269988181,275812552,282283942
96,부산 해운대구,452464625,473940624,498347062
97,부산 사하구,275281325,284056891,291733748
98,부산 금정구,219977439,229409120,243063079
99,부산 강서구,113144680,132163265,141371426
100,부산 연제구,185701773,193235428,202384676
101,부산 수영구,156118060,163804540,172421602
102,부산 사상구,189226091,191822692,195529771
103,부산 기장군,112805451,135060748,143804188
105,대구 중구,65073608,68138609,73674533
106,대구 동구,246543680,263956011,280964888
107,대구 서구,124443842,126377564,126525433
108,대구 남구,99146859,101813147,105469700
109,대구 북구,348946669,367823741,392038900
110,대구 수성구,502378875,526984025,555401380
111,대구 달서구,525260779,546398690,566892702
