,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"83,000",2008,2016,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,4,11110-2203,107.91,9,11110,14,,
1,"119,000",2008,2016,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,8,11110-2203,151.81,9,11110,10,,
2,"84,500",2008,2016,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,15,11110-2203,94.51,9,11110,2,,
3,"80,000",2008,2016,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,18,11110-2203,94.28,9,11110,12,,
4,"121,000",2004,2016,새문안로3길,00023,00000,11110,02,0,4100158,내수동,0073,0000,11110,11800,1,경희궁의아침4단지,1,5,11110-117,145.96,73,11110,13,,
5,"105,000",2004,2016,사직로8길,00024,00000,11110,05,0,4100135,내수동,0071,0000,11110,11800,1,경희궁의아침2단지,1,9,11110-115,140.78,71,11110,3,,
6,"30,000",2003,2016,돈화문로11가길,00059,00000,11110,03,0,4100050,익선동,0055,0000,11110,13300,1,현대뜨레비앙,1,15,11110-102,48.54,55,11110,9,,
7,"26,100",2003,2016,돈화문로11가길,00059,00000,11110,03,0,4100050,익선동,0055,0000,11110,13300,1,현대뜨레비앙,1,19,11110-102,48.54,55,11110,7,,
8,"41,000",2003,2016,돈화문로11가길,00059,00000,11110,03,0,4100050,익선동,0055,0000,11110,13300,1,현대뜨레비앙,1,29,11110-102,58.78,55,11110,7,,
9,"47,800",2006,2016,종로,00183,00000,11110,09,0,3100013,인의동,0048,0002,11110,15700,1,효성쥬얼리시티,1,23,11110-2155,84.7,48-2,11110,14,,
10,"25,500",1999,2016,대학로7길,00015,00004,11110,01,0,4100042,연건동,0060,0001,11110,16600,1,(60-1),1,4,11110-122,59.63,60-1,11110,1,,
11,"17,500",2014,2016,대학로,00047,00000,11110,05,0,3100002,연건동,0195,0010,11110,16600,1,이화에수풀,1,5,11110-2359,16.98,195-10,11110,11,,
