,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"17,900",1999,2018,옥인3길,00007,00000,11110,01,0,4100207,누상동,0040,0000,11110,10900,1,청호그린빌,1,19,11110-210,29.76,40,11110,3,,
1,"17,900",1999,2018,옥인3길,00007,00000,11110,01,0,4100207,누상동,0040,0000,11110,10900,1,청호그린빌,1,19,11110-210,29.76,40,11110,4,,
2,"110,000",2008,2018,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,9,11110-2203,146.92,9,11110,9,,
3,"89,000",2008,2018,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,22,11110-2203,94.51,9,11110,6,,
4,"85,000",2008,2018,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,23,11110-2203,95.88,9,11110,2,,
5,"100,000",2008,2018,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,24,11110-2203,108.55,9,11110,1,,
6,"85,000",2008,2018,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,25,11110-2203,94.51,9,11110,3,,
7,"91,000",2008,2018,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,27,11110-2203,94.51,9,11110,13,,
8,"85,000",2008,2018,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,30,11110-2203,94.51,9,11110,5,,
9,"132,000",2008,2018,사직로8길,00004,00000,11110,03,0,4100135,사직동,0009,0000,11110,11500,1,광화문풍림스페이스본(101동~105동),1,30,11110-2203,147.31,9,11110,6,,
