학원명,법정동명,과목명,강사채용ID
정상어학원 성동분원,서울 성동구,영어,0
삼광학원,경기 의정부,영어,1
하이퍼리뷰학원,서울 강남구,국어,2
마테마타수학학원,경기 고양시,수학,3
유라영어학원,경기 광명시,영어,4
매쓰블릭수학학원,인천 부평구,수학,5
백선화수학학원,경기 성남시,수학,6
오세용 어학원,서울 송파구,영어,7
강한수학학원,경기 남양주,수학,8
나무아카데미,서울 강남구,국어,9
수학의힘 강동 본원,서울 강동구,영어,10
뉴욕센트럴영어학원,경기 김포시,영어,11
김정은 수학,서울 영등포,수학,12
엠케이수학,서울 강북구,영어,13
필탑학원,서울 구로구,수학,14
일공구오국어학원,서울 광진구,국어,15
황은영국어 2관,경기 화성시,국어,16
온새미로입시학원,경기 파주시,국어,17
아이필학원,인천 계양구,국어,18
대두수학학원,경기 성남시,국어,19
김샘수학&유베스타어학원,인천 연수구,영어,20
신수학영어학원,인천 남동구,영어,21
고대수학원,인천 연수구,수학,22
와이즈만영재교육 잠실센...,서울 송파구,수학,23
Julie 영어수학,서울 중랑구,영어,24
주식회사 교연학원/LFA키...,인천 서구,영어,25
탑 고려보습학원,서울 광진구,수학,26
강북 세일학원,서울 성북구,수학,27
채움학원,경기 부천시,영어,28
대학입시외국어학원,경기 시흥시,영어,29
sky미래연수학학원,서울 노원구,수학,30
대원학원,서울 양천구,수학,31
목동ILS,서울 양천구,영어,32
엘제이엠수학원,서울 양천구,수학,33
미래듀학원,인천 연수구,영어,34
수학보호구역,인천 서구,수학,35
(주)다원교육,서울 강남구,수학,36
선진수학보습학원,경기 부천시,수학,37
탑지성학원,경기 수원시,영어,38
관악뉴스터디,서울 관악구,수학,39
본수학전문학원,서울 구로구,수학,40
에스엠에듀,인천 남동구,수학,41
탑씨크리트 교육,충남 천안시,국어,42
CSJ영어학원,서울 강남구,영어,43
EiE비상매스캔학원,서울 강남구,영어,44
솔로몬 영재학원,인천 서구,영어,45
텔레오입시전문학원,서울 강남구,사회계열,46
정진학원,경기 수원시,수학,47
(주)매쓰홀릭,서울 서초구,수학,48
지앤비국제사관어학원,서울 은평구,영어,49
수타민 수학학원,인천 부평구,수학,50
