_c0,법정동코드,법정동명,시도명
0,11110,종로구,서울특별시
1,11140,중구,서울특별시
2,11170,용산구,서울특별시
3,11200,성동구,서울특별시
4,11215,광진구,서울특별시
5,11230,동대문구,서울특별시
6,11260,중랑구,서울특별시
7,11290,성북구,서울특별시
8,11305,강북구,서울특별시
9,11320,도봉구,서울특별시
10,11350,노원구,서울특별시
11,11380,은평구,서울특별시
12,11410,서대문구,서울특별시
13,11440,마포구,서울특별시
14,11470,양천구,서울특별시
15,11500,강서구,서울특별시
16,11530,구로구,서울특별시
17,11545,금천구,서울특별시
18,11560,영등포구,서울특별시
19,11590,동작구,서울특별시
20,11620,관악구,서울특별시
21,11650,서초구,서울특별시
22,11680,강남구,서울특별시
23,11710,송파구,서울특별시
24,11740,강동구,서울특별시
25,26110,중구,부산광역시
26,26140,서구,부산광역시
27,26170,동구,부산광역시
28,26200,영도구,부산광역시
29,26230,부산진구,부산광역시
30,26260,동래구,부산광역시
31,26290,남구,부산광역시
32,26320,북구,부산광역시
33,26350,해운대구,부산광역시
34,26380,사하구,부산광역시
35,26410,금정구,부산광역시
36,26440,강서구,부산광역시
37,26470,연제구,부산광역시
38,26500,수영구,부산광역시
39,26530,사상구,부산광역시
40,26710,기장군,부산광역시
41,27110,중구,대구광역시
42,27140,동구,대구광역시
43,27170,서구,대구광역시
44,27200,남구,대구광역시
45,27230,북구,대구광역시
46,27260,수성구,대구광역시
47,27290,달서구,대구광역시
48,27710,달성군,대구광역시
49,28110,중구,인천광역시
50,28140,동구,인천광역시
51,28177,미추홀구,인천광역시
52,28185,연수구,인천광역시
53,28200,남동구,인천광역시
54,28237,부평구,인천광역시
55,28245,계양구,인천광역시
56,28260,서구,인천광역시
57,28710,강화군,인천광역시
58,28720,옹진군,인천광역시
59,29110,동구,광주광역시
60,29140,서구,광주광역시
61,29155,남구,광주광역시
62,29170,북구,광주광역시
63,29200,광산구,광주광역시
64,30110,동구,대전광역시
65,30140,중구,대전광역시
66,30170,서구,대전광역시
67,30200,유성구,대전광역시
68,30230,대덕구,대전광역시
69,31110,중구,울산광역시
70,31140,남구,울산광역시
71,31170,동구,울산광역시
72,31200,북구,울산광역시
73,31710,울주군,울산광역시
74,36110,"",세종특별자치시
75,41110,수원시,경기도
76,41130,성남시,경기도
77,41150,의정부시,경기도
78,41170,안양시,경기도
79,41190,부천시,경기도
80,41210,광명시,경기도
81,41220,평택시,경기도
82,41250,동두천시,경기도
83,41270,안산시,경기도
84,41280,고양시,경기도
85,41290,과천시,경기도
86,41310,구리시,경기도
87,41360,남양주시,경기도
88,41370,오산시,경기도
89,41390,시흥시,경기도
90,41410,군포시,경기도
91,41430,의왕시,경기도
92,41450,하남시,경기도
