,학교종류,고등학교명,법정동,서울대합격자수
0,상업고등학교,경기상업고등학교,서울특별시 종로구,0
1,일반고등학교,경복고등학교,서울특별시 종로구,2
2,일반고등학교,경신고등학교,서울특별시 종로구,1
3,상업고등학교,대동세무고등학교,서울특별시 종로구,0
4,일반고등학교,대신고등학교,서울특별시 종로구,0
5,일반고등학교,덕성여자고등학교,서울특별시 종로구,3
6,일반고등학교,동성고등학교,서울특별시 종로구,2
7,일반고등학교,배화여자고등학교,서울특별시 종로구,5
8,일반고등학교,상명대학교사범대학부속여자고등학교,서울특별시 종로구,1
9,과학고등학교,서울과학고등학교,서울특별시 종로구,63
10,국제고등학교,서울국제고등학교,서울특별시 종로구,15
11,예술고등학교,서울예술고등학교,서울특별시 종로구,82
12,상업고등학교,서일국제경영고등학교,서울특별시 종로구,0
13,일반고등학교,중앙고등학교,서울특별시 종로구,1
14,상업고등학교,경기여자상업고등학교,서울특별시 중구,0
15,상업고등학교,대경상업고등학교,서울특별시 중구,0
16,공업고등학교,리라아트고등학교,서울특별시 중구,0
17,일반고등학교,성동고등학교,서울특별시 중구,0
18,공업고등학교,성동공업고등학교,서울특별시 중구,0
19,상업고등학교,성동글로벌경영고등학교,서울특별시 중구,0
20,일반고등학교,이화여자고등학교,서울특별시 중구,6
21,외국어고등학교,이화여자외국어고등학교,서울특별시 중구,4
22,일반고등학교,장충고등학교,서울특별시 중구,1
23,공업고등학교,한양공업고등학교,서울특별시 중구,0
24,일반고등학교,환일고등학교,서울특별시 중구,3
25,일반고등학교,배문고등학교,서울특별시 용산구,0
26,일반고등학교,보성여자고등학교,서울특별시 용산구,0
27,공업고등학교,서울디지텍고등학교,서울특별시 용산구,0
28,상업고등학교,선린인터넷고등학교,서울특별시 용산구,0
29,일반고등학교,성심여자고등학교,서울특별시 용산구,0
30,일반고등학교,신광여자고등학교,서울특별시 용산구,0
31,일반고등학교,오산고등학교,서울특별시 용산구,3
32,일반고등학교,용산고등학교,서울특별시 용산구,4
33,공업고등학교,용산공업고등학교,서울특별시 용산구,0
34,일반고등학교,중경고등학교,서울특별시 용산구,3
35,일반고등학교,경일고등학교,서울특별시 성동구,0
36,일반고등학교,금호고등학교,서울특별시 성동구,0
37,상업고등학교,덕수고등학교,서울특별시 성동구,1
38,일반고등학교,도선고등학교,서울특별시 성동구,0
39,일반고등학교,무학여자고등학교,서울특별시 성동구,1
40,공업고등학교,서울방송고등학교,서울특별시 성동구,0
41,일반고등학교,성수고등학교,서울특별시 성동구,0
42,공업고등학교,성수공업고등학교,서울특별시 성동구,0
43,일반고등학교,한양대학교사범대학부속고등학교,서울특별시 성동구,4
44,일반고등학교,건국대학교사범대학부속고등학교,서울특별시 광진구,3
45,일반고등학교,광남고등학교,서울특별시 광진구,7
46,일반고등학교,광양고등학교,서울특별시 광진구,0
47,일반고등학교,대원고등학교,서울특별시 광진구,2
48,일반고등학교,대원여자고등학교,서울특별시 광진구,6
49,외국어고등학교,대원외국어고등학교,서울특별시 광진구,55
50,일반고등학교,동국대학교사범대학부속여자고등학교,서울특별시 광진구,2
51,예술고등학교,선화예술고등학교,서울특별시 광진구,27
52,일반고등학교,자양고등학교,서울특별시 광진구,0
53,일반고등학교,경희고등학교,서울특별시 동대문구,3
54,일반고등학교,경희여자고등학교,서울특별시 동대문구,2
55,일반고등학교,대광고등학교,서울특별시 동대문구,3
56,일반고등학교,동국대학교사범대학부속고등학교,서울특별시 동대문구,2
57,상업고등학교,정화여자상업고등학교,서울특별시 동대문구,0
58,일반고등학교,청량고등학교,서울특별시 동대문구,0
59,상업고등학교,해성국제컨벤션고등학교,서울특별시 동대문구,0
60,일반고등학교,해성여자고등학교,서울특별시 동대문구,0
61,공업고등학교,휘경공업고등학교,서울특별시 동대문구,0
62,일반고등학교,휘경여자고등학교,서울특별시 동대문구,1
63,일반고등학교,휘봉고등학교,서울특별시 동대문구,0
64,일반고등학교,면목고등학교,서울특별시 중랑구,1
