,학제,학교 세부 유형,고등학교유형,시도,교육지원청,행정구,학교명,본분교,학교상태,우편번호,도로명주소,법정동
18722,고등학교,상업고등학교,특성화고(직업),서울,서울시,종로구,경기상업고등학교,본교,기존(원)교,030-47 ,서울특별시 종로구 자하문로 136 (청운동),서울특별시 종로구
18723,고등학교,일반고등학교,일반고,서울,서울시,종로구,경복고등학교,본교,기존(원)교,030-47 ,서울특별시 종로구 자하문로28가길 9 . 경복고등학교 (청운동.경복고등학교),서울특별시 종로구
18724,고등학교,일반고등학교,일반고,서울,서울시,종로구,경신고등학교,본교,기존(원)교,030-67 ,서울특별시 종로구 혜화로 74 (혜화동.경신중고등학교),서울특별시 종로구
18725,고등학교,상업고등학교,특성화고(직업),서울,서울시,종로구,대동세무고등학교,본교,기존(원)교,030-57 ,서울특별시 종로구 계동길 84-10 . 대동세무고등학교 (계동),서울특별시 종로구
18726,고등학교,일반고등학교,일반고,서울,서울시,종로구,대신고등학교,본교,기존(원)교,030-29 ,서울특별시 종로구 사직로 9 (행촌동),서울특별시 종로구
18727,고등학교,일반고등학교,일반고,서울,서울시,종로구,덕성여자고등학교,본교,기존(원)교,030-61 ,서울특별시 종로구 율곡로3길 50 . 덕성여자고등학교 (안국동),서울특별시 종로구
18728,고등학교,일반고등학교,자율고,서울,서울시,종로구,동성고등학교,본교,기존(원)교,030-83 ,서울특별시 종로구 대학로 156 (혜화동.동성중고교),서울특별시 종로구
18729,고등학교,일반고등학교,일반고,서울,서울시,종로구,배화여자고등학교,본교,기존(원)교,030-39 ,서울특별시 종로구 필운대로1길 34 (필운동.배화여자고등학교),서울특별시 종로구
18730,고등학교,일반고등학교,일반고,서울,서울시,종로구,상명대학교사범대학부속여자고등학교,본교,기존(원)교,030-16 ,서울특별시 종로구 홍지문2길 20 (홍지동.상명대학교),서울특별시 종로구
18731,고등학교,과학고등학교,특목고,서울,서울시,종로구,서울과학고등학교,본교,기존(원)교,030-66 ,서울특별시 종로구 혜화로 63 (명륜1가),서울특별시 종로구
18732,고등학교,국제고등학교,특목고,서울,서울시,종로구,서울국제고등학교,본교,기존(원)교,030-66 ,서울특별시 종로구 성균관로13길 40 . 서울국제고 (명륜1가),서울특별시 종로구
18733,고등학교,예술고등학교,특목고,서울,서울시,종로구,서울예술고등학교,본교,기존(원)교,030-11 ,서울특별시 종로구 평창문화로 70 (평창동),서울특별시 종로구
