법정동,학제,설립,학교수,학생수_계,교원수_총계_계,입학자_계,졸업자_계,진학자_계,일반고_계,특목고_계,특성화고_계,자율고_계,기타_고등학교_계,국내_전문대학_계,국내_교육대학_계,국내_대학_계,국내_각종학교_계,국외_전문대학_계,국외_대학_계
서울 종로구,유치원,공립,5,253,14,120,155,0,0,0,0,0,0,0,0,0,0,0,0
서울 종로구,유치원,사립,12,985,77,393,689,0,0,0,0,0,0,0,0,0,0,0,0
서울 종로구,유치원,소계,17,1238,91,513,844,0,0,0,0,0,0,0,0,0,0,0,0
서울 종로구,초등학교,국립,1,701,41,103,123,123,0,0,0,0,0,0,0,0,0,0,0
서울 종로구,초등학교,공립,11,4871,410,786,934,934,0,0,0,0,0,0,0,0,0,0,0
서울 종로구,초등학교,사립,2,512,24,90,93,92,0,0,0,0,0,0,0,0,0,0,0
서울 종로구,초등학교,소계,14,6084,475,979,1150,1149,0,0,0,0,0,0,0,0,0,0,0
서울 종로구,중학교,국립,1,625,54,168,233,233,155,11,61,5,1,0,0,0,0,0,0
서울 종로구,중학교,공립,1,580,44,160,223,221,162,4,11,42,2,0,0,0,0,0,0
서울 종로구,중학교,사립,7,2730,209,786,1075,1072,723,34,170,128,17,0,0,0,0,0,0
서울 종로구,중학교,소계,9,3935,307,1114,1531,1526,1040,49,242,175,20,0,0,0,0,0,0
서울 종로구,고등학교,공립,4,2878,305,955,1009,521,0,0,0,0,0,135,1,367,0,0,18
서울 종로구,고등학교,사립,11,9775,676,3168,3299,1946,0,0,0,0,0,582,4,1341,5,0,14
서울 종로구,고등학교,소계,15,12653,981,4123,4308,2467,0,0,0,0,0,717,5,1708,5,0,32
서울 종로구,  (일반고),공립,1,1335,90,407,508,243,0,0,0,0,0,83,0,160,0,0,0
서울 종로구,  (일반고),사립,6,5486,372,1683,1959,1230,0,0,0,0,0,464,4,754,0,0,8
서울 종로구,  (일반고),소계,7,6821,462,2090,2467,1473,0,0,0,0,0,547,4,914,0,0,8
서울 종로구,  (특목고),공립,2,843,147,286,280,205,0,0,0,0,0,1,1,186,0,0,17
서울 종로구,  (특목고),사립,1,1087,50,368,373,257,0,0,0,0,0,0,0,257,0,0,0
서울 종로구,  (특목고),소계,3,1930,197,654,653,462,0,0,0,0,0,1,1,443,0,0,17
서울 종로구,  (특성화고),공립,1,700,68,262,221,73,0,0,0,0,0,51,0,21,0,0,1
서울 종로구,  (특성화고),사립,2,1147,104,392,382,147,0,0,0,0,0,86,0,59,0,0,2
