,학교명주소,서울대 계수시정시	,KAIST 계수시정시,서울대 + KAIST,서울대 계수시정시
0,제주과학고등학교(특목고)제주특별자치도 제주시 오라이동,1 명1 명0 명,15 명15 명0 명,16 명,
1,신성여자고등학교(일반고)제주특별자치도 제주시 영평동,4 명4 명0 명,0 명0 명0 명,4 명,
2,남녕고등학교(일반고)제주특별자치도 제주시 연동,4 명3 명1 명,0 명0 명0 명,4 명,
3,제주제일고등학교(일반고)제주특별자치도 제주시 노형동,4 명1 명3 명,0 명0 명0 명,4 명,
4,대기고등학교(일반고)제주특별자치도 제주시 봉개동,3 명3 명0 명,1 명1 명0 명,4 명,
5,제주대학교사범대학부설고등학교(일반고)제주특별자치도 제주시 용담삼동,4 명4 명0 명,0 명0 명0 명,4 명,
6,오현고등학교(일반고)제주특별자치도 제주시 화북일동,2 명2 명0 명,0 명0 명0 명,2 명,
7,제주중앙여자고등학교(일반고)제주특별자치도 제주시 이도이동,2 명2 명0 명,0 명0 명0 명,2 명,
8,제주여자고등학교(일반고)제주특별자치도 제주시 아라일동,2 명2 명0 명,0 명0 명0 명,2 명,
9,세화고등학교(일반고)제주특별자치도 제주시 구좌읍 세화리,1 명1 명0 명,0 명0 명0 명,1 명,
10,애월고등학교(일반고)제주특별자치도 제주시 애월읍 고내리,0 명0 명0 명,0 명0 명0 명,0 명,
0,남주고등학교(일반고)제주특별자치도 서귀포시 동홍동,1 명1 명0 명,0 명0 명0 명,1 명,
1,서귀포여자고등학교(자율고)제주특별자치도 서귀포시 호근동,1 명1 명0 명,0 명0 명0 명,1 명,
2,서귀포고등학교(일반고)제주특별자치도 서귀포시 동홍동,0 명0 명0 명,0 명0 명0 명,0 명,
3,대정고등학교(일반고)제주특별자치도 서귀포시 대정읍 상모리,0 명0 명0 명,0 명0 명0 명,0 명,
4,대정여자고등학교(일반고)제주특별자치도 서귀포시 대정읍 하모리,0 명0 명0 명,0 명0 명0 명,0 명,
5,표선고등학교(일반고)제주특별자치도 서귀포시 표선면 표선리,0 명0 명0 명,0 명0 명0 명,0 명,
0,함양고등학교(일반고)경상남도 함양군 함양읍 백연리,0 명0 명0 명,0 명0 명0 명,0 명,
0,칠원고등학교(일반고)경상남도 함안군 칠서면 무릉리,1 명1 명0 명,0 명0 명0 명,1 명,
1,명덕고등학교(일반고)경상남도 함안군 가야읍 도항리,0 명0 명0 명,0 명0 명0 명,0 명,
2,함안고등학교(일반고)경상남도 함안군 가야읍 도항리,0 명0 명0 명,0 명0 명0 명,0 명,
0,하동여자고등학교(일반고)경상남도 하동군 하동읍 광평리,0 명0 명0 명,0 명0 명0 명,0 명,
0,통영고등학교(일반고)경상남도 통영시 봉평동,1 명1 명0 명,1 명1 명0 명,2 명,
1,충렬여자고등학교(일반고)경상남도 통영시 용남면 장평리,1 명1 명0 명,0 명0 명0 명,1 명,
