,학교명주소,총인원남학생여학생,"과학고외고/국제고자사고기타계(외국,영재,유학,대안)",특목고계특목고비율
0,우도중학교제주특별자치도 제주시 우도면,10 명6 명4 명,0 명1 명0 명0 명,1 명10.00 %
1,신엄중학교제주특별자치도 제주시 애월읍 신엄리,52 명29 명23 명,1 명4 명0 명0 명,5 명9.62 %
2,신창중학교제주특별자치도 제주시 한경면 신창리,19 명8 명11 명,0 명1 명0 명0 명,1 명5.26 %
3,한림여자중학교제주특별자치도 제주시 한림읍 한림리,83 명0 명83 명,0 명4 명0 명0 명,4 명4.82 %
4,노형중학교제주특별자치도 제주시 노형동,402 명170 명232 명,5 명14 명1 명5 명,19 명4.73 %
5,애월중학교제주특별자치도 제주시 애월읍,50 명28 명22 명,0 명2 명0 명2 명,2 명4.00 %
6,제주대학교사범대학부설중학교제주특별자치도 제주시 용담삼동,267 명134 명133 명,2 명6 명0 명0 명,8 명3.00 %
7,탐라중학교제주특별자치도 제주시 아라2동,419 명251 명168 명,5 명7 명1 명0 명,12 명2.86 %
8,조천중학교제주특별자치도 제주시 조천읍 신촌리,108 명59 명49 명,1 명2 명0 명0 명,3 명2.78 %
9,귀일중학교제주특별자치도 제주시 애월읍 하귀2리,110 명50 명60 명,0 명3 명0 명0 명,3 명2.73 %
10,신성여자중학교제주특별자치도 제주시 영평동,268 명0 명268 명,0 명7 명0 명0 명,7 명2.61 %
11,제주중앙여자중학교제주특별자치도 제주시 삼도이동,242 명0 명242 명,2 명4 명0 명3 명,6 명2.48 %
12,제주제일중학교제주특별자치도 제주시 이도이동,358 명358 명0 명,3 명5 명0 명0 명,8 명2.23 %
13,제주중앙중학교제주특별자치도 제주시 연동,409 명409 명0 명,7 명2 명1 명0 명,9 명2.20 %
14,오현중학교제주특별자치도 제주시 화북일동,258 명258 명0 명,2 명3 명0 명0 명,5 명1.94 %
15,아라중학교제주특별자치도 제주시 아라이동,315 명191 명124 명,2 명4 명0 명0 명,6 명1.90 %
16,세화중학교제주특별자치도 제주시 구좌읍 세화리,59 명24 명35 명,1 명0 명0 명0 명,1 명1.69 %
17,제주중학교제주특별자치도 제주시 용담일동,250 명250 명0 명,1 명3 명1 명0 명,4 명1.60 %
18,제주동여자중학교제주특별자치도 제주시 일도이동,330 명0 명330 명,2 명3 명0 명0 명,5 명1.52 %
19,한라중학교제주특별자치도 제주시 노형동,468 명233 명235 명,3 명4 명1 명2 명,7 명1.50 %
0,무릉중학교제주특별자치도 서귀포시 대정읍 무릉리,17 명9 명8 명,0 명1 명0 명0 명,1 명5.88 %
1,대정중학교제주특별자치도 서귀포시 대정읍 하모리,149 명81 명68 명,0 명6 명0 명0 명,6 명4.03 %
2,성산중학교제주특별자치도 서귀포시 성산읍 고성리,74 명39 명35 명,0 명2 명0 명0 명,2 명2.70 %
3,서귀포여자중학교제주특별자치도 서귀포시 서홍동,163 명0 명163 명,0 명3 명0 명0 명,3 명1.84 %
4,서귀중앙여자중학교제주특별자치도 서귀포시 동홍동,167 명0 명167 명,0 명3 명0 명2 명,3 명1.80 %
5,중문중학교제주특별자치도 서귀포시 중문동,177 명89 명88 명,0 명3 명0 명0 명,3 명1.69 %
6,서귀포대신중학교제주특별자치도 서귀포시 강정동,147 명80 명67 명,1 명1 명0 명2 명,2 명1.36 %
7,안덕중학교제주특별자치도 서귀포시 안덕면 화순리,75 명39 명36 명,0 명1 명0 명0 명,1 명1.33 %
8,표선중학교제주특별자치도 서귀포시 표선면 표선리,100 명51 명49 명,0 명1 명0 명0 명,1 명1.00 %
9,서귀포중학교제주특별자치도 서귀포시 서귀동,240 명240 명0 명,1 명1 명0 명6 명,2 명0.83 %
10,남주중학교제주특별자치도 서귀포시 동홍동,127 명127 명0 명,1 명0 명0 명3 명,1 명0.79 %
11,효돈중학교제주특별자치도 서귀포시 하효동,52 명35 명17 명,0 명0 명0 명0 명,0 명0.00 %
12,남원중학교제주특별자치도 서귀포시 남원읍 남원리,108 명61 명47 명,0 명0 명0 명0 명,0 명0.00 %
13,신산중학교제주특별자치도 서귀포시 성산읍 신산리,11 명5 명6 명,0 명0 명0 명0 명,0 명0.00 %
14,위미중학교제주특별자치도 서귀포시 남원읍 위미리,36 명15 명21 명,0 명0 명0 명0 명,0 명0.00 %
0,대병중학교경상남도 합천군 대병면 회양리,33 명15 명18 명,0 명1 명0 명1 명,1 명3.03 %
1,삼가중학교경상남도 합천군 삼가면 일부리,38 명18 명20 명,0 명1 명0 명0 명,1 명2.63 %
2,초계중학교경상남도 합천군 초계면 아막리,35 명19 명16 명,0 명0 명0 명0 명,0 명0.00 %
3,합천중학교경상남도 합천군 합천읍 합천리,74 명74 명0 명,0 명0 명0 명0 명,0 명0.00 %
4,가회중학교경상남도 합천군 가회면 덕촌리,3 명3 명0 명,0 명0 명0 명0 명,0 명0.00 %
5,묘산중학교경상남도 합천군 묘산면 산제리,7 명5 명2 명,0 명0 명0 명0 명,0 명0.00 %
6,야로중학교경상남도 합천군 야로면 구정리,9 명7 명2 명,0 명0 명0 명0 명,0 명0.00 %
7,합천여자중학교경상남도 합천군 합천읍 합천리,69 명0 명69 명,0 명0 명0 명0 명,0 명0.00 %
8,해인중학교경상남도 합천군 가야면 황산리,20 명14 명6 명,0 명0 명0 명0 명,0 명0.00 %
0,함양여자중학교경상남도 함양군 함양읍 교산리,129 명0 명129 명,1 명0 명0 명0 명,1 명0.78 %
1,함양중학교경상남도 함양군 함양읍 교산리,150 명150 명0 명,1 명0 명4 명1 명,1 명0.67 %
2,서상중학교경상남도 함양군 서상면 도천리,14 명7 명7 명,0 명0 명0 명0 명,0 명0.00 %
3,안의중학교경상남도 함양군 안의면 석천리,25 명19 명6 명,0 명0 명0 명0 명,0 명0.00 %
