,학교종류,유초등학교명,법정동
0,유치원,린덴바움유치원,서울특별시 종로구
1,유치원,배화여자대학교 부속 배화유치원,서울특별시 종로구
2,유치원,봄샘유치원,서울특별시 종로구
3,유치원,상명사대부속유치원,서울특별시 종로구
4,유치원,서울명신초등학교병설유치원,서울특별시 종로구
5,유치원,서울재동초등학교병설유치원,서울특별시 종로구
6,유치원,서울창신초등학교병설유치원,서울특별시 종로구
7,유치원,서울청운초등학교병설유치원,서울특별시 종로구
8,유치원,서울혜화초등학교병설유치원,서울특별시 종로구
9,유치원,세검정유치원,서울특별시 종로구
10,유치원,세종유치원,서울특별시 종로구
11,유치원,연동유치원,서울특별시 종로구
12,유치원,옥인유치원,서울특별시 종로구
13,유치원,운현유치원,서울특별시 종로구
14,유치원,청룡유치원,서울특별시 종로구
15,유치원,하나유치원,서울특별시 종로구
16,유치원,한아름유치원,서울특별시 종로구
17,유치원,혜화유치원,서울특별시 종로구
18,유치원,가명유치원,서울특별시 중구
19,유치원,근화유치원,서울특별시 중구
20,유치원,리라유치원,서울특별시 중구
21,유치원,서울광희초등학교병설유치원,서울특별시 중구
22,유치원,서울덕수초등학교병설유치원,서울특별시 중구
23,유치원,서울장충유치원,서울특별시 중구
24,유치원,서울충무초등학교병설유치원,서울특별시 중구
25,유치원,수암유치원,서울특별시 중구
26,유치원,숭의여자대학교부설유치원,서울특별시 중구
27,유치원,신일유치원,서울특별시 중구
28,유치원,약수유치원,서울특별시 중구
29,유치원,영락유치원,서울특별시 중구
30,유치원,일신유치원,서울특별시 중구
31,유치원,한일유치원,서울특별시 중구
32,유치원,강변유치원,서울특별시 용산구
33,유치원,계성유치원,서울특별시 용산구
34,유치원,대건유치원,서울특별시 용산구
35,유치원,도원유치원,서울특별시 용산구
36,유치원,복자유치원,서울특별시 용산구
37,유치원,서울남정초등학교병설유치원,서울특별시 용산구
38,유치원,서울서빙고초등학교병설유치원,서울특별시 용산구
39,유치원,서울청파초등학교병설유치원,서울특별시 용산구
40,유치원,서울한남초등학교병설유치원,서울특별시 용산구
41,유치원,성심유치원,서울특별시 용산구
42,유치원,신동아큰나무유치원,서울특별시 용산구
43,유치원,원유치원,서울특별시 용산구
44,유치원,유성유치원,서울특별시 용산구
45,유치원,일민유치원,서울특별시 용산구
46,유치원,정우유치원,서울특별시 용산구
47,유치원,충신유치원,서울특별시 용산구
48,유치원,한가람유치원,서울특별시 용산구
49,유치원,경동유치원,서울특별시 성동구
50,유치원,금호유치원,서울특별시 성동구
51,유치원,로사유치원,서울특별시 성동구
52,유치원,무학유치원,서울특별시 성동구
53,유치원,미타유치원,서울특별시 성동구
54,유치원,벧엘유치원,서울특별시 성동구
55,유치원,새길유치원,서울특별시 성동구
56,유치원,서울경동유치원,서울특별시 성동구
57,유치원,서울경수초등학교병설유치원,서울특별시 성동구
58,유치원,서울경일초등학교병설유치원,서울특별시 성동구
59,유치원,서울금호초등학교병설유치원,서울특별시 성동구
60,유치원,서울동명초등학교병설유치원,서울특별시 성동구
61,유치원,서울마장초등학교병설유치원,서울특별시 성동구
62,유치원,서울사근초등학교병설유치원,서울특별시 성동구
63,유치원,서울성수초등학교병설유치원,서울특별시 성동구
64,유치원,서울송원초등학교병설유치원,서울특별시 성동구
65,유치원,서울숭신초등학교병설유치원,서울특별시 성동구
66,유치원,서울옥수초등학교병설유치원,서울특별시 성동구
67,유치원,서울옥정초등학교병설유치원,서울특별시 성동구
68,유치원,서울용답초등학교병설유치원,서울특별시 성동구
69,유치원,성심유치원,서울특별시 성동구
70,유치원,세성유치원,서울특별시 성동구
71,유치원,세인유치원,서울특별시 성동구
72,유치원,솔유치원,서울특별시 성동구
73,유치원,송곡유치원,서울특별시 성동구
74,유치원,아이들세상유치원,서울특별시 성동구
75,유치원,에덴유치원,서울특별시 성동구
76,유치원,옥수삼성유치원,서울특별시 성동구
77,유치원,옥수예일유치원,서울특별시 성동구
78,유치원,율화유치원,서울특별시 성동구
79,유치원,조은유치원,서울특별시 성동구
80,유치원,한양여자대학교부속유치원,서울특별시 성동구
81,유치원,경원유치원,서울특별시 광진구
82,유치원,경하유치원,서울특별시 광진구
83,유치원,광남유치원,서울특별시 광진구
84,유치원,광장유치원,서울특별시 광진구
85,유치원,대원유치원,서울특별시 광진구
86,유치원,동심유치원,서울특별시 광진구
87,유치원,동인유치원,서울특별시 광진구
88,유치원,미파유치원,서울특별시 광진구
89,유치원,보성유치원,서울특별시 광진구
90,유치원,샬롬유치원,서울특별시 광진구
91,유치원,서울구의초등학교병설유치원,서울특별시 광진구
92,유치원,서울신자초등학교병설유치원,서울특별시 광진구
93,유치원,서울양남초등학교병설유치원,서울특별시 광진구
94,유치원,서울양진초등학교병설유치원,서울특별시 광진구
95,유치원,서울자양초등학교병설유치원,서울특별시 광진구
96,유치원,서울중광초등학교병설유치원,서울특별시 광진구
97,유치원,선경유치원,서울특별시 광진구
98,유치원,선미유치원,서울특별시 광진구
99,유치원,선양유치원,서울특별시 광진구
100,유치원,선화유치원,서울특별시 광진구
101,유치원,성산유치원,서울특별시 광진구
102,유치원,성수아름유치원,서울특별시 광진구
103,유치원,슬기유치원,서울특별시 광진구
104,유치원,아이조아유치원,서울특별시 광진구
105,유치원,어린이회관유치원,서울특별시 광진구
106,유치원,영화유치원,서울특별시 광진구
107,유치원,예일유치원,서울특별시 광진구
108,유치원,윤진유치원,서울특별시 광진구
109,유치원,인애유치원,서울특별시 광진구
110,유치원,자양유치원,서울특별시 광진구
111,유치원,자양하나유치원,서울특별시 광진구
112,유치원,정신유치원,서울특별시 광진구
113,유치원,청구이화유치원,서울특별시 광진구
114,유치원,프라임유치원,서울특별시 광진구
115,유치원,한일유치원,서울특별시 광진구
116,유치원,현정유치원,서울특별시 광진구
117,유치원,경희유치원,서울특별시 동대문구
118,유치원,규전유치원,서울특별시 동대문구
119,유치원,그림유치원,서울특별시 동대문구
120,유치원,동광유치원,서울특별시 동대문구
121,유치원,동안유치원,서울특별시 동대문구
122,유치원,백주유치원,서울특별시 동대문구
123,유치원,빛나유치원,서울특별시 동대문구
124,유치원,사군자유치원,서울특별시 동대문구
125,유치원,사랑유치원,서울특별시 동대문구
126,유치원,산정현유치원,서울특별시 동대문구
127,유치원,삼성유치원,서울특별시 동대문구
128,유치원,새소리유치원,서울특별시 동대문구
129,유치원,새일문유치원,서울특별시 동대문구
130,유치원,서울군자초등학교병설유치원,서울특별시 동대문구
131,유치원,서울답십리초등학교병설유치원,서울특별시 동대문구
132,유치원,서울유치원,서울특별시 동대문구
133,유치원,서울이문유치원,서울특별시 동대문구
134,유치원,서울이문초등학교병설유치원,서울특별시 동대문구
135,유치원,서울장평초등학교병설유치원,서울특별시 동대문구
136,유치원,서울전동초등학교병설유치원,서울특별시 동대문구
137,유치원,서울홍파초등학교병설유치원,서울특별시 동대문구
138,유치원,서울휘경유치원,서울특별시 동대문구
139,유치원,서울휘봉초등학교병설유치원,서울특별시 동대문구
140,유치원,세하유치원,서울특별시 동대문구
141,유치원,소화유치원,서울특별시 동대문구
142,유치원,신동아유치원,서울특별시 동대문구
143,유치원,아이비유치원,서울특별시 동대문구
144,유치원,예일유치원,서울특별시 동대문구
145,유치원,자람유치원,서울특별시 동대문구
146,유치원,정원유치원,서울특별시 동대문구
147,유치원,젬마유치원,서울특별시 동대문구
148,유치원,푸른솔유치원,서울특별시 동대문구
149,유치원,한양유치원,서울특별시 동대문구
150,유치원,홍릉유치원,서울특별시 동대문구
151,유치원,나래유치원,서울특별시 중랑구
152,유치원,누리에유치원,서울특별시 중랑구
153,유치원,동국유치원,서울특별시 중랑구
154,유치원,동성유치원,서울특별시 중랑구
155,유치원,동일유치원,서울특별시 중랑구
156,유치원,로뎅유치원,서울특별시 중랑구
157,유치원,미광유치원,서울특별시 중랑구
158,유치원,미림유치원,서울특별시 중랑구
159,유치원,봄내유치원,서울특별시 중랑구
160,유치원,새샛별유치원,서울특별시 중랑구
161,유치원,새아랑유치원,서울특별시 중랑구
162,유치원,색동유치원,서울특별시 중랑구
163,유치원,서안유치원,서울특별시 중랑구
164,유치원,서울동원초등학교병설유치원,서울특별시 중랑구
165,유치원,서울면동초등학교병설유치원,서울특별시 중랑구
166,유치원,서울면목초등학교병설유치원,서울특별시 중랑구
167,유치원,서울면북초등학교병설유치원,서울특별시 중랑구
168,유치원,서울묵현초등학교병설유치원,서울특별시 중랑구
169,유치원,서울새솔유치원,서울특별시 중랑구
170,유치원,서울중곡초등학교병설유치원,서울특별시 중랑구
171,유치원,서울중랑초등학교병설유치원,서울특별시 중랑구
172,유치원,서울중흥초등학교병설유치원,서울특별시 중랑구
173,유치원,세종유치원,서울특별시 중랑구
174,유치원,수산유치원,서울특별시 중랑구
175,유치원,신일유치원,서울특별시 중랑구
176,유치원,아랑유치원,서울특별시 중랑구
177,유치원,영은유치원,서울특별시 중랑구
178,유치원,예원유치원,서울특별시 중랑구
179,유치원,예지유치원,서울특별시 중랑구
180,유치원,유리유치원,서울특별시 중랑구
181,유치원,윤경유치원,서울특별시 중랑구
182,유치원,은성유치원,서울특별시 중랑구
183,유치원,이루니유치원,서울특별시 중랑구
184,유치원,정암유치원,서울특별시 중랑구
185,유치원,진달래유치원,서울특별시 중랑구
186,유치원,개동유치원,서울특별시 성북구
187,유치원,광운유치원,서울특별시 성북구
188,유치원,까망유치원,서울특별시 성북구
189,유치원,나래유치원,서울특별시 성북구
190,유치원,덕수유치원,서울특별시 성북구
191,유치원,동덕여자대학교부속유치원,서울특별시 성북구
192,유치원,동선유치원,서울특별시 성북구
193,유치원,두산효자유치원,서울특별시 성북구
194,유치원,루이유치원,서울특별시 성북구
195,유치원,명덕유치원,서울특별시 성북구
196,유치원,반디유치원,서울특별시 성북구
197,유치원,빛나라유치원,서울특별시 성북구
198,유치원,사랑유치원,서울특별시 성북구
199,유치원,새삼선유치원,서울특별시 성북구
200,유치원,새싹유치원,서울특별시 성북구
201,유치원,서울길원초등학교병설유치원,서울특별시 성북구
202,유치원,서울길음유치원,서울특별시 성북구
203,유치원,서울돈암초등학교병설유치원,서울특별시 성북구
204,유치원,서울동신초등학교병설유치원,서울특별시 성북구
205,유치원,서울베네딕도유치원,서울특별시 성북구
206,유치원,서울삼선초등학교병설유치원,서울특별시 성북구
207,유치원,서울석관초등학교병설유치원,서울특별시 성북구
208,유치원,서울성북초등학교병설유치원,서울특별시 성북구
209,유치원,서울숭곡초등학교병설유치원,서울특별시 성북구
210,유치원,서울숭례초등학교병설유치원,서울특별시 성북구
211,유치원,서울장곡초등학교병설유치원,서울특별시 성북구
212,유치원,서울장월초등학교병설유치원,서울특별시 성북구
213,유치원,서울정덕초등학교병설유치원,서울특별시 성북구
214,유치원,서울청덕초등학교병설유치원,서울특별시 성북구
215,유치원,선정유치원,서울특별시 성북구
216,유치원,선한유치원,서울특별시 성북구
217,유치원,성신유치원,서울특별시 성북구
218,유치원,세아유치원,서울특별시 성북구
219,유치원,신암유치원,서울특별시 성북구
220,유치원,아랑유치원,서울특별시 성북구
221,유치원,영광유치원,서울특별시 성북구
222,유치원,영암유치원,서울특별시 성북구
223,유치원,영재유치원,서울특별시 성북구
224,유치원,영천유치원,서울특별시 성북구
225,유치원,예린유치원,서울특별시 성북구
226,유치원,우촌유치원,서울특별시 성북구
227,유치원,은영유치원,서울특별시 성북구
228,유치원,은하유치원,서울특별시 성북구
229,유치원,좋은나라유치원,서울특별시 성북구
230,유치원,천사유치원,서울특별시 성북구
231,유치원,탑주유치원,서울특별시 성북구
232,유치원,푸른샘유치원,서울특별시 성북구
233,유치원,한가람유치원,서울특별시 성북구
234,유치원,한마음유치원,서울특별시 성북구
235,유치원,해뜨는유치원,서울특별시 성북구
236,유치원,햇님유치원,서울특별시 성북구
237,유치원,희망찬유치원,서울특별시 성북구
238,유치원,경은유치원,서울특별시 강북구
239,유치원,금성유치원,서울특별시 강북구
240,유치원,꿈꾸는유치원,서울특별시 강북구
241,유치원,꿈동산유치원,서울특별시 강북구
242,유치원,동명유치원,서울특별시 강북구
243,유치원,새시대유치원,서울특별시 강북구
244,유치원,서울미양초등학교병설유치원,서울특별시 강북구
245,유치원,서울번동초등학교병설유치원,서울특별시 강북구
246,유치원,서울송천초등학교병설유치원,서울특별시 강북구
247,유치원,서울수유초등학교병설유치원,서울특별시 강북구
248,유치원,서울화계초등학교병설유치원,서울특별시 강북구
249,유치원,성실유치원,서울특별시 강북구
250,유치원,성체유치원,서울특별시 강북구
251,유치원,솔샘유치원,서울특별시 강북구
252,유치원,신극동유치원,서울특별시 강북구
253,유치원,아름유치원,서울특별시 강북구
254,유치원,예원유치원,서울특별시 강북구
255,유치원,오누이유치원,서울특별시 강북구
256,유치원,운산유치원,서울특별시 강북구
257,유치원,유안유치원,서울특별시 강북구
258,유치원,인수유치원,서울특별시 강북구
259,유치원,창문유치원,서울특별시 강북구
260,유치원,하나유치원,서울특별시 강북구
261,유치원,화계유치원,서울특별시 강북구
262,유치원,꿈밭유치원,서울특별시 도봉구
263,유치원,나래유치원,서울특별시 도봉구
264,유치원,다솜유치원,서울특별시 도봉구
265,유치원,덕성여자대학교부속유치원,서울특별시 도봉구
266,유치원,보나유치원,서울특별시 도봉구
267,유치원,사랑유치원,서울특별시 도봉구
268,유치원,삼풍유치원,서울특별시 도봉구
269,유치원,서울도봉초등학교병설유치원,서울특별시 도봉구
270,유치원,서울신창초등학교병설유치원,서울특별시 도봉구
271,유치원,서울신학초등학교병설유치원,서울특별시 도봉구
272,유치원,서울창동초등학교병설유치원,서울특별시 도봉구
273,유치원,선희유치원,서울특별시 도봉구
274,유치원,솔샘유치원,서울특별시 도봉구
275,유치원,슬기유치원,서울특별시 도봉구
276,유치원,신창유치원,서울특별시 도봉구
