,학제,학교 세부 유형,시도,교육지원청,행정구,학교명,본분교,학교상태,우편번호,도로명주소,법정동
15471,중학교,일반중학교,서울,중부,종로구,경신중학교,본교,기존(원)교,030-67 ,서울특별시 종로구 혜화로 74 (혜화동.경신중고등학교),서울특별시 종로구
15472,중학교,일반중학교,서울,중부,종로구,대신중학교,본교,기존(원)교,030-29 ,서울특별시 종로구 사직로 9 (행촌동),서울특별시 종로구
15473,중학교,일반중학교,서울,중부,종로구,덕성여자중학교,본교,기존(원)교,030-62 ,서울특별시 종로구 율곡로3길 49 (송현동),서울특별시 종로구
15474,중학교,일반중학교,서울,중부,종로구,동성중학교,본교,기존(원)교,030-83 ,서울특별시 종로구 대학로 156 동성중학교 (혜화동 90-7),서울특별시 종로구
15475,중학교,일반중학교,서울,중부,종로구,배화여자중학교,본교,기존(원)교,030-27 ,서울특별시 종로구 필운대로1길 34 배화여자중학교,서울특별시 종로구
15476,중학교,일반중학교,서울,중부,종로구,상명대학교사범대학부속여자중학교,본교,기존(원)교,030-16 ,서울특별시 종로구 홍지문2길 20 (홍지동),서울특별시 종로구
15477,중학교,일반중학교,서울,중부,종로구,서울대학교사범대학부설여자중학교,본교,기존(원)교,030-87 ,서울특별시 종로구 대학로 64 . 서울대학교사범대학부설여자중학교 (이화동),서울특별시 종로구
15478,중학교,일반중학교,서울,중부,종로구,중앙중학교,본교,기존(원)교,030-51 ,서울특별시 종로구 창덕궁길 164 중앙중학교 (계동),서울특별시 종로구
15479,중학교,일반중학교,서울,중부,종로구,청운중학교,본교,기존(원)교,030-47 ,서울특별시 종로구 창의문로 51 (청운동),서울특별시 종로구
15480,중학교,일반중학교,서울,중부,중구,금호여자중학교,본교,기존(원)교,045-87 ,서울특별시 중구 청구로 6 . 금호여자중학교 본관동(주1) (신당동),서울특별시 중구
15481,중학교,일반중학교,서울,중부,중구,대경중학교,본교,기존(원)교,045-92 ,서울특별시 중구 매봉18길 111 (신당동),서울특별시 중구
15482,중학교,일반중학교,서울,중부,중구,덕수중학교,본교,기존(원)교,045-48 ,서울 중구 마른내로9길 10 (인현동2가.덕수중학교),서울특별시 중구
15483,중학교,일반중학교,서울,중부,중구,장원중학교,본교,기존(원)교,046-03 ,서울특별시 중구 동호로15길 93-34 (신당동),서울특별시 중구
15484,중학교,일반중학교,서울,중부,중구,장충중학교,본교,기존(원)교,046-03 ,서울특별시 중구 동호로15길 93 (신당동),서울특별시 중구
15485,중학교,일반중학교,서울,중부,중구,창덕여자중학교,본교,기존(원)교,045-16 ,서울특별시 중구 정동길 22 . 창덕여자중학교 (정동),서울특별시 중구
15486,중학교,일반중학교,서울,중부,중구,한양중학교,본교,기존(원)교,045-66 ,서울특별시 중구 을지로 299 (신당동),서울특별시 중구
15487,중학교,일반중학교,서울,중부,중구,환일중학교,본교,기존(원)교,045-00 ,서울특별시 중구 환일길 47 (만리동2가),서울특별시 중구
15488,중학교,일반중학교,서울,중부,용산구,배문중학교,본교,기존(원)교,043-05 ,서울특별시 용산구 효창원로 258 . 배문중학교 (서계동),서울특별시 용산구
15489,중학교,일반중학교,서울,중부,용산구,보성여자중학교,본교,기존(원)교,043-38 ,서울특별시 용산구 신흥로3가길 66 (용산동2가),서울특별시 용산구
15490,중학교,일반중학교,서울,중부,용산구,선린중학교,본교,기존(원)교,043-14 ,서울특별시 용산구 원효로97길 33-4 (청파동3가),서울특별시 용산구
15491,중학교,일반중학교,서울,중부,용산구,성심여자중학교,본교,기존(원)교,043-61 ,서울특별시 용산구 원효로19길 49 . 성심여자중학교 (원효로4가),서울특별시 용산구
15492,중학교,일반중학교,서울,중부,용산구,신광여자중학교,본교,기존(원)교,043-13 ,서울특별시 용산구 청파로 263 학교법인신광학원 (청파동3가),서울특별시 용산구
15493,중학교,일반중학교,서울,중부,용산구,오산중학교,본교,기존(원)교,043-96 ,서울특별시 용산구 보광로7길 17 (보광동.오산중학교),서울특별시 용산구
15494,중학교,일반중학교,서울,중부,용산구,용강중학교,본교,기존(원)교,044-23 ,서울특별시 용산구 이촌로65가길 91 (이촌동),서울특별시 용산구
