시도,행정구역,학제,학업중단자 합계,유예,면제,소계,품행,제적
전국,계,초등학교,14998,5990,9008,0,0,0
전국,계,중학교,8924,6689,2235,0,0,0
전국,계,고등학교,23741,94,13,22712,777,145
전국,계,(일반고),14924,64,8,14476,271,105
전국,계,(특목고),753,2,0,731,18,2
전국,계,(특성화고),6807,21,5,6274,469,38
전국,계,(자율고),1257,7,0,1231,19,0
서울,종로구,초등학교,73,26,47,0,0,0
서울,종로구,중학교,30,25,5,0,0,0
서울,종로구,고등학교,175,0,0,174,1,0
서울,종로구,(일반고),99,0,0,98,1,0
서울,종로구,(특목고),33,0,0,33,0,0
서울,종로구,(특성화고),32,0,0,32,0,0
서울,종로구,(자율고),11,0,0,11,0,0
서울,종로구,소계,278,51,52,174,1,0
서울,중구,초등학교,123,50,73,0,0,0
서울,중구,중학교,16,12,4,0,0,0
서울,중구,고등학교,88,0,0,85,3,0
서울,중구,(일반고),16,0,0,16,0,0
서울,중구,(특목고),2,0,0,2,0,0
서울,중구,(특성화고),47,0,0,45,2,0
서울,중구,(자율고),23,0,0,22,1,0
서울,중구,소계,227,62,77,85,3,0
서울,용산구,초등학교,146,54,92,0,0,0
서울,용산구,중학교,76,51,25,0,0,0
서울,용산구,고등학교,94,0,0,88,5,1
서울,용산구,(일반고),56,0,0,55,0,1
서울,용산구,(특성화고),20,0,0,16,4,0
서울,용산구,(자율고),18,0,0,17,1,0
서울,용산구,소계,316,105,117,88,5,1
서울,성동구,초등학교,160,57,103,0,0,0
서울,성동구,중학교,36,25,11,0,0,0
서울,성동구,고등학교,59,2,0,55,2,0
서울,성동구,(일반고),22,1,0,21,0,0
서울,성동구,(특성화고),26,0,0,24,2,0
서울,성동구,(자율고),11,1,0,10,0,0
서울,성동구,소계,255,84,114,55,2,0
서울,광진구,초등학교,175,70,105,0,0,0
서울,광진구,중학교,72,48,24,0,0,0
서울,광진구,고등학교,146,0,0,145,1,0
서울,광진구,(일반고),108,0,0,108,0,0
서울,광진구,(특목고),23,0,0,23,0,0
서울,광진구,(자율고),15,0,0,14,1,0
서울,광진구,소계,393,118,129,145,1,0
서울,동대문구,초등학교,101,33,68,0,0,0
서울,동대문구,중학교,37,24,13,0,0,0
서울,동대문구,고등학교,161,1,0,150,9,1
서울,동대문구,(일반고),63,1,0,60,2,0
서울,동대문구,(특성화고),55,0,0,49,5,1
서울,동대문구,(자율고),43,0,0,41,2,0
서울,동대문구,소계,299,58,81,150,9,1
서울,중랑구,초등학교,72,29,43,0,0,0
서울,중랑구,중학교,48,42,6,0,0,0
서울,중랑구,고등학교,129,1,0,126,1,1
서울,중랑구,(일반고),89,1,0,87,0,1
서울,중랑구,(특성화고),15,0,0,15,0,0
서울,중랑구,(자율고),25,0,0,24,1,0
서울,중랑구,소계,249,72,49,126,1,1
서울,성북구,초등학교,186,64,122,0,0,0
서울,성북구,중학교,87,67,20,0,0,0
서울,성북구,고등학교,190,1,0,182,5,2
서울,성북구,(일반고),89,0,0,85,2,2
서울,성북구,(특목고),20,0,0,20,0,0
서울,성북구,(특성화고),67,0,0,64,3,0
서울,성북구,(자율고),14,1,0,13,0,0
서울,성북구,소계,463,132,142,182,5,2
서울,강북구,초등학교,49,18,31,0,0,0
서울,강북구,중학교,49,35,14,0,0,0
서울,강북구,고등학교,89,0,0,83,6,0
서울,강북구,(일반고),53,0,0,50,3,0
서울,강북구,(특성화고),3,0,0,3,0,0
서울,강북구,(자율고),33,0,0,30,3,0
서울,강북구,소계,187,53,45,83,6,0
서울,도봉구,초등학교,63,26,37,0,0,0
서울,도봉구,중학교,35,29,6,0,0,0
서울,도봉구,고등학교,114,0,0,108,6,0
