,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
0,K10,강원도교육청,강릉시,교습소,3000010602,Apex(에이펙스)영어교습소,20120803,20120803,개원,,,72,9.0,입시.검정 및 보습,보통교과,영어(초),보습,영어(초):230000/ 영어(중):250000/ 영어(고):280000,Y,N,25616,강원도 강릉시 성덕로 316-15,/ 2층 (이안타운상가) (입암동),20210604
1,K10,강원도교육청,강릉시,교습소,3000013247,EDI수학교습소,20191101,20191028,개원,,,14,7.0,입시.검정 및 보습,보통교과,,보습,,Y,N,25500,강원도 강릉시 원대로 112,/ 202호 (교동/ 부영아파트 상가),20210604
2,K10,강원도교육청,강릉시,교습소,10153,IBT(아이비티)주니어교습소,20100907,20100907,개원,,,47,4.0,국제화,외국어,영어(초)A,실용외국어(유아/초・중・고),,Y,N,25534,강원도 강릉시 토성로 118,/ 2층 (용강동),20210604
3,K10,강원도교육청,강릉시,교습소,9815,J&P English(잉글리시)영어교습소,20091224,20091224,개원,,,45,9.0,입시.검정 및 보습,보통교과,영어(초) 1회55분 수업,보습,영어(초) 1회55분 수업:150000/ 영어(초) 1회60분 수업:170000/ 영어(중):180000/ 영어(고):200000,Y,N,25535,강원도 강릉시 토성로 98,/ 1층 (홍제동),20210604
4,K10,강원도교육청,강릉시,교습소,3000010849,Math4U(메스포유)수학교습소,20130228,20130228,개원,,,72,6.0,입시.검정 및 보습,보통교과,수학(초)1과정,보습,수학(초)1과정:120000/ 수학(초)2과정:160000/ 수학(초)3과정:180000/ 수학(중)1과정:180000/ 수학(중)2과정:180000/ 수학(중)3과정:220000/ 수학(중)4과정:250000/ 수학(중)5과정:250000/ 수학(고)1과정:220000/ 수학(고)2과정:220000/ 수학(고)3과정:250000/ 수학(고)4과정:300000,Y,N,25565,강원도 강릉시 하평4길 45,/ 1층 (포남동),20210604
5,K10,강원도교육청,강릉시,교습소,3000012296,Math`y(매씨)수학교습소,20170117,20170117,개원,,,10,5.0,입시.검정 및 보습,보통교과,수학(중등),보습,수학(중등):250000/ 수학(고등):300000,Y,N,25494,강원도 강릉시 가작로 71,/ 상가동 2층 201호 (교동/ 부영아파트),20210604
6,K10,강원도교육청,강릉시,교습소,3000013049,M수학교습소,20190227,20190227,개원,,,6,2.0,입시.검정 및 보습,보통교과,,보습,,Y,N,25528,강원도 강릉시 토성로 119,(용강동),20210604
7,K10,강원도교육청,강릉시,교습소,3000013040,SEL영어교습소,20190225,20190225,개원,,,15,5.0,입시.검정 및 보습,보통교과,영어(초등),보습,영어(초등):200000/ 영어(중등):240000/ 영어(고등):250000,Y,N,25513,강원도 강릉시 율곡초교길39번길 19-4,(교동),20210718
8,K10,강원도교육청,강릉시,교습소,3000013268,Sunny(써니)해법영어교습소,20191120,20191120,개원,,,27,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,25494,강원도 강릉시 가작로 71,/ 205호 (교동/ 부영아파트),20210604
9,K10,강원도교육청,강릉시,교습소,3000013458,TOP English(탑잉글리시)영어교습소,20200525,20200525,개원,,,18,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,25559,강원도 강릉시 경강로 2511,/ 203호 (송정동/ 강릉아이파크아파트),20210604
10,K10,강원도교육청,강릉시,교습소,3000010909,UP & UP English 영어교습소,20130417,20130417,개원,,,3,9.0,입시.검정 및 보습,보통교과,영어,보습,,Y,N,25554,강원도 강릉시 옥천로 25,(옥천동),20210604
11,K10,강원도교육청,강릉시,교습소,9774,강남점삼성영어교습소,20091204,20091204,개원,,,60,5.0,국제화,외국어,영어회화(초),실용외국어(유아/초・중・고),영어회화(초):170000/ 영어회화(중):180000/ 영어회화(고):200000,Y,N,25591,강원도 강릉시 노암길42번길 29-1,/ 1층 (노암동),20210604
12,K10,강원도교육청,강릉시,교습소,3000012793,강샘수학교습소,20180528,20180517,개원,,,18,6.0,입시.검정 및 보습,보통교과,,보습,,Y,N,25488,강원도 강릉시 가작로 272,/ 2층 (포남동),20210604
13,K10,강원도교육청,강릉시,교습소,3000013497,강수학교습소,20200804,20200804,개원,,,12,4.0,입시.검정 및 보습,보통교과,수학(초등),보습,수학(초등):180000/ 수학(중등):210000/ 수학(고등):250000,Y,N,25535,강원도 강릉시 토성로 94,/ 1층 (홍제동),20210604
14,K10,강원도교육청,강릉시,교습소,3000013300,경화(景話)중국어교습소,20191220,20191217,개원,,,30,5.0,국제화,외국어,,실용외국어(유아/초・중・고),,Y,N,25583,강원도 강릉시 입암로 33,/ 2층 (입암동),20210718
