,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
0,Q10,전라남도교육청,강진군,교습소,3000012419,그림놀이터,20161007,20161007,개원,,,36,9.0,예능(대),예능(중),,미술,,Y,N,59234,전라남도 강진군 강진읍 중앙로 88,/ 106호 (강진읍),20210718
1,Q10,전라남도교육청,강진군,교습소,3000013753,드림하이교습소,20191231,20191231,개원,,,15,5.0,입시.검정 및 보습,보통교과,영어(초),보습,영어(초):100000/ 영어(중):120000/ 영어(고):150000,Y,N,59203,전라남도 강진군 성전면 예향로 2,/ 2층 (성전면),20210718
2,Q10,전라남도교육청,강진군,교습소,3000013861,바이토리음악교습소,20200407,20200407,개원,,,54,9.0,예능(대),예능(중),,음악,,Y,N,59235,전라남도 강진군 강진읍 중앙로 69,/ 1층 (강진읍),20210718
3,Q10,전라남도교육청,강진군,교습소,3000012438,박학천 논술 교습소,20161027,20161027,개원,,,21,7.0,입시.검정 및 보습,보통교과,,보습·논술,,Y,N,59229,전라남도 강진군 강진읍 영랑로 58,/ 3층 (강진읍),20210718
4,Q10,전라남도교육청,강진군,교습소,3000013789,베스트영어교습소,20200128,20200128,개원,,,9,9.0,입시.검정 및 보습,보통교과,영어,보습,영어:230000/ 영어:250000/ 영어:300000,Y,N,59235,전라남도 강진군 강진읍 중앙로 81,/ 208호 (강진읍),20210718
5,Q10,전라남도교육청,강진군,교습소,3000010097,북클럽스터디 교습소,20110421,20110421,개원,,,45,9.0,입시.검정 및 보습,보통교과,보통교과,보습,,Y,N,59238,전라남도 강진군 강진읍 중앙동길 6,/ 102-102 대아아파트 상가 (강진읍/ 대아아파트),20210718
6,Q10,전라남도교육청,강진군,교습소,3000012565,서유당,20170116,20161111,개원,,,25,5.0,입시.검정 및 보습,보통교과,보통교과,보습,보통교과:120000,Y,N,59238,전라남도 강진군 강진읍 중앙동길 2,/ 103호 (강진읍),20210718
7,Q10,전라남도교육청,강진군,교습소,3000011200,소리샘 음악교습소,20140102,20131231,개원,,,54,9.0,예능(대),예능(중),,음악,,Y,,527882,전라남도 강진군 도암면 도암중앙로 76,(도암면),20210718
8,Q10,전라남도교육청,강진군,교습소,4626,영키타교습소,20061120,20061115,개원,,,54,9.0,예능(대),예능(중),키타,음악,,Y,N,527802,전라남도 강진군 강진읍 보은로3길 36,(강진읍),20210718
9,Q10,전라남도교육청,강진군,교습소,3000013185,윤선생우리집앞영어교실교습소,20180623,20180529,개원,,,36,9.0,국제화,외국어,,실용외국어(유아/초·중·고),,Y,N,59267,전라남도 강진군 마량면 까막섬로 37,(마량면),20210718
10,Q10,전라남도교육청,강진군,교습소,3000012024,최고수학,20151109,20151103,개원,,,27,9.0,입시.검정 및 보습,보통교과,수학,보습,수학:180000,Y,N,527805,전라남도 강진군 강진읍 중앙로 88,/ 202호 (강진읍/ 금호상가),20210718
11,Q10,전라남도교육청,강진군,교습소,3000013711,최은복피아노교습소,20191127,20191127,개원,,,27,9.0,예능(대),예능(중),,음악,,Y,N,59227,전라남도 강진군 강진읍 탐진로 51-11,/ 1층 103호 (강진읍),20210905
12,Q10,전라남도교육청,강진군,학원,3000012425,EiE고려대학교 국제어학원,20161018,20161017,개원,,,385,55.0,국제화,외국어,,실용외국어(유아/초·중·고),,,N,59232,전라남도 강진군 강진읍 영랑로 34,/ 4층 (강진읍),20210718
13,Q10,전라남도교육청,강진군,학원,3000012426,강진중앙학원,20161018,20161018,개원,,,84,12.0,국제화,외국어,,실용외국어(유아/초·중·고),,Y,N,59234,전라남도 강진군 강진읍 평동2길 24,/ 1층 (강진읍/ 코스모스빌라),20210718
14,Q10,전라남도교육청,강진군,학원,3000011638,두드림영어학원,20141230,20141230,개원,,,100,20.0,입시.검정 및 보습,보통교과,보습/,보습,,,,527805,전라남도 강진군 강진읍 중앙로 73,(강진읍),20210718
15,Q10,전라남도교육청,강진군,학원,3000011720,맥수학학원,20150305,20150305,개원,,,150,50.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,59234,전라남도 강진군 강진읍 중앙로 88,/ 203 (강진읍/ 금호상가),20210718
16,Q10,전라남도교육청,강진군,학원,3000011659,멘토학원,20150114,20150114,개원,,,125,25.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,59233,전라남도 강진군 강진읍 중앙로 102,/ 2층 (강진읍),20210718
17,Q10,전라남도교육청,강진군,학원,2000006502,멜로디피아노학원,20020222,20020222,개원,,,120,11.0,예능(대),예능(중),음악/,음악,,Y,N,59234,전라남도 강진군 강진읍 중앙로 88,(강진읍/금호상가),20210718
18,Q10,전라남도교육청,강진군,학원,3000010111,박정현피아노학원,20110428,20110428,개원,,,81,9.0,예능(대),예능(중),음악/,음악,,Y,N,59235,전라남도 강진군 강진읍 중앙로 83-1,(강진읍),20210718
19,Q10,전라남도교육청,강진군,학원,3000010944,빅초이스학원,20130412,20130412,개원,,,360,60.0,입시.검정 및 보습,보통교과,보습/,보습,,,N,59228 ,전라남도 강진군 강진읍 탐진로 83,(강진읍),20210718
