,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
0,R10,경상북도교육청,경산시,교습소,3000014134,3030영어경산사동러닝센터교습소,20170209,20170209,개원,,,20,7.0,입시.검정 및 보습,보통교과,영어(초),보습,,Y,N,38604,경상북도 경산시 백자로10길 11,/ 상가3동 B105호 일부 (사동/ 경산사동사랑으로부영6차),20210912
1,R10,경상북도교육청,경산시,교습소,3000015300,3030유니스영어교습소,20181031,20181031,개원,,,42,7.0,입시.검정 및 보습,보통교과,초등영어(초급),보습,,Y,N,38662,경상북도 경산시 펜타힐즈2로 37,/ 407호 (중산동),20210912
2,R10,경상북도교육청,경산시,교습소,9762,ARTTIME미술교습소,20060922,20060922,개원,,,36,9.0,예능(대),예능(중),미술,미술,미술:100000/ 미술:90000/ 미술:80000/ 미술:70000,N,N,712733,경상북도 경산시 진량읍 영청길 22,청구아파트 상가202호,20210604
3,R10,경상북도교육청,경산시,교습소,3000016532,ERC영어독서클럽경산성암초점영어교습소,20210105,20210105,개원,,,36,6.0,국제화,외국어,영어(파닉스),실용외국어(유아/초·중·고),,Y,N,38662,경상북도 경산시 펜타힐즈2로 37,/ 힐즈스퀘어 3차 307호 (중산동),20210912
4,R10,경상북도교육청,경산시,교습소,3000016801,ERC영어독서클럽중산하늘채영어교습소,20210713,20210713,개원,,,24,6.0,국제화,외국어,영어,실용외국어(유아/초·중·고),,Y,N,38658,경상북도 경산시 경산로 280,/ 33호/ 1층 (중산동/ 중산 하늘채 더퍼스트),20210912
5,R10,경상북도교육청,경산시,교습소,13780,Ilove피아노교습소,20100930,20100930,개원,,,15,5.0,예능(대),예능(중),피아노(초급),음악,,Y,N,38605,경상북도 경산시 백자로10길 57 (사동/ 사동휴먼시아1단지아파트),상가203호,20210912
6,R10,경상북도교육청,경산시,교습소,11838,M베스트수학교습소,20090216,20090216,개원,,,21,7.0,입시.검정 및 보습,보통교과,수학(초등),보습,,N,N,38632,경상북도 경산시 원효로26길 26-1,/ 107호 (계양동),20210604
7,R10,경상북도교육청,경산시,교습소,3000016660,SJ수학교습소,20210323,20210323,개원,,,30,3.0,입시.검정 및 보습,보통교과,,보습,,Y,N,38594,경상북도 경산시 원효로42길 50,/ 1층 (사동),20210604
8,R10,경상북도교육청,경산시,교습소,3000015861,YBM잉글루영어교습소,20190826,20190826,개원,,,12,6.0,입시.검정 및 보습,보통교과,,보습,,Y,N,38604,경상북도 경산시 백양로32길 18,/ 경산사동사랑으로부영6차 상가2동 201호 (사동),20210912
9,R10,경상북도교육청,경산시,교습소,3000015024,강소수학교습소,20180525,20180525,개원,,,52,4.0,입시.검정 및 보습,보통교과,수학(초등),보습,,Y,N,38647,경상북도 경산시 백천동로 7,/ 상가 202호 (백천동/ 부영초록마을아파트),20210912
10,R10,경상북도교육청,경산시,교습소,3000015971,경대PM수학교습소,20191025,20191025,개원,,,20,4.0,입시.검정 및 보습,보통교과,,보습,,Y,N,38655,경상북도 경산시 대학로12길 23,/ 4층 (정평동),20210912
11,R10,경상북도교육청,경산시,교습소,3000012648,경대솔로몬수학교습소,20141110,20141110,개원,,,45,9.0,입시.검정 및 보습,보통교과,수학(초),보습,,Y,N,38650,경상북도 경산시 경청로218길 10-10,/ 1층 (백천동),20210912
12,R10,경상북도교육청,경산시,교습소,12799,경산바둑교습소,20091218,20091218,개원,,,63,9.0,기타(대),기타(중),,바둑,,N,N,712080,경상북도 경산시 경산로7길 14,/ 401호 (옥곡동),20210912
13,R10,경상북도교육청,경산시,교습소,3000013937,계명음악교습소,20161024,20161024,개원,,,51,9.0,예능(대),예능(중),피아노초급,음악,피아노초급:100000/ 피아노중급:110000/ 피아노고급:120000/ 바이올린초급:110000/ 바이올린중급:120000/ 바이올린고급:130000/ 피아노초급:80000/ 피아노중급:90000/ 피아노고급:90000/ 바이올린초급:80000/ 바이올린중급:90000/ 바이올린고급:100000,Y,N,38672,경상북도 경산시 성암로9길 32,/ 102호 (옥산동),20210604
14,R10,경상북도교육청,경산시,교습소,3000014871,계명피아노교습소,20180306,20180306,개원,,,15,5.0,예능(대),예능(중),,음악,,Y,N,38606,경상북도 경산시 솔숲길 98,/ 101호 (평산동),20210912
15,R10,경상북도교육청,경산시,교습소,3000012004,고대영어교습소,20131114,20131114,개원,,,27,9.0,입시.검정 및 보습,보통교과,영어(초등),보습,,Y,N,712774,경상북도 경산시 성암로21길 63,/ 상가동 107호 (중산동/경남 신성아파트),20210912
