,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
0,S10,경상남도교육청,거제시,교습소,3000014427,1st클래스(class)영어교습소,20150813,20150813,개원,,,27,9.0,입시.검정 및 보습,보통교과,,보습,영어 초등:170000/ 영어 중등:230000/ 영어 고등:290000/ 중등 주5회:290000/ 중등 주5회:390000/ 고등 주3회:210000/ 고등 주5회:360000/ 고등 주5회:480000/ 고등 주3회:280000,Y,N,53296,경상남도 거제시 상동1길 15-11,/ 301호 (상동동/ 덕산3차베스트타운),20210829
1,S10,경상남도교육청,거제시,교습소,3000016277,3030연초러닝센터영어교습소,20170313,20170313,개원,,,27,9.0,입시.검정 및 보습,보통교과,,보습,초등영어반:170000/ 중등영어반:190000/ 고등영어반:300000/ 대학생 영어반(주3회/성인):235000,Y,N,53212,경상남도 거제시 연초면 거제북로 45,/ 3층 301호 (연초면),20210829
2,S10,경상남도교육청,거제시,교습소,3000018012,3030영어교습소,20181212,20181212,개원,,,18,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,53307,경상남도 거제시 아주2로 117,/ 301호 (아주동),20210829
3,S10,경상남도교육청,거제시,교습소,13927,H독서논술교습소,20090828,20090828,개원,,,80,9.0,입시.검정 및 보습,보통교과,독서논술(초등),보습,,Y,N,53246,경상남도 거제시 중곡로 42,/ 덕산1차아파트상가 201호 (고현동/ 덕산베스트타운),20210829
4,S10,경상남도교육청,거제시,교습소,3000020178,KO수학교습소,20210622,20210622,개원,,,72,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,53237,경상남도 거제시 수양로 460,/ 401호 (수월동),20210829
5,S10,경상남도교육청,거제시,교습소,3000011643,M&S수학교습소,20120802,20120802,개원,,,48,9.0,입시.검정 및 보습,보통교과,초등기초수학,보습,초등기초수학:180000/ 초등수학:200000/ 중등수학 1:230000/ 중등수학 2:250000/ 중등 수학 매일반:330000/ 고등수학 1:300000/ 고등수학 2:350000/ 고등수학 매일반:380000,Y,N,53237,경상남도 거제시 수양로 440-2,/ 3층 (수월동),20210829
6,S10,경상남도교육청,거제시,교습소,3000011989,M.M수학교습소,20130115,20130117,개원,,,39,9.0,입시.검정 및 보습,보통교과,초등수학,보습,,Y,N,53315,경상남도 거제시 능포로2길 38,/ 상가 1동 207호 (능포동/ 옥명대우아파트),20210829
7,S10,경상남도교육청,거제시,교습소,3000012550,SM최강영어교습소,20130829,20130829,개원,,,30,6.0,입시.검정 및 보습,보통교과,,보습,,Y,N,53238,경상남도 거제시 해명로 52,/ 자이상가1동 207호 (수월동/ 거제자이),20210829
8,S10,경상남도교육청,거제시,교습소,3000019398,가음피아노교습소,20200629,20200629,개원,,,6,3.0,예능(대),예능(중),,음악,,Y,N,53331,경상남도 거제시 동부면 동부로 1,/ 1층 (동부면),20210829
9,S10,경상남도교육청,거제시,교습소,3000020213,고등영어교습소,20210709,20210708,개원,,,36,6.0,입시.검정 및 보습,보통교과,,보습,,Y,N,53236,경상남도 거제시 수양로 508,/ 3층 301호 (양정동),20210829
