,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
0,T10,제주특별자치도교육청,서귀포시,교습소,3000011846, 에스제이라이팅(SJEIwriting)영어교습소,20200226,20200226,개원,,,36,9.0,국제화,외국어,,실용외국어(유아/초·중·고),,Y,N,63644,제주특별자치도 서귀포시 대정읍 글로벌에듀로304번길 36,/ 가보드림타운 D동 202호 (대정읍),20210604
1,T10,제주특별자치도교육청,서귀포시,교습소,3000010316,Annie`sEnglish영어교습소,20120831,20120831,개원,,,54,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,63510,제주특별자치도 서귀포시 대정읍 신영로 130,(대정읍),20210604
2,T10,제주특별자치도교육청,서귀포시,교습소,3000010117,Canada영어교습소,20110803,20110803,개원,,,56,8.0,입시.검정 및 보습,보통교과,초등영어/주5회/월1/700분,보습,초등영어/주5회/월1/700분:190000/ 중등영어/주5회/월1/800분:220000/ 고등영어A/주5회/월2/000분:260000/ 고등영어B/주2회/2/000분:260000,Y,N,63508,제주특별자치도 서귀포시 대정읍 상모대서로 5,/ 2층 (대정읍),20210604
3,T10,제주특별자치도교육청,서귀포시,교습소,4419,E-mate영어교습소,20090122,20090122,개원,,,56,8.0,입시.검정 및 보습,보통교과,영어(초),보습,,Y,N,63606,제주특별자치도 서귀포시 효돈로 158,(하효동),20210604
4,T10,제주특별자치도교육청,서귀포시,교습소,3000011141,EM수학교습소,20170302,20170302,개원,,,24,4.0,입시.검정 및 보습,보통교과,수학(초),보습,수학(초):150000/ 수학(중):180000,Y,N,63584,제주특별자치도 서귀포시 중앙로 159-1,/ 1층 (서홍동),20210604
5,T10,제주특별자치도교육청,서귀포시,교습소,3000010152,EM영어교습소,20111031,20111031,개원,,,35,5.0,입시.검정 및 보습,보통교과,영어(초),보습,영어(초):150000/ 영어(중):180000,Y,N,63584,제주특별자치도 서귀포시 중앙로 159-1,/ 1층 (서홍동),20210604
6,T10,제주특별자치도교육청,서귀포시,교습소,3000010746,EnglishBuddy영어교습소,20150217,20150217,개원,,,63,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,63588,제주특별자치도 서귀포시 동홍서로 109,(동홍동/ 그린크리닝뱅크),20210604
7,T10,제주특별자치도교육청,서귀포시,교습소,4557,GreenIvy영어교습소,20091117,20091117,개원,,,36,6.0,입시.검정 및 보습,보통교과,초등영어/1일70분/주5회,보습,초등영어/1일70분/주5회:150000/ 중등영어/1일80분/주5회:200000,Y,N,63584,제주특별자치도 서귀포시 중앙로101번길 13,/ 2층 (서홍동/ 헤어지지마),20210604
8,T10,제주특별자치도교육청,서귀포시,교습소,4722,J수학교습소,20100916,20100916,개원,,,18,3.0,입시.검정 및 보습,보통교과,수학(초),보습,,Y,N,63587,제주특별자치도 서귀포시 동홍중앙로66번길 41,/ 1층 (동홍동/ 친친학원),20210604
9,T10,제주특별자치도교육청,서귀포시,교습소,3000011233,TANZHAUS무용교습소,20170621,20170621,개원,,,63,9.0,예능(대),예능(중),,무용,,Y,N,63566,제주특별자치도 서귀포시 신서로 66,/ 1층 (강정동),20210604
10,T10,제주특별자치도교육청,서귀포시,교습소,3000010909,TalkTalkEnglish영어교습소,20160106,20160105,개원,,,36,6.0,입시.검정 및 보습,보통교과,,보습,,Y,N,63587,제주특별자치도 서귀포시 동홍중앙로52번길 31,/ 1층 (동홍동),20210604
11,T10,제주특별자치도교육청,서귀포시,교습소,3000010578,WHYPLUS수학교습소,20140324,20140319,개원,,,40,5.0,입시.검정 및 보습,보통교과,수학(초등학교),보습,,Y,N,63584,제주특별자치도 서귀포시 중앙로 209,/ 2층 (서홍동),20210604
12,T10,제주특별자치도교육청,서귀포시,교습소,3000010021,Whyplus과학교습소,20110309,20110309,개원,,,63,9.0,입시.검정 및 보습,보통교과,과학(초),보습,,Y,N,63584,제주특별자치도 서귀포시 중앙로 209,/ 2층 (서홍동),20210604
13,T10,제주특별자치도교육청,서귀포시,교습소,3000010692,YBM시사리딩클럽영어교습소,20141127,20141127,개원,,,54,9.0,입시.검정 및 보습,보통교과,초등영어B,보습,,Y,N,63565,제주특별자치도 서귀포시 신서귀로76번길 6-6,(서호동/ 수재 예스셈),20210604
14,T10,제주특별자치도교육청,서귀포시,교습소,3000011686,YBM잉글루제주대정제1영어교습소,20190710,20190704,개원,,,56,8.0,입시.검정 및 보습,보통교과,고등영어,보습,,Y,N,63513,제주특별자치도 서귀포시 대정읍 상모로273번길 40,/ 2층 200호 (대정읍),20210604
15,T10,제주특별자치도교육청,서귀포시,교습소,3000012068,개미와베짱이수학교습소,20210818,20210818,개원,,,54,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,63530,제주특별자치도 서귀포시 안덕면 화순중앙로 29,/ 2층 (안덕면),20210822
16,T10,제주특별자치도교육청,서귀포시,교습소,3000010119,그리고꿈꾸다미술교습소,20110809,20110809,개원,,,54,9.0,예능(대),예능(중),유•초등미술(1일70분/ 주5회/ 월1/400분),미술,유•초등미술(1일70분/ 주5회/ 월1/400분):150000,Y,N,63586,제주특별자치도 서귀포시 동홍북로 13,/ 1층 (동홍동/ 씨티빌딩),20210604
17,T10,제주특별자치도교육청,서귀포시,교습소,3000010339,김영심피아노교습소,20121018,20121018,개원,,,45,5.0,예능(대),예능(중),피아노(초급),음악,,Y,N,63584,제주특별자치도 서귀포시 중앙로 167,(서홍동/ 아름다운가게),20210604
18,T10,제주특별자치도교육청,서귀포시,교습소,4762,김현정피아노교습소,20101104,20101104,개원,,,28,4.0,예능(대),예능(중),피아노(초급),음악,,Y,N,63546,제주특별자치도 서귀포시 천제연로 218,/ 2층 (중문동),20210604
19,T10,제주특별자치도교육청,서귀포시,교습소,3000012015,나무국어교습소,20210416,20210416,개원,,,35,7.0,입시.검정 및 보습,보통교과,,보습,,Y,N,63516,제주특별자치도 서귀포시 대정읍 신평로70번길 12-16,/ 1층 (대정읍),20210604
20,T10,제주특별자치도교육청,서귀포시,교습소,3000011729,남원잉글리쉬버디영어교습소,20190904,20190903,개원,,,63,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,63621,제주특별자치도 서귀포시 남원읍 태위로679번길 4-1,/ 2층 (남원읍),20210604
21,T10,제주특별자치도교육청,서귀포시,교습소,3000012010,네이든드럼교습소,20210402,20210402,개원,,,40,4.0,예능(대),예능(중),,음악,,Y,N,63644,제주특별자치도 서귀포시 대정읍 글로벌에듀로 390,/ A동 110호 (남영에듀클래스/ 대정읍),20210604
22,T10,제주특별자치도교육청,서귀포시,교습소,3000010502,능률주니어랩영어교습소,20131108,20131108,개원,,,36,6.0,입시.검정 및 보습,보통교과,초등영어A(1일 70분/ 주5회/ 월 1/400분),보습,초등영어A(1일 70분/ 주5회/ 월 1/400분):160000/ 초등영어B(1일 80분/ 주5회/ 월 1/600분):180000/ 중등영어(1일 80분/ 주5회/ 월 1/600분):200000,Y,N,63566,제주특별자치도 서귀포시 신동로27번길 24,(서호동/ 한솔고기국수),20210604
