가구ID,법정동코드,건강보험료,급여인원,급여금액
0,11110,2.04751068E8,50504,2.353076E12
1,11140,1.65419375E8,43810,1.894195E12
2,11170,3.41531013E8,86315,4.942793E12
3,11200,3.72909506E8,116243,4.929924E12
4,11215,4.00895235E8,139502,4.949835E12
5,11230,3.25319443E8,117744,3.783211E12
6,11260,3.33816917E8,139776,3.888819E12
7,11290,4.47964138E8,144303,5.413273E12
8,11305,2.44233288E8,102117,2.764297E12
9,11320,3.00996393E8,116510,3.530209E12
10,11350,5.34330966E8,188364,6.697695E12
11,11380,4.38408707E8,172919,5.452739E12
12,11410,3.32521118E8,112716,4.227723E12
13,11440,4.88218013E8,148218,6.336265E12
14,11470,5.86612159E8,170083,7.279487E12
15,11500,6.25072067E8,236070,8.221014E12
16,11530,4.29643044E8,162000,5.264673E12
17,11545,2.14168206E8,91260,2.531695E12
18,11560,4.86584118E8,156209,6.241782E12
19,11590,4.55165434E8,154339,5.915612E12
20,11620,4.86257191E8,205325,6.098873E12
21,11650,9.06448517E8,165674,1.1359238E13
22,11680,1.17822182E9,201206,1.4142558E13
23,11710,9.31733445E8,263839,1.2335849E13
24,11740,4.72061955E8,160371,5.82494E12
25,26110,3.124392E7,13053,3.13108E11
26,26140,8.5513553E7,33298,1.003905E12
27,26170,5.9807151E7,26122,6.8611E11
28,26200,8.6051883E7,36409,1.015442E12
29,26230,3.18678398E8,118350,3.624256E12
30,26260,2.59818024E8,87743,3.064044E12
31,26290,2.5079008E8,88591,3.131224E12
32,26320,2.75812552E8,101508,3.209206E12
33,26350,4.73940624E8,133266,5.462047E12
34,26380,2.84056891E8,116566,3.431638E12
35,26410,2.2940912E8,78579,2.720852E12
36,26440,1.32163265E8,47354,1.683042E12
37,26470,1.93235428E8,67477,2.296728E12
38,26500,1.6380454E8,57496,1.881045E12
39,26530,1.91822692E8,80000,2.173515E12
40,26710,1.35060748E8,51865,1.701808E12
41,27110,6.8138609E7,23693,7.58724E11
42,27140,2.63956011E8,110188,3.297807E12
43,27170,1.26377564E8,55408,1.319297E12
