유흥업소ID,법정동코드,사업장명,구분명
0,42150,아리랑나이트,고고(디스코)클럽
1,42150,소야노래공원,룸살롱
2,42150,하나노래궁,기타
3,42150,팡팡,룸살롱
4,42150,아우라,룸살롱
5,42150,여의주노래팡,룸살롱
6,42150,스타노래궁,룸살롱
7,42150,대박노래성,기타
8,42150,연꽃노래궁,룸살롱
9,42150,신나노래짱,기타
10,42150,씨저스노래궁,룸살롱
11,42150,삼백(300),룸살롱
12,42150,스캔들,룸살롱
13,42150,로마노래궁,룸살롱
14,42150,쎄시봉라이브,룸살롱
15,42150,판도라,룸살롱
16,42150,춘향이,룸살롱
17,42150,빨주노초노래타운,룸살롱
18,42150,고래노래궁,룸살롱
19,42150,조아조아노래클럽,룸살롱
20,42150,쟝글,룸살롱
21,42150,아라비안,룸살롱
22,42150,필노래궁,룸살롱
23,42150,싸이버노래타운,기타
24,42150,금반,룸살롱
25,42150,엔젤클럽,간이주점
26,42150,1%노래공원,룸살롱
27,42150,은하노래클럽,룸살롱
28,42150,싸인노래궁,룸살롱
29,42150,래미안,카바레
30,42150,테크노노래공원,기타
31,42150,불씨노래궁,룸살롱
32,42150,아라,룸살롱
33,42150,미시촌노래궁,기타
34,42150,올레,룸살롱
35,42150,황진이노래공원,룸살롱
36,42150,샤인노래공원,룸살롱
37,42150,고려노래궁,룸살롱
38,42150,오아시스,룸살롱
39,42150,두리,룸살롱
40,42150,매창,기타
41,42150,항구노래타운,기타
42,42150,아테나비지니스클럽,기타
43,42150,바하노래궁,룸살롱
44,42150,코러스노래궁,룸살롱
45,42150,별천지,비어(바)살롱
46,42150,카니발,비어(바)살롱
47,42150,명작,룸살롱
48,42150,밀레니엄,카바레
49,42150,퀸즈,룸살롱
50,42150,뻑가,룸살롱
51,42150,환타,룸살롱
52,42150,태하,룸살롱
53,42150,하이크라스노래궁,룸살롱
54,42150,케이팝노래타운,룸살롱
55,42150,해송주점,기타
56,42150,황금노래궁,룸살롱
57,42150,오작교,간이주점
58,42150,하와이,룸살롱
59,42150,후궁노래클럽,룸살롱
60,42150,뻘노래궁,룸살롱
61,42150,매미노래밤,룸살롱
62,42150,준코뮤직타운강릉교동1호점,기타
63,42150,소리질러,룸살롱
64,42150,워커힐노래타운,룸살롱
65,42150,별밤라이브,기타
66,42150,신세계노래공원,룸살롱
67,42150,레인보우,룸살롱
68,42150,초콜릿노래궁,룸살롱
69,42150,비치노래타운,룸살롱
70,42150,오빠가요주점,룸살롱
71,42150,다인,룸살롱
72,42150,금노래타운,룸살롱
73,42150,찐찐노래클럽,룸살롱
74,42150,뉴비치노래타운,룸살롱
75,42150,루체,룸살롱
76,42150,노래클럽소리새,룸살롱
77,42150,다인,룸살롱
78,42150,예궁,룸살롱
79,42150,뉴오아시스,룸살롱
80,42150,아싸(술파는노래밤),룸살롱
81,42150,상해노래궁,룸살롱
82,42150,거북선,간이주점
83,42150,선우,비어(바)살롱
84,42150,오감,룸살롱
85,42150,예쁜여우노래궁,룸살롱
86,42150,유정노래궁,룸살롱
87,42150,킹노래크럽,룸살롱
88,42150,은하수생맥주,간이주점
89,42150,팬노래공원,룸살롱
90,42150,명월,룸살롱
91,42150,천사소주클럽,룸살롱
92,42150,루팡,룸살롱
93,42150,준코뮤직타운강릉교동2호점,기타
94,42150,C.E.O(씨이오),룸살롱
95,42150,솔향뮤직노래타운,노래클럽
96,42150,아지트,기타
97,42150,나이트마켓(주문진점),고고(디스코)클럽
98,42150,찬스노래타운,룸살롱
99,42150,다솔,룸살롱
100,42150,빨간앵두,룸살롱
101,42150,체리노래타운,룸살롱
102,42150,대가,룸살롱
103,42150,작은콘서트,기타
104,42150,판코리아,노래클럽
105,42150,조이,룸살롱
106,42150,땡삐노래밤,카바레
107,42150,뮤즈노래클럽,룸살롱
108,42150,루나,룸살롱
109,42150,허세노래궁,룸살롱
110,42150,19술파는노래밤,룸살롱
111,42150,킹덤,룸살롱
112,42150,나이트마켓,기타
113,42150,아이스타클럽,스텐드바
114,42150,대동라이브,노래클럽
115,42150,라카이 유흥주점,기타
116,42150,젤라,룸살롱
117,42150,키샤,룸살롱
118,42150,짱,룸살롱
119,42150,못난이노래세상,비어(바)살롱
120,42150,동부노래마을,룸살롱
121,42150,새벽감성,간이주점
122,42150,뉴잉카노래궁,룸살롱
123,42150,오레,룸살롱
124,42150,부영노래클럽,룸살롱
125,42150,도미노,룸살롱
126,42150,프랜드노래공원,룸살롱
127,42150,소천노래궁,기타
128,42150,볼보노래세상,룸살롱
129,42150,연예인,룸살롱
130,42150,텐프로비지니스클럽,룸살롱
131,42150,핑클,간이주점
132,42150,아모르노래샘,룸살롱
133,42150,시크릿,룸살롱
134,42150,딩동댕노래장,룸살롱
135,42150,택시,룸살롱
136,42150,아리랑,룸살롱
137,42150,투영(TWO YOUNG)노래공원,기타
138,42150,팽고팽고성인클럽,룸살롱
139,42150,발리노래타운,룸살롱
140,42150,신별천지노래궁,룸살롱
141,42150,25시노래궁,기타
142,42150,올인노래공원,룸살롱
143,42150,아마게돈,룸살롱
144,42150,다빈치,룸살롱
145,42150,청담동,룸살롱
146,42150,올래,룸살롱
147,42150,바카스,룸살롱
148,42150,젠가뮤직타운,룸살롱
149,42150,파리노래타운,룸살롱
150,42150,텐프로,룸살롱
151,42150,마야노래궁,룸살롱
152,42150,뉴욕노래타운,룸살롱
153,42150,마야노래공원,룸살롱
154,42150,물레방아,룸살롱
155,42150,인천공항,룸살롱
156,42150,더블유,룸살롱
157,42150,기루,룸살롱
158,42150,태평양소맥클럽,스텐드바
159,42150,비너스,룸살롱
160,42150,붐(BOOM),룸살롱
161,42150,주문진룸가요주점,룸살롱
162,42150,여궁,룸살롱
163,42150,글로벌,룸살롱
164,42150,와우노래궁,룸살롱
165,42150,또와 노래나라,룸살롱
166,42150,가야노래궁,카바레
167,42150,허니노래공원,룸살롱
168,42150,도로시,룸살롱
169,42150,솔향노래마을,룸살롱
170,42150,린,룸살롱
171,42150,발리,룸살롱
172,42150,은비노래타운,룸살롱
173,42150,고궁노래마을,룸살롱
174,42150,딸기노래타운,룸살롱
175,42150,지중해노래세상,룸살롱
176,42150,신라노래궁,룸살롱
177,42150,잠자리,룸살롱
178,42150,카리스마나이트클럽,고고(디스코)클럽
179,42150,연곡노래타운,카바레
180,42150,스웨이(SWAY),간이주점
181,42150,쎌노래궁,룸살롱
182,42150,바다노래타운,기타
183,42150,샴푸노래마을,룸살롱
184,42150,마카오,기타
185,42150,카슈술파는노래밤,룸살롱
186,42150,추억노래궁,룸살롱
187,42150,설화가요주점,기타
188,42150,한라노래궁,룸살롱
189,42150,필노래공원,룸살롱
190,42150,어우동,룸살롱
191,42150,가리비,룸살롱
192,42150,아방궁노래공원,룸살롱
193,42150,호박노래궁,룸살롱
194,42150,벅시,룸살롱
195,42150,딸기술파는노래방,룸살롱
196,42150,주유소룸,룸살롱
197,42150,맛잡이슈퍼,기타
198,42150,위대한탄생,룸살롱
199,42150,그루브,기타
200,42150,세이드(SHADE),간이주점
201,42150,프레지던트,룸살롱
202,42150,오디션,룸살롱
203,42150,사이다,비어(바)살롱
204,42150,쿨노래공원,룸살롱
205,42150,C노래궁,룸살롱
206,42150,성남바이킹,룸살롱
207,42150,서희궁주점,룸살롱
208,42150,큐노래세상,룸살롱
209,42150,스카이노래타운,룸살롱
210,42150,놀이터노래궁,룸살롱
211,42150,힐링,룸살롱
212,42150,제우스,룸살롱
213,42820,보스(BOSS),룸살롱
214,42820,로즈룸가요방,룸살롱
215,42820,나그네가요주점,간이주점
216,42820,속초 오션투유 주점,기타
217,42820,뮤직&바,기타
