_c0,특목고진학자수,학교종류,중학교명,주소
0,3,일반중학교,경신중학교,서울특별시 종로구
1,2,일반중학교,대신중학교,서울특별시 종로구
2,1,일반중학교,덕성여자중학교,서울특별시 종로구
3,4,일반중학교,동성중학교,서울특별시 종로구
4,6,일반중학교,배화여자중학교,서울특별시 종로구
5,7,일반중학교,상명대학교사범대학부속여자중학교,서울특별시 종로구
6,10,일반중학교,서울대학교사범대학부설여자중학교,서울특별시 종로구
7,2,일반중학교,중앙중학교,서울특별시 종로구
8,4,일반중학교,청운중학교,서울특별시 종로구
9,2,일반중학교,금호여자중학교,서울특별시 중구
10,1,일반중학교,대경중학교,서울특별시 중구
11,2,일반중학교,덕수중학교,서울특별시 중구
12,3,일반중학교,장원중학교,서울특별시 중구
13,0,일반중학교,장충중학교,서울특별시 중구
14,2,일반중학교,창덕여자중학교,서울특별시 중구
15,1,일반중학교,한양중학교,서울특별시 중구
16,1,일반중학교,환일중학교,서울특별시 중구
17,3,일반중학교,배문중학교,서울특별시 용산구
18,2,일반중학교,보성여자중학교,서울특별시 용산구
19,5,일반중학교,선린중학교,서울특별시 용산구
20,2,일반중학교,성심여자중학교,서울특별시 용산구
21,1,일반중학교,신광여자중학교,서울특별시 용산구
22,1,일반중학교,오산중학교,서울특별시 용산구
23,14,일반중학교,용강중학교,서울특별시 용산구
24,"",일반중학교,용산중학교,서울특별시 용산구
25,1,일반중학교,한강중학교,서울특별시 용산구
26,2,일반중학교,경수중학교,서울특별시 성동구
27,1,일반중학교,경일중학교,서울특별시 성동구
28,6,일반중학교,광희중학교,서울특별시 성동구
29,"",일반중학교,동마중학교,서울특별시 성동구
30,4,일반중학교,마장중학교,서울특별시 성동구
31,4,일반중학교,무학중학교,서울특별시 성동구
32,3,일반중학교,성수중학교,서울특별시 성동구
33,1,일반중학교,성원중학교,서울특별시 성동구
34,4,일반중학교,옥정중학교,서울특별시 성동구
35,1,일반중학교,한양대학교사범대학부속중학교,서울특별시 성동구
36,2,일반중학교,행당중학교,서울특별시 성동구
37,1,일반중학교,건국대학교사범대학부속중학교,서울특별시 광진구
38,14,일반중학교,광남중학교,서울특별시 광진구
39,2,일반중학교,광양중학교,서울특별시 광진구
40,5,일반중학교,광장중학교,서울특별시 광진구
41,2,일반중학교,광진중학교,서울특별시 광진구
42,2,일반중학교,구의중학교,서울특별시 광진구
43,40,국제중학교,대원국제중학교,서울특별시 광진구
44,5,일반중학교,동국대학교사범대학부속여자중학교,서울특별시 광진구
45,1,일반중학교,신양중학교,서울특별시 광진구
46,10,일반중학교,양진중학교,서울특별시 광진구
47,0,일반중학교,용곡중학교,서울특별시 광진구
48,11,일반중학교,자양중학교,서울특별시 광진구
49,8,일반중학교,경희여자중학교,서울특별시 동대문구
50,8,일반중학교,경희중학교,서울특별시 동대문구
51,3,일반중학교,대광중학교,서울특별시 동대문구
52,1,일반중학교,동국대학교사범대학부속중학교,서울특별시 동대문구
53,3,일반중학교,동대문중학교,서울특별시 동대문구
54,2,일반중학교,성일중학교,서울특별시 동대문구
55,0,일반중학교,숭인중학교,서울특별시 동대문구
56,3,일반중학교,장평중학교,서울특별시 동대문구
57,4,일반중학교,전농중학교,서울특별시 동대문구
58,1,일반중학교,전동중학교,서울특별시 동대문구
59,"",일반중학교,전일중학교,서울특별시 동대문구
60,1,일반중학교,정화여자중학교,서울특별시 동대문구
61,3,일반중학교,청량중학교,서울특별시 동대문구
62,4,일반중학교,휘경여자중학교,서울특별시 동대문구
63,4,일반중학교,휘경중학교,서울특별시 동대문구
64,0,일반중학교,동원중학교,서울특별시 중랑구
65,3,일반중학교,면목중학교,서울특별시 중랑구
66,0,일반중학교,봉화중학교,서울특별시 중랑구
67,4,일반중학교,상봉중학교,서울특별시 중랑구
68,1,일반중학교,송곡여자중학교,서울특별시 중랑구
69,6,일반중학교,신현중학교,서울특별시 중랑구
70,2,일반중학교,영란여자중학교,서울특별시 중랑구
71,2,일반중학교,용마중학교,서울특별시 중랑구
72,12,일반중학교,원묵중학교,서울특별시 중랑구
73,2,일반중학교,장안중학교,서울특별시 중랑구
74,3,일반중학교,중랑중학교,서울특별시 중랑구
75,4,일반중학교,중화중학교,서울특별시 중랑구
76,2,일반중학교,태릉중학교,서울특별시 중랑구
77,2,일반중학교,혜원여자중학교,서울특별시 중랑구
78,7,일반중학교,개운중학교,서울특별시 성북구
79,5,일반중학교,고려대학교사범대학부속중학교,서울특별시 성북구
80,6,일반중학교,고명중학교,서울특별시 성북구
81,5,일반중학교,길음중학교,서울특별시 성북구
82,2,일반중학교,남대문중학교,서울특별시 성북구
83,6,일반중학교,동구여자중학교,서울특별시 성북구
84,3,일반중학교,북악중학교,서울특별시 성북구
85,6,일반중학교,삼선중학교,서울특별시 성북구
86,7,일반중학교,서울대학교사범대학부설중학교,서울특별시 성북구
87,5,일반중학교,석관중학교,서울특별시 성북구
88,5,일반중학교,성신여자중학교,서울특별시 성북구
89,6,일반중학교,숭곡중학교,서울특별시 성북구
90,2,일반중학교,용문중학교,서울특별시 성북구
91,4,일반중학교,월곡중학교,서울특별시 성북구
92,4,일반중학교,장위중학교,서울특별시 성북구
93,13,일반중학교,종암중학교,서울특별시 성북구
94,2,일반중학교,한성여자중학교,서울특별시 성북구
95,1,일반중학교,홍익대학교사범대학부속중학교,서울특별시 성북구
96,4,일반중학교,강북중학교,서울특별시 강북구
97,6,일반중학교,미양중학교,서울특별시 강북구
98,5,일반중학교,번동중학교,서울특별시 강북구
99,17,일반중학교,삼각산중학교,서울특별시 강북구
100,0,일반중학교,서라벌중학교,서울특별시 강북구
101,9,일반중학교,성암여자중학교,서울특별시 강북구
102,3,일반중학교,수송중학교,서울특별시 강북구
103,2,일반중학교,수유중학교,서울특별시 강북구
104,3,일반중학교,신일중학교,서울특별시 강북구
105,20,국제중학교,영훈국제중학교,서울특별시 강북구
106,3,일반중학교,인수중학교,서울특별시 강북구
107,6,일반중학교,창문여자중학교,서울특별시 강북구
108,4,일반중학교,화계중학교,서울특별시 강북구
109,10,일반중학교,노곡중학교,서울특별시 도봉구
110,5,일반중학교,도봉중학교,서울특별시 도봉구
111,4,일반중학교,방학중학교,서울특별시 도봉구
112,5,일반중학교,백운중학교,서울특별시 도봉구
113,4,일반중학교,북서울중학교,서울특별시 도봉구
114,5,일반중학교,선덕중학교,서울특별시 도봉구
115,8,일반중학교,신도봉중학교,서울특별시 도봉구
116,0,일반중학교,신방학중학교,서울특별시 도봉구
117,6,일반중학교,정의여자중학교,서울특별시 도봉구
118,9,일반중학교,창동중학교,서울특별시 도봉구
119,3,일반중학교,창북중학교,서울특별시 도봉구
120,7,일반중학교,창일중학교,서울특별시 도봉구
121,4,일반중학교,효문중학교,서울특별시 도봉구
122,8,일반중학교,공릉중학교,서울특별시 노원구
123,"",일반중학교,광운중학교,서울특별시 노원구
124,"",일반중학교,노원중학교,서울특별시 노원구
125,8,일반중학교,노일중학교,서울특별시 노원구
126,9,일반중학교,녹천중학교,서울특별시 노원구
127,26,일반중학교,불암중학교,서울특별시 노원구
128,8,일반중학교,상경중학교,서울특별시 노원구
129,12,일반중학교,상계제일중학교,서울특별시 노원구
130,13,일반중학교,상계중학교,서울특별시 노원구
131,8,일반중학교,상명중학교,서울특별시 노원구
132,6,일반중학교,상원중학교,서울특별시 노원구
133,4,일반중학교,수락중학교,서울특별시 노원구
134,6,일반중학교,신상중학교,서울특별시 노원구
135,3,일반중학교,신창중학교,서울특별시 노원구
136,8,일반중학교,염광중학교,서울특별시 노원구
137,"",일반중학교,온곡중학교,서울특별시 노원구
138,"",일반중학교,월계중학교,서울특별시 노원구
139,14,일반중학교,을지중학교,서울특별시 노원구
140,9,일반중학교,재현중학교,서울특별시 노원구
141,15,일반중학교,중계중학교,서울특별시 노원구
142,"",일반중학교,중원중학교,서울특별시 노원구
143,15,일반중학교,중평중학교,서울특별시 노원구
144,"",일반중학교,청원중학교,서울특별시 노원구
145,10,일반중학교,태랑중학교,서울특별시 노원구
146,15,일반중학교,하계중학교,서울특별시 노원구
147,9,일반중학교,한천중학교,서울특별시 노원구
148,5,일반중학교,구산중학교,서울특별시 은평구
149,4,일반중학교,대성중학교,서울특별시 은평구
150,2,일반중학교,덕산중학교,서울특별시 은평구
151,3,일반중학교,불광중학교,서울특별시 은평구
152,2,일반중학교,상신중학교,서울특별시 은평구
153,5,일반중학교,선일여자중학교,서울특별시 은평구
154,2,일반중학교,선정중학교,서울특별시 은평구
155,6,일반중학교,숭실중학교,서울특별시 은평구
156,10,일반중학교,신도중학교,서울특별시 은평구
157,0,일반중학교,연서중학교,서울특별시 은평구
158,2,일반중학교,연신중학교,서울특별시 은평구
159,1,일반중학교,연천중학교,서울특별시 은평구
160,3,일반중학교,영락중학교,서울특별시 은평구
161,6,일반중학교,예일여자중학교,서울특별시 은평구
162,3,일반중학교,은평중학교,서울특별시 은평구
163,6,일반중학교,증산중학교,서울특별시 은평구
164,7,일반중학교,진관중학교,서울특별시 은평구
165,3,일반중학교,충암중학교,서울특별시 은평구
166,9,일반중학교,가재울중학교,서울특별시 서대문구
167,3,일반중학교,동명여자중학교,서울특별시 서대문구
168,9,일반중학교,명지중학교,서울특별시 서대문구
169,2,일반중학교,서연중학교,서울특별시 서대문구
170,2,일반중학교,신연중학교,서울특별시 서대문구
171,6,일반중학교,연북중학교,서울특별시 서대문구
172,5,일반중학교,연희중학교,서울특별시 서대문구
173,"",일반중학교,이화여자대학교사범대학부속이화・금란중학교,서울특별시 서대문구
174,2,일반중학교,인왕중학교,서울특별시 서대문구
175,2,일반중학교,인창중학교,서울특별시 서대문구
176,5,일반중학교,정원여자중학교,서울특별시 서대문구
177,1,일반중학교,중앙여자중학교,서울특별시 서대문구
178,2,일반중학교,한성중학교,서울특별시 서대문구
179,8,일반중학교,홍은중학교,서울특별시 서대문구
180,1,일반중학교,경성중학교,서울특별시 마포구
181,1,일반중학교,광성중학교,서울특별시 마포구
182,7,일반중학교,동도중학교,서울특별시 마포구
183,12,일반중학교,상암중학교,서울특별시 마포구
184,6,일반중학교,서울여자중학교,서울특별시 마포구
185,2,일반중학교,성사중학교,서울특별시 마포구
186,3,일반중학교,성산중학교,서울특별시 마포구
187,1,일반중학교,성서중학교,서울특별시 마포구
188,4,일반중학교,숭문중학교,서울특별시 마포구
189,3,일반중학교,신수중학교,서울특별시 마포구
190,3,일반중학교,아현중학교,서울특별시 마포구
191,7,일반중학교,중암중학교,서울특별시 마포구
192,3,일반중학교,창천중학교,서울특별시 마포구
193,1,일반중학교,홍익대학교사범대학부속여자중학교,서울특별시 마포구
194,11,일반중학교,강신중학교,서울특별시 양천구
195,9,일반중학교,금옥중학교,서울특별시 양천구
196,17,일반중학교,목동중학교,서울특별시 양천구
197,22,일반중학교,목운중학교,서울특별시 양천구
198,21,일반중학교,목일중학교,서울특별시 양천구
199,4,일반중학교,봉영여자중학교,서울특별시 양천구
200,2,일반중학교,신남중학교,서울특별시 양천구
201,23,일반중학교,신목중학교,서울특별시 양천구
202,25,일반중학교,신서중학교,서울특별시 양천구
203,0,일반중학교,신원중학교,서울특별시 양천구
204,5,일반중학교,신월중학교,서울특별시 양천구
205,3,일반중학교,신화중학교,서울특별시 양천구
206,5,일반중학교,양강중학교,서울특별시 양천구
207,4,일반중학교,양동중학교,서울특별시 양천구
208,1,일반중학교,양서중학교,서울특별시 양천구
209,3,일반중학교,양정중학교,서울특별시 양천구
210,2,일반중학교,양천중학교,서울특별시 양천구
211,4,일반중학교,영도중학교,서울특별시 양천구
212,17,일반중학교,월촌중학교,서울특별시 양천구
213,2,일반중학교,경서중학교,서울특별시 강서구
