_c0,법정동코드,중등교원총계,중등학령인구,중학교학업중단자수,고등학교학업중단자수,비평준화여부
0,11110,1288,25306,30,175,0
1,11140,1003,17866,16,88,0
2,11170,987,15160,76,94,0
3,11200,1016,12856,36,59,0
4,11215,1322,21872,72,146,0
5,11230,1370,19334,37,161,0
6,11260,1357,18274,48,129,0
7,11290,1683,22648,87,190,0
8,11305,1017,13674,49,89,0
9,11320,1328,17732,35,114,0
10,11350,3417,57532,120,354,0
11,11380,2108,32510,71,210,0
12,11410,1072,13142,38,134,0
13,11440,1127,13884,84,95,0
14,11470,2387,34158,191,244,0
15,11500,2438,41370,84,341,0
16,11530,1596,23496,57,139,0
17,11545,877,11904,28,65,0
18,11560,1198,16732,76,98,0
19,11590,1261,15620,57,77,0
20,11620,1750,24980,62,203,0
21,11650,1767,27016,250,254,0
22,11680,2780,49130,354,412,0
23,11710,2828,41756,207,265,0
24,11740,1969,28660,63,174,0
25,26110,261,5510,1,56,0
26,26140,586,7372,14,34,0
27,26170,510,8096,7,41,0
28,26200,634,7720,20,56,0
29,26230,1871,26916,42,123,0
30,26260,1492,25714,43,101,0
31,26290,1516,21954,57,221,0
32,26320,1261,16940,42,41,0
33,26350,1822,24670,98,154,0
34,26380,1453,21158,39,104,0
35,26410,1258,20006,44,104,0
36,26440,444,5508,30,74,0
37,26470,564,6110,12,34,0
38,26500,518,8174,13,36,0
39,26530,705,7404,12,49,0
40,26710,497,6294,25,39,0
41,27110,537,10568,8,39,0
42,27140,1253,17486,29,256,0
43,27170,784,11128,8,118,0
44,27200,874,16154,7,118,0
45,27230,2214,30194,29,95,0
46,27260,2688,44060,121,273,0
47,27290,3423,52370,60,296,0
48,27710,777,8438,11,61,0
49,28110,1104,17930,29,88,0
50,28140,301,4914,5,26,0
51,"",1695,27222,45,218,""
52,28185,1733,27120,122,254,0
53,28200,2113,28732,75,139,0
54,28237,2374,34372,60,218,0
55,28245,1487,21080,37,72,0
56,28260,2125,31292,100,196,0
57,28710,346,4278,3,18,0
58,28720,122,588,0,5,0
59,29110,514,9560,15,41,0
60,29140,1193,15608,39,69,0
61,29155,1694,34088,49,306,0
62,29170,2435,38460,68,167,0
63,29200,2234,30158,64,233,0
64,30110,1094,16736,31,91,0
65,30140,1531,28434,31,146,0
66,30170,2430,33840,115,149,0
67,30200,1910,29322,123,267,0
68,30230,827,8864,22,74,0
69,31110,1068,15430,21,44,0
70,31140,1962,33102,67,119,0
71,31170,915,13802,18,50,0
72,31200,1156,14860,20,37,0
73,31710,1071,15086,23,157,0
74,"",1119,10224,52,103,""
75,41110,6106,95226,288,682,0
76,41130,4838,71566,385,616,0
77,41190,4162,58936,132,373,0
78,41170,3172,50410,122,351,0
79,41290,433,7250,43,52,0
80,41270,3712,61220,113,368,0
81,41460,4256,62542,425,493,0
82,41410,1310,19242,68,144,0
83,41430,620,8430,27,63,0
84,41390,2024,31598,56,137,1
85,41220,2237,35656,81,254,1
86,41590,2423,33364,172,255,1
87,41370,990,15378,38,105,1
88,41210,1687,22188,59,137,0
89,41610,973,14808,52,100,1
90,41450,727,9432,19,79,1
91,41570,1542,21540,78,190,1
92,41500,1116,15908,21,104,1
93,41550,824,11218,24,73,1
94,"",599,7530,"","",""
95,41830,533,7252,35,49,0
96,41280,5038,79264,263,691,0
97,41360,2822,42308,115,252,1
98,41310,875,14138,25,92,1
99,41150,2175,32570,54,260,0
100,41480,1781,25586,91,195,1
101,41250,482,7330,12,60,1
102,41630,782,11422,27,49,1
103,41650,741,9664,9,63,1
104,41820,309,3820,12,17,0
105,41800,217,2312,4,22,0
106,42110,1473,21730,41,164,1
107,42130,1678,25878,59,238,1
108,42150,1081,15842,29,115,1
109,42170,507,7134,12,29,1
110,42190,297,3286,5,24,1
111,42210,412,6102,19,25,1
112,42230,441,4282,4,18,1
113,42720,405,4694,15,39,1
114,42730,307,3140,5,29,1
115,42750,295,2570,3,20,1
116,42760,245,2158,3,5,1
117,42770,246,2000,1,9,1
118,42780,257,3212,4,9,1
119,42790,143,1308,2,4,1
120,42800,177,1956,0,3,1
121,42810,172,1608,9,7,1
122,42820,164,1580,4,32,1
123,42830,142,1192,1,12,1
124,43110,4087,65830,147,453,1
125,43130,1032,14924,22,95,1
126,43150,688,9966,14,70,1
127,43720,190,1944,2,43,1
128,43730,226,2754,5,16,1
129,43740,278,2872,3,12,1
130,43750,333,4068,5,37,1
131,43760,153,1012,7,9,1
132,43770,421,4384,8,25,1
133,43800,163,1300,1,3,1
134,43745,226,3400,1,96,1
135,44130,2911,49084,103,386,1
136,44150,708,10462,10,51,1
137,44180,512,5646,13,39,1
138,44200,1236,19094,36,144,1
139,44210,788,10964,25,69,1
140,44230,792,11194,8,98,1
141,44250,240,3030,12,12,1
142,44710,286,2896,4,20,1
143,44760,391,4256,9,25,1
144,44770,346,3860,0,39,1
145,44790,178,1734,1,12,1
146,44800,527,6422,11,36,1
147,44810,460,5686,3,61,1
148,44825,305,3396,5,19,1
149,44270,676,9402,27,53,1
150,45110,3328,55340,104,247,1
151,45130,1257,18116,33,75,1
152,45140,1611,24154,29,124,1
153,45180,808,10012,9,62,1
154,45190,532,5968,12,58,1
155,45210,566,6892,11,86,1
156,45710,572,6868,22,71,1
157,45720,195,1364,3,14,1
158,45730,182,1382,2,13,1
159,45740,193,1584,1,15,1
160,45750,166,1026,1,17,1
161,45770,178,1580,2,10,1
162,45790,430,5134,8,49,1
163,45800,366,3668,7,13,1
164,46110,1444,21086,35,154,1
165,46130,1485,21516,28,118,1
166,46150,1640,25944,48,154,1
167,46170,590,6938,4,58,1
168,46230,821,12204,16,33,1
169,46710,275,3798,2,31,1
170,46720,174,2168,3,24,1
