가구ID,법정동코드,건강보험료,급여인원,급여금액
0,11110,204751068,50504,2147483647
1,11140,165419375,43810,2147483647
2,11170,341531013,86315,2147483647
3,11200,372909506,116243,2147483647
4,11215,400895235,139502,2147483647
5,11230,325319443,117744,2147483647
6,11260,333816917,139776,2147483647
7,11290,447964138,144303,2147483647
8,11305,244233288,102117,2147483647
9,11320,300996393,116510,2147483647
10,11350,534330966,188364,2147483647
11,11380,438408707,172919,2147483647
12,11410,332521118,112716,2147483647
13,11440,488218013,148218,2147483647
14,11470,586612159,170083,2147483647
15,11500,625072067,236070,2147483647
16,11530,429643044,162000,2147483647
17,11545,214168206,91260,2147483647
18,11560,486584118,156209,2147483647
19,11590,455165434,154339,2147483647
20,11620,486257191,205325,2147483647
21,11650,906448517,165674,2147483647
22,11680,1178221820,201206,2147483647
23,11710,931733445,263839,2147483647
24,11740,472061955,160371,2147483647
25,26110,31243920,13053,2147483647
26,26140,85513553,33298,2147483647
27,26170,59807151,26122,2147483647
28,26200,86051883,36409,2147483647
29,26230,318678398,118350,2147483647
30,26260,259818024,87743,2147483647
31,26290,250790080,88591,2147483647
32,26320,275812552,101508,2147483647
33,26350,473940624,133266,2147483647
34,26380,284056891,116566,2147483647
35,26410,229409120,78579,2147483647
36,26440,132163265,47354,2147483647
37,26470,193235428,67477,2147483647
38,26500,163804540,57496,2147483647
39,26530,191822692,80000,2147483647
40,26710,135060748,51865,2147483647
41,27110,68138609,23693,2147483647
42,27140,263956011,110188,2147483647
43,27170,126377564,55408,2147483647
44,27200,101813147,41656,2147483647
45,27230,367823741,142367,2147483647
46,27260,526984025,132091,2147483647
47,27290,546398690,194034,2147483647
48,27710,204266795,90005,2147483647
49,28110,114470418,46437,2147483647
50,28140,54655526,22908,2147483647
51,28177,331404279,145574,2147483647
52,28185,416730272,133014,2147483647
53,28200,497156962,201133,2147483647
54,28237,477262636,190694,2147483647
55,28245,278982906,115930,2147483647
56,28260,497261736,205137,2147483647
57,28710,44529205,16947,2147483647
58,28720,13190826,6720,2147483647
59,29110,79099354,28388,2147483647
60,29140,294400774,102403,2147483647
61,29155,193945733,67375,2147483647
62,29170,356574030,143316,2147483647
63,29200,362758904,145338,2147483647
64,30110,165416218,70391,2147483647
65,30140,204635417,77608,2147483647
66,30170,469823662,170449,2147483647
67,30200,435931950,131984,2147483647
68,30230,155993230,63060,2147483647
69,31110,265923937,79616,2147483647
70,31140,424297679,117719,2147483647
71,31170,185308106,64886,2147483647
72,31200,244341882,78624,2147483647
73,31710,229530373,77963,2147483647
74,41110,1385593659,474241,2147483647
75,41130,"",369392,2147483647
76,41150,340446996,148147,2147483647
77,41170,562079190,224858,2147483647
78,41190,803252577,317454,2147483647
79,41210,333025411,122829,2147483647
80,41220,462123801,186182,2147483647
81,41250,63685224,31416,2147483647
82,41270,579784136,260155,2147483647
83,41280,861541024,374452,2147483647
84,41290,85972971,21272,2147483647
85,41310,181416667,69862,2147483647
86,41360,564635007,220273,2147483647
87,41370,211552346,87693,2147483647
88,41390,405879097,184930,2147483647
89,41410,308437876,110466,2147483647
90,41430,175663936,58695,2147483647
91,41450,237252952,91721,2147483647
92,41460,641847352,380135,2147483647
93,41480,405232443,169230,2147483647
94,41500,212725620,81272,2147483647
95,41550,165341225,69552,2147483647
96,41570,386923322,162343,2147483647
97,41590,865472582,320571,2147483647
98,41610,317813443,139496,2147483647
99,41630,158687107,75420,2147483647
100,41650,117917809,57172,2147483647
101,41670,86234431,35202,2147483647
102,41800,24109998,12952,2147483647
103,41820,42015401,16876,2147483647
104,41830,87712013,29678,2147483647
105,42110,229514065,91628,2147483647
106,42130,288607230,114751,2147483647
107,42150,163445735,63999,2147483647
108,42170,68845165,27245,2147483647
109,42190,38484377,14190,2147483647
110,42210,60478934,24361,2147483647
111,42230,49425417,19358,2147483647
112,42720,40893975,18077,2147483647
113,42730,27334733,11759,2147483647
114,42750,27067370,10315,2147483647
115,42760,28450785,10356,2147483647
116,42770,27192177,10551,2147483647
117,42780,22836209,13270,2147483647
118,42790,11661832,8315,2147483647
119,42800,11113475,7066,2147483647
120,42810,16851773,9950,2147483647
121,42820,16258348,7810,2147483647
122,42830,16548513,6970,2147483647
123,43110,383017886,308558,2147483647
124,43130,162891947,67380,2147483647
125,43150,103082340,39824,2147483647
126,43720,19261995,7889,2147483647
127,43730,32006954,14176,2147483647
128,43740,28094800,12267,2147483647
129,43745,28574590,13522,2147483647
130,43750,67802134,33260,2147483647
131,43760,22260780,9566,2147483647
132,43770,86941159,39804,2147483647
133,43800,19431484,7881,2147483647
134,44130,537473205,253009,2147483647
135,44150,78702403,30857,2147483647
136,44180,76884516,28942,2147483647
137,44200,332003038,120935,2147483647
138,44210,166821493,56097,2147483647
139,44230,72972267,32557,2147483647
140,44250,26192376,14671,2147483647
141,44270,164207174,57959,2147483647
142,44710,31725225,12279,2147483647
143,44760,37959196,15891,2147483647
144,44770,33287168,12221,2147483647
145,44790,18413939,7427,2147483647
146,44800,74910252,29479,2147483647
147,44810,53825010,22024,2147483647
148,44825,41986447,14497,2147483647
149,45110,1608901009,211757,2147483647
150,45130,223652516,82620,2147483647
151,45140,219887375,89928,2147483647
152,45180,67630804,28258,2147483647
153,45190,48454438,19794,2147483647
154,45210,48492283,21602,2147483647
155,45710,67724551,27309,2147483647
156,45720,13906454,5833,2147483647
157,45730,13337746,5621,2147483647
158,45740,11783332,4910,2147483647
159,45750,14826417,6549,2147483647
160,45770,15328562,6791,2147483647
161,45790,29391924,11706,2147483647
162,45800,29395418,12145,2147483647
163,46110,169065915,66981,2147483647
164,46130,262393543,82338,2147483647
165,46150,242650265,85436,2147483647
166,46170,79141681,34837,2147483647
167,46230,147294999,49570,2147483647
168,46710,29278673,12168,2147483647
169,46720,17267339,6815,2147483647
170,46730,15064145,6448,2147483647
171,46770,29078458,11690,2147483647
172,46780,21101665,8363,2147483647
173,46790,40373544,17964,2147483647
174,46800,20664562,8362,2147483647
175,46810,19644473,7808,2147483647
176,46820,36277700,14303,2147483647
177,46830,37293099,16539,2147483647
178,46840,57118647,22043,2147483647
179,46860,18307924,7447,2147483647
180,46870,35029610,12807,2147483647
181,46880,25840159,12566,2147483647
182,46890,22948664,9404,2147483647
183,46900,14470325,5477,2147483647
184,46910,17526290,7353,2147483647
185,47110,416016284,157439,2147483647
186,47130,229830518,83533,2147483647
187,47150,110885947,41786,2147483647
188,47170,120087354,43343,2147483647
189,47190,422144743,154895,2147483647
190,47210,74550665,26798,2147483647
191,47230,66097812,28169,2147483647
192,47250,58301871,22525,2147483647
193,47280,45509016,17486,2147483647
194,47290,199030940,86189,2147483647
195,47720,13855162,5379,2147483647
196,47730,24133444,10404,2147483647
197,47750,12873479,5073,2147483647
198,47760,8160425,3127,2147483647
199,47770,19720894,7556,2147483647
200,47820,24292322,9833,2147483647
201,47830,23604416,9306,2147483647
202,47840,26321987,11126,2147483647
203,47850,107630805,42323,2147483647
204,47900,23930977,12041,2147483647
205,47920,16099926,6357,2147483647
206,47930,39895004,12787,2147483647
207,47940,5495657,2907,2147483647
208,48120,1671460844,375231,2147483647
209,48170,304451076,107513,2147483647
210,48220,96128174,35650,2147483647
211,48240,88808850,34927,2147483647
212,48250,512533857,195275,2147483647
213,48270,70430145,29119,2147483647
214,48310,258910478,94956,2147483647
215,48330,292915973,122769,2147483647
216,48720,15325024,6477,2147483647
217,48730,53610998,22078,2147483647
218,48740,40921646,17100,2147483647
219,48820,32398394,12965,2147483647
220,48840,22906752,8996,2147483647
221,48850,25654972,9529,2147483647
222,48860,19452550,7728,2147483647
223,48870,21606878,8904,2147483647
224,48880,37527126,14529,2147483647
225,48890,23677679,9187,2147483647
226,50110,410715799,157011,2147483647
227,50130,128891266,50517,2147483647
