법정동코드,법정동명,평균근로소득
11680,강남구,7.0288948E7
11740,강동구,3.6321654E7
11305,강북구,2.70699E7
11500,강서구,3.4824476E7
11620,관악구,2.9703509E7
11215,광진구,3.5482179E7
11530,구로구,3.2497981E7
11545,금천구,2.7741563E7
11350,노원구,3.5557192E7
11320,도봉구,3.0299622E7
11230,동대문구,3.2130818E7
11590,동작구,3.8328692E7
11440,마포구,4.2749632E7
11410,서대문구,3.7507745E7
11650,서초구,6.8563794E7
11200,성동구,4.2410502E7
11290,성북구,3.751324E7
11710,송파구,4.6755214E7
11470,양천구,4.2799615E7
11560,영등포구,3.995789E7
11170,용산구,5.7264589E7
11380,은평구,3.1533487E7
11110,종로구,4.6591874E7
11140,중구,4.323659E7
11260,중랑구,2.7821793E7
