시도명,총인원,총금액,평균근로소득
강원도,469971.0,1.4981939E13,3.1878433E7
경기도,4903937.0,1.74931093E14,3.5671562E7
경상남도,1112933.0,3.7613346E13,3.3796595E7
경상북도,800382.0,2.6649224E13,3.3295631E7
광주광역시,486820.0,1.6194312E13,3.3265503E7
대구광역시,789442.0,2.5555684E13,3.2371832E7
대전광역시,513492.0,1.8001853E13,3.5057709E7
부산광역시,1137677.0,3.739797E13,3.2872221E7
서울특별시,3645417.0,1.46379775E14,4.0154467E7
세종특별자치시,119289.0,4.941608E12,4.1425513E7
울산광역시,418808.0,1.7762818E13,4.2412795E7
인천광역시,1084494.0,3.3953036E13,3.1307721E7
전라남도,506719.0,1.678725E13,3.3129308E7
전라북도,534823.0,1.6970546E13,3.1731145E7
제주특별자치도,207528.0,6.282535E12,3.0273192E7
충청남도,708845.0,2.4891625E13,3.5115752E7
충청북도,554127.0,1.8153872E13,3.2761212E7
