부동산ID,법정동코드,거래금액,건축년도,계약날짜,아파트명,면적,층
332958,44200,220000000,2006,2017-03-10,힐스테이트,84,3
332959,44200,106000000,1996,2017-03-11,경남아너스빌,59,15
332960,44200,180000000,2016,2017-03-14,아산반도유보라,59,4
332961,44200,124000000,1994,2017-03-15,제일타워,84,8
332962,44200,111000000,1996,2017-03-20,경남아너스빌,59,14
332963,44200,165000000,2016,2017-03-27,아산반도유보라,59,5
332964,44200,175000000,2016,2017-03-28,아산반도유보라,59,5
332965,44200,130000000,1996,2017-03-30,경남아너스빌,84,1
332966,44200,147000000,1996,2017-03-02,벽산,84,21
332967,44200,184000000,2006,2017-03-02,대우푸르지오,69,8
332968,44200,191000000,2006,2017-03-05,대우푸르지오,84,6
332969,44200,91000000,1999,2017-03-10,중부팬더,59,7
332970,44200,108000000,1996,2017-03-13,벽산,84,1
332971,44200,135000000,1996,2017-03-17,벽산,84,11
332972,44200,164700000,2006,2017-03-17,대우푸르지오,69,6
332973,44200,141000000,1996,2017-03-18,벽산,84,18
332974,44200,90000000,1996,2017-03-22,벽산,59,10
332975,44200,55000000,1988,2017-03-01,경성,37,4
332976,44200,157000000,1998,2017-03-04,남산현대,84,3
332977,44200,83500000,1997,2017-03-08,한성,53,6
332978,44200,121000000,1991,2017-03-11,현대,73,3
332979,44200,66500000,1990,2017-03-12,주공,39,3
332980,44200,135000000,1991,2017-03-13,현대,84,2
332981,44200,136000000,1997,2017-03-17,동아2,84,5
332982,44200,100000000,1997,2017-03-18,동아나래,59,17
332983,44200,94000000,1997,2017-03-20,동아나래,59,18
332984,44200,62500000,1990,2017-03-21,주공,39,1
332985,44200,60000000,1990,2017-03-21,주공,39,5
332986,44200,41000000,1988,2017-03-25,경성,37,2
332987,44200,103000000,1997,2017-03-29,동아나래,59,14
332988,44200,95000000,1997,2017-03-31,동아2,59,5
332989,44200,102000000,2004,2017-03-07,청솔,59,13
332990,44200,52000000,2004,2017-03-09,청솔,39,14
332991,44200,51000000,2004,2017-03-09,청솔,39,9
332992,44200,80000000,2004,2017-03-15,청솔,59,1
332993,44200,49000000,2004,2017-03-15,청솔,39,9
332994,44200,49000000,2004,2017-03-15,청솔,39,8
332995,44200,49000000,2004,2017-03-15,청솔,39,8
332996,44200,49000000,2004,2017-03-15,청솔,39,6
332997,44200,50000000,2004,2017-03-17,청솔,39,12
332998,44200,96000000,2004,2017-03-19,청솔,59,14
332999,44200,50000000,2004,2017-03-24,청솔,39,15
333000,44200,103000000,2004,2017-03-28,청솔,59,5
333001,44200,55000000,2004,2017-03-29,청솔,39,14
333002,44200,41500000,1994,2017-03-03,초원설화타운1,39,3
333003,44200,89000000,1995,2017-03-14,초원설화타운3,59,9
333004,44200,82000000,1995,2017-03-25,초원설화타운3,59,7
333005,44200,83500000,1995,2017-03-27,초원설화타운2,59,4
