법정동명,학원명,계열명,정원합계,주소,학원ID
전라북도 고창군,기쁨피아노교습소,예능(대),12,전라북도 고창군 고창읍 교촌1길 12,64804
전라북도 고창군,뮤직캠프유빌라테피아노교습소,예능(대),30,전라북도 고창군 고창읍 중앙로 170-6,64805
전라북도 고창군,배수미수학교습소,입시.검정 및 보습,36,전라북도 고창군 고창읍 성산로 19 고창읍내휴먼시아 상가 202호,64806
전라북도 고창군,본(本)수학교실교습소,입시.검정 및 보습,18,전라북도 고창군 고창읍 보릿골로 195-14,64807
전라북도 고창군,수학교습소,입시.검정 및 보습,27,전라북도 고창군 고창읍 성산2길 31,64808
전라북도 고창군,아로마(Aroma)영어교습소,입시.검정 및 보습,18,전라북도 고창군 고창읍 교촌3길 13,64809
전라북도 고창군,열린수학교습소,입시.검정 및 보습,30,전라북도 고창군 고창읍 중거리당산로 101,64810
전라북도 고창군,윤선생우리집앞영어교실현대영어교습소,입시.검정 및 보습,16,전라북도 고창군 고창읍 보릿골로 195-14,64811
전라북도 고창군,은해피아노교습소,예능(대),4,전라북도 고창군 흥덕면 선운대로 3749,64812
전라북도 고창군,잉글리쉬 캠프,입시.검정 및 보습,24,전라북도 고창군 고창읍 성산로 19,64813
전라북도 고창군,중앙피아노교습소,예능(대),4,전라북도 고창군 무장면 성내길 9,64814
전라북도 고창군,징검다리수학교습소,입시.검정 및 보습,26,전라북도 고창군 고창읍 모양성로 47,64815
전라북도 고창군,YBM잉글루고창학원,종합(대),84,전라북도 고창군 고창읍 월곡12길 3,64816
전라북도 고창군,고창미용학원,직업기술,440,전라북도 고창군 고창읍 성산2길 7,64817
전라북도 고창군,고창성모간호학원,직업기술,40,전라북도 고창군 고창읍 중앙로 180,64818
전라북도 고창군,공부잘하는학원,입시.검정 및 보습,12,전라북도 고창군 고창읍 중앙로 207,64819
전라북도 고창군,꿈마루독서실,독서실,96,전라북도 고창군 고창읍 월곡10길 3-3,64820
전라북도 고창군,눈높이러닝센터고창학원,입시.검정 및 보습,466,전라북도 고창군 고창읍 성산2길 50,64821
전라북도 고창군,또물또학원,입시.검정 및 보습,127,전라북도 고창군 고창읍 월곡로 42,64822
전라북도 고창군,매쓰업 수학전문학원,입시.검정 및 보습,54,전라북도 고창군 고창읍 성산로 19,64823
전라북도 고창군,메가플러스학원,입시.검정 및 보습,40,전라북도 고창군 고창읍 중앙로 214,64824
전라북도 고창군,명륜음악학원,예능(대),63,전라북도 고창군 고창읍 교흥길 21,64825
전라북도 고창군,무지개음악학원,예능(대),36,전라북도 고창군 대산면 매산초등길 10-2,64826
전라북도 고창군,바른학원,입시.검정 및 보습,42,전라북도 고창군 고창읍 중앙로 260,64827
전라북도 고창군,바름피아노학원,예능(대),20,전라북도 고창군 고창읍 중앙로 207-1,64828
전라북도 고창군,배움터보습학원,입시.검정 및 보습,30,전라북도 고창군 고창읍 성산3길 29,64829
전라북도 고창군,부부어학원,국제화,40,전라북도 고창군 고창읍 월곡15길 9,64830
전라북도 고창군,비엔나음악전문학원,예능(대),30,전라북도 고창군 고창읍 중거리당산로 108,64831
전라북도 고창군,서울어학원,국제화,45,전라북도 고창군 고창읍 성산3길 27,64832
전라북도 고창군,세종학원,입시.검정 및 보습,60,전라북도 고창군 고창읍 중앙로 235,64833
전라북도 고창군,셀라피아노학원,예능(대),27,전라북도 고창군 고창읍 월곡15길 5-1,64834
전라북도 고창군,소명보습학원,입시.검정 및 보습,60,전라북도 고창군 고창읍 중앙로 274,64835
전라북도 고창군,수현음악학원,예능(대),56,전라북도 고창군 고창읍 월곡1길 34,64836
전라북도 고창군,신현정음악학원,예능(대),27,전라북도 고창군 고창읍 월곡1길 10,64837
전라북도 고창군,아이캔스터디학원,입시.검정 및 보습,12,전라북도 고창군 고창읍 월곡14길 14,64838
전라북도 고창군,연세입시학원,국제화,30,전라북도 고창군 고창읍 중앙로 235,64839
전라북도 고창군,유숙자댄스아카데미학원,예능(대),80,전라북도 고창군 고창읍 중앙로 345-1,64840
전라북도 고창군,윤선생영어숲학원,국제화,220,전라북도 고창군 고창읍 교촌3길 4,64841
전라북도 고창군,으뜸보습학원,입시.검정 및 보습,50,전라북도 고창군 고창읍 교흥길 21,64842
전라북도 고창군,인 실용음악학원,예능(대),45,전라북도 고창군 고창읍 중거리당산로 177,64843
전라북도 고창군,제일학원,입시.검정 및 보습,60,전라북도 고창군 흥덕면 문화1길 13,64844
전라북도 고창군,통문장영어수학학원,입시.검정 및 보습,84,전라북도 고창군 고창읍 월곡1길 22,64845
전라북도 고창군,튼튼영어학원,국제화,42,전라북도 고창군 고창읍 동리로 82-1,64846
전라북도 고창군,파닉스학원,입시.검정 및 보습,20,전라북도 고창군 고창읍 중앙로 317,64847
전라북도 고창군,푸르넷 A클래스학원,입시.검정 및 보습,40,전라북도 고창군 고창읍 월곡1길 20,64848
전라북도 고창군,프라임학원,입시.검정 및 보습,36,전라북도 고창군 고창읍 성산2길 39,64849
전라북도 고창군,하나보습학원,입시.검정 및 보습,36,전라북도 고창군 고창읍 중앙로 270,64850
전라북도 고창군,하이픽학원,입시.검정 및 보습,50,전라북도 고창군 고창읍 월곡로 42,64851
전라북도 고창군,한솔플러스영어수학학원,입시.검정 및 보습,228,전라북도 고창군 고창읍 성산2길 50,64852
전라북도 고창군,해솔보습학원,입시.검정 및 보습,20,전라북도 고창군 고창읍 교흥길 17,64853
전라북도 고창군,해피클래스학원,입시.검정 및 보습,32,전라북도 고창군 고창읍 교흥길 22,64854
전라북도 고창군,홍병숙뮤직아카데미학원,예능(대),80,전라북도 고창군 고창읍 남구4길 27,64855
전라북도 군산시,ET house영어교습소,입시.검정 및 보습,12,전라북도 군산시 나운안2길 9-3,64856
전라북도 군산시,f(x)수학교습소,입시.검정 및 보습,8,전라북도 군산시 내사길 44,64857
전라북도 군산시,고은소리피아노교습소,예능(대),16,전라북도 군산시 양안로 130,64858
전라북도 군산시,그림나무기타교습소,예능(대),12,전라북도 군산시 설림2길 34-3,64859
전라북도 군산시,김영귀수학전문교습소,입시.검정 및 보습,24,전라북도 군산시 수송동로 91,64860
전라북도 군산시,날아라드럼교습소,예능(대),15,전라북도 군산시 의료원로 180,64861
전라북도 군산시,노을빛음악원음악교습소,예능(대),28,전라북도 군산시 부곡1길 39,64862
전라북도 군산시,담쟁이미술교습소,예능(대),27,전라북도 군산시 상지곡1길 3-5,64863
전라북도 군산시,도이치피아노교습소,예능(대),24,전라북도 군산시 미룡로 54,64864
전라북도 군산시,리영어교습소,입시.검정 및 보습,56,전라북도 군산시 수송로 134,64865
전라북도 군산시,메종드피아노교습소,예능(대),10,전라북도 군산시 나운로 77,64866
전라북도 군산시,문화컴퓨터교습소,기타(대),27,전라북도 군산시 하신재길 41 (),64867
전라북도 군산시,뮤엠영어미룡캠퍼스영어교습소,입시.검정 및 보습,45,전라북도 군산시 미룡로 46,64868
전라북도 군산시,미술과놀이미술교습소,예능(대),16,전라북도 군산시 백토로 232,64869
전라북도 군산시,미술상자지곡교습소,예능(대),10,전라북도 군산시 계산로 87-6,64870
전라북도 군산시,미술의전당교습소,예능(대),18,전라북도 군산시 미룡로 46,64871
전라북도 군산시,박영신피아노교습소,예능(대),24,전라북도 군산시 동지곡길 53,64872
전라북도 군산시,비전영어마을교습소,입시.검정 및 보습,24,전라북도 군산시 나운로 77,64873
전라북도 군산시,색연필미술교습소,예능(대),14,전라북도 군산시 회현면 회현로 180-1,64874
전라북도 군산시,선바이올린교습소,예능(대),10,전라북도 군산시 미룡로 54,64875
전라북도 군산시,소금인형미술교습소,예능(대),45,전라북도 군산시 대학로 58,64876
전라북도 군산시,수송비발디피아노교습소,예능(대),35,전라북도 군산시 수송동로 34,64877
전라북도 군산시,실력이영그는김정곤의과수원수학교습소,입시.검정 및 보습,36,전라북도 군산시 하나운로 48,64878
전라북도 군산시,씨앤에이(CnA)논술교습소,입시.검정 및 보습,24,전라북도 군산시 상지곡안1길 18,64879
전라북도 군산시,아트바나나홍화실미술교습소,예능(대),27,전라북도 군산시 동령길 4,64880
전라북도 군산시,예림미술교습소,예능(대),12,전라북도 군산시 용둔길 6,64881
전라북도 군산시,오상은바이올린교습소,예능(대),7,전라북도 군산시 월명로 199,64882
전라북도 군산시,옥선생초등전문교습소,입시.검정 및 보습,9,전라북도 군산시 의료원로 131,64883
전라북도 군산시,이민영피아노교습소,예능(대),12,전라북도 군산시 동흥남길 9,64884
전라북도 군산시,이선생수학교습소,입시.검정 및 보습,27,전라북도 군산시 하나운로 18,64885
전라북도 군산시,정아뜰리에미술교습소,예능(대),39,전라북도 군산시 백릉로 162,64886
전라북도 군산시,정음악교습소,예능(대),13,전라북도 군산시 수송동로 105,64887
전라북도 군산시,조이아트미술교습소,예능(대),30,전라북도 군산시 계산로 87-10,64888
전라북도 군산시,즐거운수학교습소,입시.검정 및 보습,18,전라북도 군산시 양안로 130,64889
전라북도 군산시,진쌤영어전문교습소,입시.검정 및 보습,18,전라북도 군산시 수송로 212,64890
전라북도 군산시,찬희피아노교습소,예능(대),39,전라북도 군산시 설림2길 33,64891
전라북도 군산시,창성영어교습소,입시.검정 및 보습,12,전라북도 군산시 창성1길 10,64892
전라북도 군산시,최연주피아노교습소,예능(대),12,전라북도 군산시 진포1길 10,64893
전라북도 군산시,튼튼영어마스터클럽나운영어교습소,입시.검정 및 보습,42,전라북도 군산시 하나운로 18,64894
전라북도 군산시,펀수학교습소,입시.검정 및 보습,5,전라북도 군산시 하나운로 18,64895
전라북도 군산시,푸른솔미술교습소,예능(대),54,전라북도 군산시 축동로 32,64896
전라북도 군산시,2호선수학학원,입시.검정 및 보습,120,전라북도 군산시 백토로 116,64897
전라북도 군산시,A+(에이플러스)독서실,독서실,160,전라북도 군산시 동메2길 35,64898
전라북도 군산시,ECL영어수학전문학원,입시.검정 및 보습,220,전라북도 군산시 용둔길 12,64899
전라북도 군산시,GGE영어전문학원,국제화,40,전라북도 군산시 신지길 18,64900
전라북도 군산시,HM실용음악학원,예능(대),60,전라북도 군산시 미원로 29 (),64901
전라북도 군산시,ITOPSCHOOL학원,종합(대),63,전라북도 군산시 설림4길 34,64902
전라북도 군산시,KCIS하포드영수학원,종합(대),129,전라북도 군산시 진포로 40,64903
전라북도 군산시,KM아카데미학원,입시.검정 및 보습,80,전라북도 군산시 번영로 72,64904
전라북도 군산시,Kids&Mom무용스쿨학원,예능(대),74,전라북도 군산시 미룡로 54,64905
전라북도 군산시,LIM`SE.F.L영어전문학원,국제화,45,전라북도 군산시 부골4길 7,64906
전라북도 군산시,M튼튼영어마스터클럽수송학원,입시.검정 및 보습,40,전라북도 군산시 수송동로 105,64907
전라북도 군산시,Park`s수·텝·토영어전문학원,입시.검정 및 보습,88,전라북도 군산시 수송로 131,64908
전라북도 군산시,SNU수학전문학원,종합(대),310,전라북도 군산시 미룡로 54,64909
전라북도 군산시,STA영어전문학원,국제화,50,전라북도 군산시 백토로 140,64910
전라북도 군산시,TOP드럼전문학원,예능(대),24,전라북도 군산시 대학로 269,64911
전라북도 군산시,Vivaldi뮤직스토리학원,예능(대),45,전라북도 군산시 수송동로 36,64912
전라북도 군산시,WithPiano위드피아노음악학원,예능(대),44,전라북도 군산시 하나운로 77,64913
전라북도 군산시,Y.J검정고시학원,입시.검정 및 보습,490,전라북도 군산시 대학로 294,64914
전라북도 군산시,YBMECC어학원,국제화,650,전라북도 군산시 동수송안길 35,64915
전라북도 군산시,YBMEnglooMathloo조촌1캠퍼스학원,입시.검정 및 보습,35,전라북도 군산시 공단대로 54,64916
전라북도 군산시,YBM잉글루영어영재어학원,국제화,195,전라북도 군산시 미룡로 22,64917
전라북도 군산시,YU영어수학학원,입시.검정 및 보습,36,전라북도 군산시 궁포3로 14,64918
전라북도 군산시,YU와이유수학YU와이유영어학원,입시.검정 및 보습,420,전라북도 군산시 지곡로 74-7,64919
