,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부,"1동,2동"
0,"13,400",2004,2017,내제로15길,00004,00000,43150,01,0,4517110,의림동,0226,0000,43150,10100,1,광진샤인빌,6,23,43150-60,83.01,226,43150,2,,,
1,"2,500",1989,2017,의병대로30길,00005,00000,43150,00,,4517826,동현동,0063,0001,43150,10300,1,세경,6,13,43150-3,38.25,63-1,43150,-1,,,
2,"8,300",1997,2017,의병대로,00182,00000,43150,02,0,2014004,동현동,0109,0000,43150,10300,1,일동,6,17,43150-4,59.97,109,43150,8,,,
3,"7,200",1994,2017,독순로23길,00019,00000,43150,02,0,4517280,교동,0001,0001,43150,10500,1,두진,6,7,43150-6,59.965,1-1,43150,3,,,
4,"8,700",1994,2017,독순로23길,00019,00000,43150,02,0,4517280,교동,0001,0001,43150,10500,1,두진,6,15,43150-6,59.965,1-1,43150,7,,,
5,"6,500",1994,2017,내토로40나길,00023,00000,43150,00,0,4517176,화산동,0906,0000,43150,10900,1,무궁화,6,10,43150-7,59.9,906,43150,2,,,
6,"8,500",1995,2017,하소로,00088,00000,43150,01,0,3239075,하소동,0353,0000,43150,11100,1,주공2,6,1,43150-11,58.74,353,43150,14,,,
7,"28,000",2008,2017,용두대로7길,00036,00000,43150,01,0,4517661,하소동,0156,0000,43150,11100,1,현대힐스테이트,6,1,43150-216,121.004,156,43150,1,,,
8,"22,400",2008,2017,용두대로7길,00036,00000,43150,01,0,4517661,하소동,0156,0000,43150,11100,1,현대힐스테이트,6,3,43150-216,84.935,156,43150,3,,,
9,"6,950",1995,2017,하소로,00088,00000,43150,01,0,3239075,하소동,0353,0000,43150,11100,1,주공2,6,5,43150-11,39.6,353,43150,4,,,
