,거래금액,건축년도,년,도로명,도로명건물본번호코드,도로명건물부번호코드,도로명시군구코드,도로명일련번호코드,도로명지상지하코드,도로명코드,법정동,법정동본번코드,법정동부번코드,법정동시군구코드,법정동읍면동코드,법정동지번코드,아파트,월,일,일련번호,전용면적,지번,지역코드,층,해제사유발생일,해제여부
0,"8,300",1996,2017,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,2,1,46890-4,52.43,1154,46890,1,,
1,"15,500",2016,2017,청해진동로,00005,00000,46890,01,0,3300025,완도읍 군내리,1453,0000,46890,25021,1,완도진아리채,2,1,46890-105,59.9171,1453,46890,12,,
2,"8,500",1996,2017,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,2,1,46890-4,52.43,1154,46890,2,,
3,"9,800",1996,2017,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,2,6,46890-4,59.76,1154,46890,13,,
4,"16,300",2003,2017,군내길,00008,00000,46890,00,0,4700065,완도읍 군내리,0764,0001,46890,25021,1,삼호그린빌,2,6,46890-9,84.8907,764-1,46890,7,,
5,"9,800",2003,2017,청해진서로,00033,00002,46890,01,0,3300027,완도읍 군내리,1157,0000,46890,25021,1,동아하이빌,2,10,46890-10,59.9966,1157,46890,7,,
6,"8,730",1996,2017,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,2,13,46890-4,52.43,1154,46890,3,,
7,"8,500",1996,2017,청해진서로,00050,00000,46890,01,0,3300027,완도읍 군내리,1154,0000,46890,25021,1,현대모닝사이드,2,13,46890-4,52.43,1154,46890,1,,
8,"7,100",1993,2017,개포로,00180,00000,46890,01,0,3300001,완도읍 군내리,1267,0000,46890,25021,1,세림2차해변아파트,2,17,46890-3,45.54,1267,46890,9,,
9,"7,200",1992,2017,개포로,00052,00000,46890,01,0,3300001,완도읍 군내리,1251,0000,46890,25021,1,세림,2,27,46890-2,64.08,1251,46890,3,,
10,"17,000",2005,2017,해변공원로,00137,00015,46890,01,0,3300028,완도읍 가용리,1020,0000,46890,25022,1,명진명가,2,7,46890-54,86.76,1020,46890,3,,
11,"22,700",2016,2017,해변공원로,00150,00000,46890,01,0,3300028,완도읍 가용리,1013,0000,46890,25022,1,우성팰리스힐,2,20,46890-107,84.9902,1013,46890,5,,
12,"12,000",1994,2017,개포로145번길,00039,00000,46890,01,0,4700011,완도읍 가용리,1052,0000,46890,25022,1,무등파크맨션,2,21,46890-5,68.34,1052,46890,7,,
13,"20,900",2016,2017,해변공원로,00150,00000,46890,01,0,3300028,완도읍 가용리,1013,0000,46890,25022,1,우성팰리스힐,2,23,46890-107,76.8836,1013,46890,3,,
14,"21,800",2016,2017,해변공원로,00150,00000,46890,01,0,3300028,완도읍 가용리,1013,0000,46890,25022,1,우성팰리스힐,2,24,46890-107,70.93,1013,46890,18,,
