,법정동코드,법정동명,폐지여부,법정동_short
0,1111000000,서울특별시 종로구,존재,서울 종로구
1,1114000000,서울특별시 중구,존재,서울 중구
2,1117000000,서울특별시 용산구,존재,서울 용산구
3,1120000000,서울특별시 성동구,존재,서울 성동구
4,1121500000,서울특별시 광진구,존재,서울 광진구
5,1123000000,서울특별시 동대문구,존재,서울 동대문구
6,1126000000,서울특별시 중랑구,존재,서울 중랑구
7,1129000000,서울특별시 성북구,존재,서울 성북구
8,1130500000,서울특별시 강북구,존재,서울 강북구
9,1132000000,서울특별시 도봉구,존재,서울 도봉구
10,1135000000,서울특별시 노원구,존재,서울 노원구
11,1138000000,서울특별시 은평구,존재,서울 은평구
12,1141000000,서울특별시 서대문구,존재,서울 서대문구
13,1144000000,서울특별시 마포구,존재,서울 마포구
14,1147000000,서울특별시 양천구,존재,서울 양천구
15,1150000000,서울특별시 강서구,존재,서울 강서구
16,1153000000,서울특별시 구로구,존재,서울 구로구
17,1154500000,서울특별시 금천구,존재,서울 금천구
18,1156000000,서울특별시 영등포구,존재,서울 영등포구
19,1159000000,서울특별시 동작구,존재,서울 동작구
20,1162000000,서울특별시 관악구,존재,서울 관악구
21,1165000000,서울특별시 서초구,존재,서울 서초구
22,1168000000,서울특별시 강남구,존재,서울 강남구
23,1171000000,서울특별시 송파구,존재,서울 송파구
24,1174000000,서울특별시 강동구,존재,서울 강동구
25,2611000000,부산광역시 중구,존재,부산 중구
26,2614000000,부산광역시 서구,존재,부산 서구
27,2617000000,부산광역시 동구,존재,부산 동구
28,2620000000,부산광역시 영도구,존재,부산 영도구
29,2623000000,부산광역시 부산진구,존재,부산 부산진구
30,2626000000,부산광역시 동래구,존재,부산 동래구
31,2629000000,부산광역시 남구,존재,부산 남구
32,2632000000,부산광역시 북구,존재,부산 북구
33,2635000000,부산광역시 해운대구,존재,부산 해운대구
34,2638000000,부산광역시 사하구,존재,부산 사하구
35,2641000000,부산광역시 금정구,존재,부산 금정구
36,2644000000,부산광역시 강서구,존재,부산 강서구
37,2647000000,부산광역시 연제구,존재,부산 연제구
38,2650000000,부산광역시 수영구,존재,부산 수영구
39,2653000000,부산광역시 사상구,존재,부산 사상구
40,2671000000,부산광역시 기장군,존재,부산 기장군
41,2711000000,대구광역시 중구,존재,대구 중구
42,2714000000,대구광역시 동구,존재,대구 동구
43,2717000000,대구광역시 서구,존재,대구 서구
44,2720000000,대구광역시 남구,존재,대구 남구
45,2723000000,대구광역시 북구,존재,대구 북구
46,2726000000,대구광역시 수성구,존재,대구 수성구
47,2729000000,대구광역시 달서구,존재,대구 달서구
48,2771000000,대구광역시 달성군,존재,대구 달성군
49,2811000000,인천광역시 중구,존재,인천 중구
50,2814000000,인천광역시 동구,존재,인천 동구
51,2817700000,인천광역시 미추홀구,존재,인천 미추홀구
52,2818500000,인천광역시 연수구,존재,인천 연수구
53,2820000000,인천광역시 남동구,존재,인천 남동구
54,2823700000,인천광역시 부평구,존재,인천 부평구
55,2824500000,인천광역시 계양구,존재,인천 계양구
56,2826000000,인천광역시 서구,존재,인천 서구
57,2871000000,인천광역시 강화군,존재,인천 강화군
58,2872000000,인천광역시 옹진군,존재,인천 옹진군
59,2911000000,광주광역시 동구,존재,광주 동구
60,2914000000,광주광역시 서구,존재,광주 서구
61,2915500000,광주광역시 남구,존재,광주 남구
62,2917000000,광주광역시 북구,존재,광주 북구
63,2920000000,광주광역시 광산구,존재,광주 광산구
64,3011000000,대전광역시 동구,존재,대전 동구
65,3014000000,대전광역시 중구,존재,대전 중구
66,3017000000,대전광역시 서구,존재,대전 서구
67,3020000000,대전광역시 유성구,존재,대전 유성구
68,3023000000,대전광역시 대덕구,존재,대전 대덕구
69,3111000000,울산광역시 중구,존재,울산 중구
70,3114000000,울산광역시 남구,존재,울산 남구
71,3117000000,울산광역시 동구,존재,울산 동구
72,3120000000,울산광역시 북구,존재,울산 북구
73,3171000000,울산광역시 울주군,존재,울산 울주군
74,3611000000,세종특별자치시,존재,세종특별자치시
75,4111000000,경기도 수원시,존재,경기 수원시
76,4113000000,경기도 성남시,존재,경기 성남시
77,4115000000,경기도 의정부시,존재,경기 의정부시
78,4117000000,경기도 안양시,존재,경기 안양시
79,4119000000,경기도 부천시,존재,경기 부천시
80,4121000000,경기도 광명시,존재,경기 광명시
81,4122000000,경기도 평택시,존재,경기 평택시
82,4125000000,경기도 동두천시,존재,경기 동두천시
83,4127000000,경기도 안산시,존재,경기 안산시
84,4128000000,경기도 고양시,존재,경기 고양시
85,4129000000,경기도 과천시,존재,경기 과천시
86,4131000000,경기도 구리시,존재,경기 구리시
87,4136000000,경기도 남양주시,존재,경기 남양주시
88,4137000000,경기도 오산시,존재,경기 오산시
89,4139000000,경기도 시흥시,존재,경기 시흥시
90,4141000000,경기도 군포시,존재,경기 군포시
91,4143000000,경기도 의왕시,존재,경기 의왕시
92,4145000000,경기도 하남시,존재,경기 하남시
93,4146000000,경기도 용인시,존재,경기 용인시
94,4148000000,경기도 파주시,존재,경기 파주시
95,4150000000,경기도 이천시,존재,경기 이천시
96,4155000000,경기도 안성시,존재,경기 안성시
97,4157000000,경기도 김포시,존재,경기 김포시
98,4159000000,경기도 화성시,존재,경기 화성시
99,4161000000,경기도 광주시,존재,경기 광주시
100,4163000000,경기도 양주시,존재,경기 양주시
101,4165000000,경기도 포천시,존재,경기 포천시
102,4167000000,경기도 여주시,존재,경기 여주시
103,4180000000,경기도 연천군,존재,경기 연천군
104,4182000000,경기도 가평군,존재,경기 가평군
105,4183000000,경기도 양평군,존재,경기 양평군
106,4211000000,강원도 춘천시,존재,강원 춘천시
107,4213000000,강원도 원주시,존재,강원 원주시
108,4215000000,강원도 강릉시,존재,강원 강릉시
109,4217000000,강원도 동해시,존재,강원 동해시
110,4219000000,강원도 태백시,존재,강원 태백시
111,4221000000,강원도 속초시,존재,강원 속초시
112,4223000000,강원도 삼척시,존재,강원 삼척시
113,4272000000,강원도 홍천군,존재,강원 홍천군
114,4273000000,강원도 횡성군,존재,강원 횡성군
115,4275000000,강원도 영월군,존재,강원 영월군
116,4276000000,강원도 평창군,존재,강원 평창군
117,4277000000,강원도 정선군,존재,강원 정선군
118,4278000000,강원도 철원군,존재,강원 철원군
119,4279000000,강원도 화천군,존재,강원 화천군
120,4280000000,강원도 양구군,존재,강원 양구군
121,4281000000,강원도 인제군,존재,강원 인제군
122,4282000000,강원도 고성군,존재,강원 고성군
123,4283000000,강원도 양양군,존재,강원 양양군
124,4311000000,충청북도 청주시,존재,충북 청주시
125,4313000000,충청북도 충주시,존재,충북 충주시
126,4315000000,충청북도 제천시,존재,충북 제천시
127,4372000000,충청북도 보은군,존재,충북 보은군
128,4373000000,충청북도 옥천군,존재,충북 옥천군
129,4374000000,충청북도 영동군,존재,충북 영동군
130,4374500000,충청북도 증평군,존재,충북 증평군
131,4375000000,충청북도 진천군,존재,충북 진천군
132,4376000000,충청북도 괴산군,존재,충북 괴산군
133,4377000000,충청북도 음성군,존재,충북 음성군
134,4380000000,충청북도 단양군,존재,충북 단양군
135,4413000000,충청남도 천안시,존재,충남 천안시
136,4415000000,충청남도 공주시,존재,충남 공주시
137,4418000000,충청남도 보령시,존재,충남 보령시
138,4420000000,충청남도 아산시,존재,충남 아산시
139,4421000000,충청남도 서산시,존재,충남 서산시
140,4423000000,충청남도 논산시,존재,충남 논산시
141,4425000000,충청남도 계룡시,존재,충남 계룡시
142,4427000000,충청남도 당진시,존재,충남 당진시
143,4471000000,충청남도 금산군,존재,충남 금산군
144,4476000000,충청남도 부여군,존재,충남 부여군
145,4477000000,충청남도 서천군,존재,충남 서천군
146,4479000000,충청남도 청양군,존재,충남 청양군
147,4480000000,충청남도 홍성군,존재,충남 홍성군
148,4481000000,충청남도 예산군,존재,충남 예산군
149,4482500000,충청남도 태안군,존재,충남 태안군
150,4511000000,전라북도 전주시,존재,전북 전주시
151,4513000000,전라북도 군산시,존재,전북 군산시
152,4514000000,전라북도 익산시,존재,전북 익산시
153,4518000000,전라북도 정읍시,존재,전북 정읍시
154,4519000000,전라북도 남원시,존재,전북 남원시
155,4521000000,전라북도 김제시,존재,전북 김제시
156,4571000000,전라북도 완주군,존재,전북 완주군
157,4572000000,전라북도 진안군,존재,전북 진안군
158,4573000000,전라북도 무주군,존재,전북 무주군
159,4574000000,전라북도 장수군,존재,전북 장수군
160,4575000000,전라북도 임실군,존재,전북 임실군
161,4577000000,전라북도 순창군,존재,전북 순창군
162,4579000000,전라북도 고창군,존재,전북 고창군
163,4580000000,전라북도 부안군,존재,전북 부안군
164,4611000000,전라남도 목포시,존재,전남 목포시
165,4613000000,전라남도 여수시,존재,전남 여수시
166,4615000000,전라남도 순천시,존재,전남 순천시
167,4617000000,전라남도 나주시,존재,전남 나주시
168,4623000000,전라남도 광양시,존재,전남 광양시
169,4671000000,전라남도 담양군,존재,전남 담양군
170,4672000000,전라남도 곡성군,존재,전남 곡성군
171,4673000000,전라남도 구례군,존재,전남 구례군
172,4677000000,전라남도 고흥군,존재,전남 고흥군
173,4678000000,전라남도 보성군,존재,전남 보성군
174,4679000000,전라남도 화순군,존재,전남 화순군
175,4680000000,전라남도 장흥군,존재,전남 장흥군
176,4681000000,전라남도 강진군,존재,전남 강진군
177,4682000000,전라남도 해남군,존재,전남 해남군
178,4683000000,전라남도 영암군,존재,전남 영암군
179,4684000000,전라남도 무안군,존재,전남 무안군
180,4686000000,전라남도 함평군,존재,전남 함평군
181,4687000000,전라남도 영광군,존재,전남 영광군
182,4688000000,전라남도 장성군,존재,전남 장성군
183,4689000000,전라남도 완도군,존재,전남 완도군
184,4690000000,전라남도 진도군,존재,전남 진도군
185,4691000000,전라남도 신안군,존재,전남 신안군
186,4711000000,경상북도 포항시,존재,경북 포항시
187,4713000000,경상북도 경주시,존재,경북 경주시
188,4715000000,경상북도 김천시,존재,경북 김천시
189,4717000000,경상북도 안동시,존재,경북 안동시
190,4719000000,경상북도 구미시,존재,경북 구미시
191,4721000000,경상북도 영주시,존재,경북 영주시
192,4723000000,경상북도 영천시,존재,경북 영천시
193,4725000000,경상북도 상주시,존재,경북 상주시
194,4728000000,경상북도 문경시,존재,경북 문경시
195,4729000000,경상북도 경산시,존재,경북 경산시
196,4772000000,경상북도 군위군,존재,경북 군위군
197,4773000000,경상북도 의성군,존재,경북 의성군
198,4775000000,경상북도 청송군,존재,경북 청송군
199,4776000000,경상북도 영양군,존재,경북 영양군
200,4777000000,경상북도 영덕군,존재,경북 영덕군
201,4782000000,경상북도 청도군,존재,경북 청도군
202,4783000000,경상북도 고령군,존재,경북 고령군
203,4784000000,경상북도 성주군,존재,경북 성주군
204,4785000000,경상북도 칠곡군,존재,경북 칠곡군
205,4790000000,경상북도 예천군,존재,경북 예천군
206,4792000000,경상북도 봉화군,존재,경북 봉화군
207,4793000000,경상북도 울진군,존재,경북 울진군
208,4794000000,경상북도 울릉군,존재,경북 울릉군
209,4812000000,경상남도 창원시,존재,경남 창원시
210,4817000000,경상남도 진주시,존재,경남 진주시
211,4822000000,경상남도 통영시,존재,경남 통영시
212,4824000000,경상남도 사천시,존재,경남 사천시
213,4825000000,경상남도 김해시,존재,경남 김해시
214,4827000000,경상남도 밀양시,존재,경남 밀양시
215,4831000000,경상남도 거제시,존재,경남 거제시
216,4833000000,경상남도 양산시,존재,경남 양산시
217,4872000000,경상남도 의령군,존재,경남 의령군
218,4873000000,경상남도 함안군,존재,경남 함안군
219,4874000000,경상남도 창녕군,존재,경남 창녕군
220,4882000000,경상남도 고성군,존재,경남 고성군
221,4884000000,경상남도 남해군,존재,경남 남해군
222,4885000000,경상남도 하동군,존재,경남 하동군
223,4886000000,경상남도 산청군,존재,경남 산청군
224,4887000000,경상남도 함양군,존재,경남 함양군
225,4888000000,경상남도 거창군,존재,경남 거창군
226,4889000000,경상남도 합천군,존재,경남 합천군
227,5011000000,제주특별자치도 제주시,존재,제주 제주시
228,5013000000,제주특별자치도 서귀포시,존재,제주 서귀포시
