,학제,학교 세부 유형,시도,교육지원청,행정구,학교명,본분교,학교상태,우편번호,도로명주소,법정동
0,유치원,유치원,서울,중부,종로구,린덴바움유치원,본교,기존(원)교,030-25 ,서울특별시 종로구 통일로12길 51 . 린덴바움유치원 (무악동),서울특별시 종로구
1,유치원,유치원,서울,중부,종로구,배화여자대학교 부속 배화유치원,본교,기존(원)교,030-39 ,서울특별시 종로구 필운대로1길 34 (필운동),서울특별시 종로구
2,유치원,유치원,서울,중부,종로구,봄샘유치원,본교,기존(원)교,031-24 ,서울특별시 종로구 율곡로 264 (종로6가.서울복음교회),서울특별시 종로구
3,유치원,유치원,서울,중부,종로구,상명사대부속유치원,본교,기존(원)교,030-15 ,서울특별시 종로구 홍지문2길 1 . 상명사대부속유치원 (홍지동),서울특별시 종로구
4,유치원,유치원,서울,중부,종로구,서울명신초등학교병설유치원,본교,기존(원)교,030-93 ,서울특별시 종로구 낙산길 250 (창신동. 서울명신초등학교),서울특별시 종로구
5,유치원,유치원,서울,중부,종로구,서울재동초등학교병설유치원,본교,기존(원)교,030-56 ,서울특별시 종로구 북촌로4길 7 (가회동.서울재동초등학교),서울특별시 종로구
6,유치원,유치원,서울,중부,종로구,서울창신초등학교병설유치원,본교,기존(원)교,031-03 ,서울특별시 종로구 지봉로 73 . 서울창신초등학교병설유치원 (창신동. 창신초등학교),서울특별시 종로구
7,유치원,유치원,서울,중부,종로구,서울청운초등학교병설유치원,본교,신설(원)교,030-32 ,서울특별시 종로구 자하문로 105 (청운동) 병설유치원,서울특별시 종로구
8,유치원,유치원,서울,중부,종로구,서울혜화초등학교병설유치원,본교,기존(원)교,030-67 ,서울특별시 종로구 혜화로 32 (혜화동. 혜화초등학교),서울특별시 종로구
9,유치원,유치원,서울,중부,종로구,세검정유치원,본교,기존(원)교,030-17 ,서울특별시 종로구 자하문로 310 (홍지동),서울특별시 종로구
10,유치원,유치원,서울,중부,종로구,세종유치원,본교,기존(원)교,031-69 ,서울특별시 종로구 사직로8길 9 (필운동. 세종로천주교회),서울특별시 종로구
11,유치원,유치원,서울,중부,종로구,연동유치원,본교,폐(원)교,031-28 ,서울특별시 종로구 대학로3길 9 (연지동),서울특별시 종로구
12,유치원,유치원,서울,중부,종로구,옥인유치원,본교,기존(원)교,030-35 ,서울특별시 종로구 자하문로 69 (옥인동),서울특별시 종로구
13,유치원,유치원,서울,중부,종로구,운현유치원,본교,기존(원)교,031-31 ,서울특별시 종로구 삼일대로 460 (운니동),서울특별시 종로구
14,유치원,유치원,서울,중부,종로구,청룡유치원,본교,기존(원)교,031-08 ,서울특별시 종로구 동망산길 62 (숭인동),서울특별시 종로구
15,유치원,유치원,서울,중부,종로구,하나유치원,본교,기존(원)교,030-03 ,서울특별시 종로구 평창길 317 (평창동.하나유치원),서울특별시 종로구
16,유치원,유치원,서울,중부,종로구,한아름유치원,본교,기존(원)교,030-67 ,서울특별시 종로구 혜화로6길 80 (혜화동),서울특별시 종로구
17,유치원,유치원,서울,중부,종로구,혜화유치원,본교,기존(원)교,030-83 ,서울특별시 종로구 창경궁로 296 (혜화동. 혜화유치원),서울특별시 종로구
18,유치원,유치원,서울,중부,중구,가명유치원,본교,기존(원)교,045-06 ,서울특별시 중구 청파로 447-1 (중림동),서울특별시 중구
19,유치원,유치원,서울,중부,중구,근화유치원,본교,기존(원)교,046-09 ,서울특별시 중구 동호로20길 24 . 3층 근화유치원 (신당동),서울특별시 중구
20,유치원,유치원,서울,중부,중구,리라유치원,본교,기존(원)교,046-28 ,서울특별시 중구 소파로2길 7 (예장동),서울특별시 중구
21,유치원,유치원,서울,중부,중구,서울광희초등학교병설유치원,본교,기존(원)교,045-69 ,서울특별시 중구 다산로 269 (신당동),서울특별시 중구
22,유치원,유치원,서울,중부,중구,서울덕수초등학교병설유치원,본교,기존(원)교,045-19 ,서울특별시 중구 덕수궁길 140 (정동),서울특별시 중구
23,유치원,유치원,서울,중부,중구,서울장충유치원,본교,기존(원)교,046-09 ,서울특별시 중구 청구로17길 40 . 서울장충유치원 (신당동. 장충초등학교),서울특별시 중구
24,유치원,유치원,서울,중부,중구,서울충무초등학교병설유치원,본교,기존(원)교,046-18 ,서울특별시 중구 퇴계로 50길 13 (장충동2가),서울특별시 중구
25,유치원,유치원,서울,중부,중구,수암유치원,본교,기존(원)교,045-95 ,서울특별시 중구 다산로 32 수암유치원 (신당동. 남산타운),서울특별시 중구
26,유치원,유치원,서울,중부,중구,숭의여자대학교부설유치원,본교,기존(원)교,046-28 ,서울특별시 중구 소파로2길 10 . 숭의여자대학교부설유치원 (예장동. 숭의여자대학교),서울특별시 중구
27,유치원,유치원,서울,중부,중구,신일유치원,본교,기존(원)교,045-90 ,서울특별시 중구 동호로10길 27 . 신일유치원 (신당동. 신일교회),서울특별시 중구
28,유치원,유치원,서울,중부,중구,약수유치원,본교,기존(원)교,045-93 ,서울특별시 중구 동호로10길 30 (신당동.약수하이츠),서울특별시 중구
