,학제,학교 세부 유형,시도,교육지원청,행정구,학교명,본분교,학교상태,우편번호,도로명주소,법정동
9164,초등학교,초등학교,서울,중부,종로구,상명대학교사범대학부속초등학교,본교,기존(원)교,030-15 ,서울특별시 종로구 홍지문2길 1 . 상명사대부속초등학교 (홍지동. 상명초등학교),서울특별시 종로구
9165,초등학교,초등학교,서울,중부,종로구,서울교동초등학교,본교,기존(원)교,031-32 ,서울특별시 종로구 삼일대로 446 (경운동),서울특별시 종로구
9166,초등학교,초등학교,서울,중부,종로구,서울대학교사범대학부설초등학교,본교,기존(원)교,030-87 ,서울특별시 종로구 대학로 64 (동숭동.서울사대부설초등학교),서울특별시 종로구
9167,초등학교,초등학교,서울,중부,종로구,서울독립문초등학교,본교,기존(원)교,030-25 ,서울특별시 종로구 통일로12길 23 (무악동),서울특별시 종로구
9168,초등학교,초등학교,서울,중부,종로구,서울매동초등학교,본교,기존(원)교,030-27 ,서울특별시 종로구 사직로9길 19 . 서울매동초등학교 (필운동),서울특별시 종로구
9169,초등학교,초등학교,서울,중부,종로구,서울명신초등학교,본교,기존(원)교,030-93 ,서울특별시 종로구 낙산길 250 (창신동),서울특별시 종로구
9170,초등학교,초등학교,서울,중부,종로구,서울세검정초등학교,본교,기존(원)교,030-14 ,서울특별시 종로구 세검정로9길 1 (신영동.서울세검정초등학교),서울특별시 종로구
9171,초등학교,초등학교,서울,중부,종로구,서울재동초등학교,본교,기존(원)교,030-56 ,서울특별시 종로구 북촌로4길 7 . 서울재동초등학교 (가회동),서울특별시 종로구
9172,초등학교,초등학교,서울,중부,종로구,서울창신초등학교,본교,기존(원)교,031-03 ,서울특별시 종로구 지봉로 73 . 서울창신초등학교 (창신동),서울특별시 종로구
9173,초등학교,초등학교,서울,중부,종로구,서울청운초등학교,본교,기존(원)교,030-32 ,서울특별시 종로구 자하문로 105 . 청운초등학교 (청운동),서울특별시 종로구
9174,초등학교,초등학교,서울,중부,종로구,서울혜화초등학교,본교,기존(원)교,030-67 ,서울특별시 종로구 혜화로 32 . 서울혜화초등학교 (혜화동),서울특별시 종로구
9175,초등학교,초등학교,서울,중부,종로구,서울효제초등학교,본교,기존(원)교,031-26 ,서울특별시 종로구 대학로 12 . 서울효제초등학교 (효제동),서울특별시 종로구
9176,초등학교,초등학교,서울,중부,종로구,운현초등학교,본교,기존(원)교,031-31 ,서울특별시 종로구 삼일대로 460 . (운니동. 운현초등학교 (운니동),서울특별시 종로구
9177,초등학교,초등학교,서울,중부,중구,동산초등학교,본교,기존(원)교,045-92 ,서울특별시 중구 매봉18길 109 동산초등학교 (신당동),서울특별시 중구
9178,초등학교,초등학교,서울,중부,중구,리라초등학교,본교,기존(원)교,046-28 ,서울특별시 중구 소파로2길 7 (예장동),서울특별시 중구
9179,초등학교,초등학교,서울,중부,중구,서울광희초등학교,본교,기존(원)교,045-69 ,서울특별시 중구 다산로 269 . 서울광희초등학교 (신당동),서울특별시 중구
9180,초등학교,초등학교,서울,중부,중구,서울남산초등학교,본교,기존(원)교,046-29 ,서울특별시 중구 퇴계로22길 17 . 서울남산초등학교 (남산동2가),서울특별시 중구
9181,초등학교,초등학교,서울,중부,중구,서울덕수초등학교,본교,기존(원)교,045-19 ,서울특별시 중구 덕수궁길 140 서울덕수초등학교 (정동),서울특별시 중구
9182,초등학교,초등학교,서울,중부,중구,서울봉래초등학교,본교,기존(원)교,045-01 ,서울특별시 중구 손기정로 73 (만리동2가),서울특별시 중구
9183,초등학교,초등학교,서울,중부,중구,서울신당초등학교,본교,기존(원)교,045-79 ,서울특별시 중구 난계로 141 (신당동),서울특별시 중구
9184,초등학교,초등학교,서울,중부,중구,서울장충초등학교,본교,기존(원)교,046-09 ,서울특별시 중구 청구로17길 40 . 서울장충초등학교 (신당동),서울특별시 중구
9185,초등학교,초등학교,서울,중부,중구,서울청구초등학교,본교,기존(원)교,045-89 ,서울특별시 중구 다산로 170 (신당동.청구초등학교),서울특별시 중구
9186,초등학교,초등학교,서울,중부,중구,서울충무초등학교,본교,기존(원)교,046-18 ,서울 중구 퇴계로50길 13 (장충동2가.충무초등학교),서울특별시 중구
9187,초등학교,초등학교,서울,중부,중구,서울흥인초등학교,본교,기존(원)교,045-86 ,서울특별시 중구 청구로6길 11 (신당동.흥인초등학교),서울특별시 중구
9188,초등학교,초등학교,서울,중부,중구,숭의초등학교,본교,기존(원)교,046-28 ,서울특별시 중구 소파로2길 10 (예장동.숭의여자대학),서울특별시 중구
9189,초등학교,초등학교,서울,중부,용산구,서울금양초등학교,본교,기존(원)교,043-18 ,서울특별시 용산구 효창원로 137 . 서울금양초등학교 (효창동),서울특별시 용산구
9190,초등학교,초등학교,서울,중부,용산구,서울남정초등학교,본교,기존(원)교,043-68 ,서울특별시 용산구 원효로64길 17-10 . 서울남정초등학교 (원효로2가),서울특별시 용산구
9191,초등학교,초등학교,서울,중부,용산구,서울보광초등학교,본교,기존(원)교,044-07 ,서울특별시 용산구 우사단로 20 (이태원동.보광초등학교),서울특별시 용산구
9192,초등학교,초등학교,서울,중부,용산구,서울삼광초등학교,본교,기존(원)교,043-35 ,서울특별시 용산구 두텁바위로1나길 19 . 서울삼광초등학교 (후암동),서울특별시 용산구
9193,초등학교,초등학교,서울,중부,용산구,서울서빙고초등학교,본교,기존(원)교,043-84 ,서울특별시 용산구 서빙고로51길 14 . 서울서빙고초등학교 (서빙고동),서울특별시 용산구
9194,초등학교,초등학교,서울,중부,용산구,서울신용산초등학교,본교,기존(원)교,044-23 ,서울특별시 용산구 이촌로 255 (이촌동),서울특별시 용산구
9195,초등학교,초등학교,서울,중부,용산구,서울용산초등학교,본교,기존(원)교,043-75 ,서울 용산구 한강대로57길 33 (한강로2가.용산초등학교),서울특별시 용산구
9196,초등학교,초등학교,서울,중부,용산구,서울용암초등학교,본교,기존(원)교,043-41 ,서울특별시 용산구 녹사평대로60길 39 . 서울용암초등학교 (용산동2가),서울특별시 용산구
9197,초등학교,초등학교,서울,중부,용산구,서울원효초등학교,본교,기존(원)교,043-57 ,서울특별시 용산구 효창원로13길 38 . 서울원효초등학교 (산천동.원효초등학교),서울특별시 용산구
9198,초등학교,초등학교,서울,중부,용산구,서울이태원초등학교,본교,기존(원)교,043-45 ,서울특별시 용산구 녹사평대로40길 19 (이태원동.이태원초등학교),서울특별시 용산구
9199,초등학교,초등학교,서울,중부,용산구,서울청파초등학교,본교,기존(원)교,043-06 ,서울특별시 용산구 효창원로 228 . 서울청파초등학교 (청파동2가),서울특별시 용산구
9200,초등학교,초등학교,서울,중부,용산구,서울한강초등학교,본교,기존(원)교,043-88 ,서울특별시 용산구 한강대로14길 9 . 서울한강초등학교 (한강로3가),서울특별시 용산구
9201,초등학교,초등학교,서울,중부,용산구,서울한남초등학교,본교,기존(원)교,044-18 ,서울특별시 용산구 한남대로 112 서울한남초등학교 (한남동),서울특별시 용산구
9202,초등학교,초등학교,서울,중부,용산구,서울후암초등학교,본교,기존(원)교,043-28 ,서울특별시 용산구 두텁바위로 140 . 서울후암초등학교 (후암동),서울특별시 용산구
9203,초등학교,초등학교,서울,중부,용산구,신광초등학교,본교,기존(원)교,043-13 ,서울특별시 용산구 청파로 263 . 신광초등학교 청파동 3가 100 (청파동3가),서울특별시 용산구
9204,초등학교,초등학교,서울,성동·광진,성동구,서울경동초등학교,본교,기존(원)교,047-81 ,서울특별시 성동구 성수일로 34 (성수동1가.경동초등학교),서울특별시 성동구
9205,초등학교,초등학교,서울,성동·광진,성동구,서울경수초등학교,본교,기존(원)교,047-85 ,서울특별시 성동구 뚝섬로13길 22 (성수동2가.경수초등학교),서울특별시 성동구
9206,초등학교,초등학교,서울,성동·광진,성동구,서울경일초등학교,본교,기존(원)교,047-74 ,서울특별시 성동구 뚝섬로 332 (성수동1가),서울특별시 성동구
9207,초등학교,초등학교,서울,성동·광진,성동구,서울금북초등학교,본교,기존(원)교,047-21 ,서울특별시 성동구 행당로1길 13 . 서울금북초등학교 (금호동1가),서울특별시 성동구
9208,초등학교,초등학교,서울,성동·광진,성동구,서울금옥초등학교,본교,기존(원)교,047-25 ,서울특별시 성동구 독서당로 251 (금호동4가),서울특별시 성동구
9209,초등학교,초등학교,서울,성동·광진,성동구,서울금호초등학교,본교,기존(원)교,047-26 ,서울특별시 성동구 무수막길 69 . 서울금호초등학교 (금호동2가),서울특별시 성동구
9210,초등학교,초등학교,서울,성동·광진,성동구,서울동명초등학교,본교,기존(원)교,047-05 ,서울특별시 성동구 마장로29길 29 . 서울동명초등학교 (마장동),서울특별시 성동구
