,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
0,C10,부산광역시교육청,강서구,교습소,3000020166,1등급국어교습소,20210701,20210630,개원,,,18,8.0,입시.검정 및 보습,보통교과,,보습,,Y,N,46726,부산광역시 강서구 명지국제8로 234,/ 707호 (명지동),20210725
1,C10,부산광역시교육청,강서구,교습소,3000018265,3030(삼공삼공)영어명지국제센터영어교습소,20190322,20190322,개원,,,63,8.0,입시.검정 및 보습,보통교과,영어(초등)A,보습,영어(초등)A:220000/ 영어(초등)B:210000/ 영어(중등)A:250000/ 영어(중등)B:280000/ 영어(중등)D:280000/ 영어(중등)C:250000/ 영어(고등):400000,Y,N,46726,부산광역시 강서구 명지국제7로 140,/ 더 에듀 팰리스 부영 상가3동 203호 (명지동),20210604
2,C10,부산광역시교육청,강서구,교습소,3000019691,3030영어명지서부센타영어교습소,20201210,20201210,개원,,,45,9.0,국제화,외국어,초등A,실용외국어(유아/초·중·고),,Y,N,46726,부산광역시 강서구 명지국제2로 80,/ 비주거시설동 2-80 (명지동/ e편한세상 명지),20210604
3,C10,부산광역시교육청,강서구,교습소,3000013951,NNEnglish(앤앤영어)교습소,20141217,20141217,개원,,,40,6.0,국제화,외국어,실용영어(초등),실용외국어(유아/초·중·고),실용영어(초등):250000/ 실용영어(중등):280000,Y,N,46762,부산광역시 강서구 명지오션시티10로 17,/ 상가동116동 104호 (명지동/ 퀸덤1차아파트),20210604
4,C10,부산광역시교육청,강서구,교습소,3000013378,Sound of Music 실용음악교습소,20140513,20140513,개원,,,9,9.0,예능(대),예능(중),초급,음악,,Y,N,46762,부산광역시 강서구 명지오션시티10로 17,/ 상가동116동 111호 (명지동/ 퀸덤1차아파트),20210604
5,C10,부산광역시교육청,강서구,교습소,3000018978,TopEnglish(탑잉글리쉬)영어교습소,20191227,20191227,개원,,,40,6.0,입시.검정 및 보습,보통교과,,보습,,Y,N,46764,부산광역시 강서구 명지오션시티11로 84,/ 상가에이동 103호 (명지동/ 명지롯데캐슬),20210604
6,C10,부산광역시교육청,강서구,교습소,5755,강서아카데미수학교습소,20040904,20040904,개원,,,25,9.0,입시.검정 및 보습,보통교과,수학(초등),보습,수학(초등):150000/ 수학(중등):207000/ 수학(고등A):390000/ 수학(고등B):310000/ 수학(고등C):260000,Y,N,618803,부산광역시 강서구 대저로273번길 18,(대저1동),20210801
7,C10,부산광역시교육청,강서구,교습소,3000018608,개념수학교습소,20190718,20190718,개원,,,45,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,46726,부산광역시 강서구 명지국제8로 235,/ 코아상가 805호 (명지동),20210604
8,C10,부산광역시교육청,강서구,교습소,3000015262,경플루트음악교습소,20160222,20160322,개원,,,30,7.0,예능(대),예능(중),,음악,,Y,N,46764,부산광역시 강서구 명지오션시티12로 92,/ 상가C3 B120호 (명지동/ 엘크루블루오션),20210604
9,C10,부산광역시교육청,강서구,교습소,3000019939,국어의힘국어교습소,20210310,20210310,개원,,,128,4.0,입시.검정 및 보습,보통교과,국어(초등A1),보습,국어(초등A1):25000/ 국어(초등A2):50000/ 국어(초등A3):70000/ 국어(초등A4):90000/ 국어(초등A5):110000/ 국어(초등B1):70000/ 국어(초등B2):100000/ 국어(초등B3):170000/ 국어(초등C1):100000/ 국어(초등C2):150000/ 국어(중등1):110000/ 국어(중등2):170000/ 국어(고등1):240000/ 국어(고등2):250000/ 국어(고등3):270000/ 국어(중등3):170000,Y,N,46762,부산광역시 강서구 명지오션시티10로 16,/ 제상가동 제지1층 246-4호 (명지동/ 영어도시 퀸덤1차),20210604
10,C10,부산광역시교육청,강서구,교습소,3000020221,국제하연과학교습소,20210802,20210730,개원,,,12,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,46726,부산광역시 강서구 명지국제2로 80,/ 비주거시설동 2층 20호 (명지동/ e편한세상 명지),20210808
11,C10,부산광역시교육청,강서구,교습소,3000019217,그리고놀작미술교습소,20200306,20200306,개원,,,45,13.0,예능(대),예능(중),,미술,,Y,N,46726,부산광역시 강서구 명지국제5로 29,/ 115동 103호 (명지동/ 명지 국제신도시 호반베르디움 1차),20210604
12,C10,부산광역시교육청,강서구,교습소,3000017009,그리미뚝딱미술교습소,20180108,20180108,개원,,,18,9.0,예능(대),예능(중),,미술,미술A(초급):150000/ 미술B(초급):150000/ 고급:130000,Y,N,46743,부산광역시 강서구 과학산단2로20번길 91,/ 111동 106호 (지사동/ 지사 과학 삼정그린코아),20210604
13,C10,부산광역시교육청,강서구,교습소,3000016899,그림있는숲엘크루점미술교습소,20171204,20171204,개원,,,24,7.0,예능(대),예능(중),미술고급A,미술,미술고급A:150000/ 미술고급B:140000/ 미술고급C:130000/ 미술고급D:110000,Y,N,46764,부산광역시 강서구 명지오션시티12로 92,/ 근린생활시설(C3)동 B124호 (명지동/ 엘크루 블루오션),20210604
14,C10,부산광역시교육청,강서구,교습소,3000018295,기탄사고력공부방수학교습소,20190403,20190403,개원,,,100,9.0,입시.검정 및 보습,보통교과,수학(초등),보습,수학(초등):230000/ 수학(초등):180000/ 수학(초등):160000,Y,N,46726,부산광역시 강서구 명지국제6로302번길 11-7,/ 1층 일부 (명지동),20210604
15,C10,부산광역시교육청,강서구,교습소,3000018136,깐띠아모(cantiamo)음악교습소,20180316,20180316,개원,,,40,9.0,예능(대),예능(중),음악1(초),음악,,Y,N,46762,부산광역시 강서구 명지오션시티10로 16,/ 상가동 222동 232-1호 (명지동/ 영어도시 퀸덤1차),20210604
16,C10,부산광역시교육청,강서구,교습소,3000017136,놀작색깔나무미술교습소,20180223,20180223,개원,,,15,4.0,예능(대),예능(중),,미술,,Y,N,46764,부산광역시 강서구 명지오션시티12로 120,/ 근린생활시설(C4)동 117호 (명지동/ 엘크루 블루오션),20210604
17,C10,부산광역시교육청,강서구,교습소,3000016488,늘수학교습소,20170612,20170612,개원,,,36,4.0,입시.검정 및 보습,보통교과,수학(초등A),보습,수학(초등A):150000/ 수학(초등B):160000/ 수학(초등C):180000/ 수학(초등D):190000/ 수학(초등E):200000/ 수학(중등A):230000/ 수학(중등B):240000/ 수학(중등C):250000/ 수학(중등D):260000,Y,N,46762,부산광역시 강서구 명지오션시티10로 17,/ 상가동116동 105호 일부 (명지동/ 영어도시퀸덤1차),20210604
18,C10,부산광역시교육청,강서구,교습소,3000017436,더리틀파레트미술교습소,20180531,20180531,개원,,,36,7.0,예능(대),예능(중),,미술,,Y,N,46726,부산광역시 강서구 명지국제6로220번길 13,/ 1층일부 (명지동),20210604
19,C10,부산광역시교육청,강서구,교습소,3000020289,더바이올린교습소,20210903,20210903,개원,,,29,5.0,예능(대),예능(중),,음악,,Y,N,46772,부산광역시 강서구 명지국제8로 270,/ 402호 (명지동),20210905
20,C10,부산광역시교육청,강서구,교습소,3000019752,더샵피아노스튜디오음악교습소,20201231,20201231,개원,,,30,8.0,예능(대),예능(중),바이엘1(고급),음악,바이엘1(고급):140000/ 바이엘2(고급):120000/ 체르니 100/ 30(고급):150000/ 체르니 40(고급):160000/ 입시A:260000/ 입시B:390000,Y,N,46726,부산광역시 강서구 명지국제7로 37,/ 216호 (명지동/ 더샵 명지퍼스트월드 2단지),20210604
