,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
0,D10,대구광역시교육청,남구,교습소,3000019645,가담보컬음악교습소,20210709,20210709,개원,,,36,9.0,예능(대),예능(중),보컬(초급),음악,보컬(초급):145000/ 보컬(중급):160000/ 보컬(고급1):250000/ 보컬(고급2):450000,Y,N,42444,대구광역시 남구 이천로 18,/ 4층 (봉덕동),20210912
1,D10,대구광역시교육청,남구,교습소,2000008114,가산서예교습소,20001101,20001101,개원,,,8,8.0,기타(대),기타(중),서예,서예,,N,N,705809,대구광역시 남구 현충로19길 109-4,  1층 (대명동),20210912
2,D10,대구광역시교육청,남구,교습소,11082,가우스수학교습소,20110609,20100519,개원,,,27,9.0,입시.검정 및 보습,보통교과,수학(초등),보습,,N,,705834,대구광역시 남구 고산2길 64-2,  1층 (봉덕동),20210912
3,D10,대구광역시교육청,남구,교습소,2000008149,고흐미술교습소,20010216,20010216,개원,,,48,9.0,예능(대),예능(중),미술(초급),미술,미술(초급):120000/ 미술(초급):100000/ 미술(초급):80000/ 미술(초급):60000/ 미술(중급):160000/ 미술(중급):130000/ 미술(중급):100000/ 미술(중급):70000,N,,705772,대구광역시 남구 명덕로 68길 77,  201호 (이천동),20210912
4,D10,대구광역시교육청,남구,교습소,3000016405,골든벨피아노교습소,20170927,20170927,개원,,,30,5.0,예능(대),예능(중),,음악,,Y,N,42427,대구광역시 남구 이천로19길 68,/ 상가304호 (이천동/ 교대역 월드메르디앙),20210912
5,D10,대구광역시교육청,남구,교습소,11663,공부벌레영어교습소,20101025,20101025,개원,,,20,5.0,입시.검정 및 보습,보통교과,영어(초등),보습,영어(초등):150000/ 영어(초등):160000/ 영어(중등):200000/ 영어(고등):260000,N,,705832,대구광역시 남구 효동길 8-1,  1층일부 (봉덕동),20210912
6,D10,대구광역시교육청,남구,교습소,3000014402,공부야놀자수학교습소,20151027,20151027,개원,,,27,9.0,입시.검정 및 보습,보통교과,,보습,수학(초등):130000/ 수학(초등):150000/ 수학(중등):160000/ 수학(고등):170000/ 수학(초등):130000/ 수학(중등):160000/ 수학(고등):200000,Y,N,705811,대구광역시 남구 대명로20길 37,/ 1층 (대명동),20210912
7,D10,대구광역시교육청,남구,교습소,7191,구선생수학교습소,20100510,20080211,개원,,,9,3.0,입시.검정 및 보습,보통교과,,보습,수학(초등):120000/ 수학(중등):170000/ 수학(고등):200000/ 수학(초등):140000/ 수학(중등):180000/ 수학(고등):250000,N,N,705824, 대구광역시 남구 현충서길 49,  1층일부 (대명동),20210912
8,D10,대구광역시교육청,남구,교습소,3000010283,구하라수학교습소,20110503,20110503,개원,,,17,5.0,입시.검정 및 보습,보통교과,수학(초등),보습,수학(초등):140000/ 수학(중등):180000/ 수학(고등):250000,Y,,705840,대구광역시 남구 현충서길 58,/ 2층 일부 (대명동),20210912
9,D10,대구광역시교육청,남구,교습소,10015,그림마을미술교습소,20091016,20091016,개원,,,24,9.0,예능(대),예능(중),미술(초등),미술,,N,N,705835,대구광역시 남구 삼정2길 114,  3층 (봉덕동),20210912
