,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
0,E10,인천광역시교육청,강화군,교습소,9763,A+수학교습소,20090907,20090907,개원,,,25.0,9.0,입시.검정 및 보습,보통교과,초등수학,보습,,Y,N,23025,인천광역시 강화군 강화읍 강화대로248번길 22,(강화읍),20210704
1,E10,인천광역시교육청,강화군,교습소,10577,MathClinic수학교습소,20100528,20100528,개원,,,12.0,4.0,입시.검정 및 보습,보통교과,초등(수학),보습,,Y,N,23032,인천광역시 강화군 강화읍 북문길9번길 19,/ 3층 (강화읍),20210704
2,E10,인천광역시교육청,강화군,교습소,3000013190,OK-TOP(오케이탑)수학교습소,20160302,20160225,개원,,,12.0,6.0,입시.검정 및 보습,보통교과,수학(중등),보습,수학(중등):160000/ 수학(고등):180000,Y,N,23032,인천광역시 강화군 강화읍 강화대로 448-1,/ 3층 (강화읍),20210704
3,E10,인천광역시교육청,강화군,교습소,3000012136,강화중국어교습소,20140610,20140610,개원,,,16.0,2.0,국제화,외국어,중국어(초/중/고)(평일3),실용외국어(유아/초·중·고),,Y,N,23031,인천광역시 강화군 강화읍 북문길 10,/ 2층 (강화읍),20210704
4,E10,인천광역시교육청,강화군,교습소,3000016122,강화플라톤독서논술교습소,20200818,20200818,개원,,,9.0,9.0,입시.검정 및 보습,보통교과,,보습·논술,,Y,N,23025,인천광역시 강화군 강화읍 강화대로248번길 28-2,/ 1층 2호 (강화읍),20210704
5,E10,인천광역시교육청,강화군,교습소,3000012946,공쌤글사랑국어교습소,20151027,20151027,개원,,,27.0,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,23031,인천광역시 강화군 강화읍 북문길 10,/ 2층 (강화읍),20210704
6,E10,인천광역시교육청,강화군,교습소,3000014255,권쌤영어교습소,20170816,20170816,개원,,,12.0,6.0,입시.검정 및 보습,보통교과,초등영어,보습,초등영어:200000/ 중등영어:250000,Y,N,23050,인천광역시 강화군 길상면 강화동로 4,/ 1층 일부 (길상면),20210704
7,E10,인천광역시교육청,강화군,교습소,9353,그림나라미술교습소,20090323,20090323,개원,,,63.0,8.0,예능(대),예능(중),미술(유아초등A),미술,미술(유아초등A):50000/ 미술(유아초등B):94000/ 미술(유아초등c):120000/ 미술(유아초등D):130000/ 미술(유아초등E):165000/ 중등입시A:120000/ 중등입시B:180000,Y,N,23025,인천광역시 강화군 강화읍 강화대로248번길 17,(강화읍),20210704
8,E10,인천광역시교육청,강화군,교습소,3000016260,그림책톡톡창의융합독서코칭교습소,20201201,20201201,개원,,,81.0,9.0,기타(대),기타(중),초등부고,기타(소),초등부고:84000/ 유치부:65000/ 유치부:75000/ 초등부저:75000/ 초등부저:75000/ 초등부저:84000/ 유치부:42000/ 초등부고:100000/ 초등부고:100000,Y,N,23025,인천광역시 강화군 강화읍 강화대로248번길 28-2,/ 1층 5호 (강화읍),20210704
9,E10,인천광역시교육청,강화군,교습소,2000004552,김선희피아노교습소,20110530,19960412,개원,,,75.0,5.0,예능(대),예능(중),기초피아노(주5),음악,기초피아노(주5):150000/ 준중급피아노(주5)-체100:160000/ 중급피아노(주5)-체30:170000/ 고급피아노(주5)-체40:180000/ 입시취미피아노(주4):200000/ 입시피아노(주4):400000/ 기초피아노(주4):140000/ 준중급피아노(주4)-체100:150000/ 중급피아노(주4)-체30:160000/ 고급피아노(주4)-체40:170000/ 기초피아노(주3):130000/ 준중급피아노(주3)-체100:140000/ 중급피아노(주3)-체30:150000/ 고급피아노(주3)-체40:160000/ 입시피아노(주3):180000,Y,N,23033,인천광역시 강화군 강화읍 강화대로 431,/ 3층 (강화읍),20210704
10,E10,인천광역시교육청,강화군,교습소,3000016197,김유자인문서당교습소,20201016,20201016,개원,,,9.0,9.0,기타(대),기타(중),,기타(소),,Y,N,23031,인천광역시 강화군 강화읍 강화대로 424-1,/ 2층 (강화읍/ 신협),20210704
11,E10,인천광역시교육청,강화군,교습소,3000016024,띵크아트키즈미술교습소,20200509,20200509,개원,,,9.0,9.0,예능(대),예능(중),유치부,미술,유치부:60000,Y,N,23024,인천광역시 강화군 강화읍 갑룡길 89,(강화읍),20210704
12,E10,인천광역시교육청,강화군,교습소,3000016155,리드앤톡영어교습소,20200918,20200918,개원,,,9.0,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,23040,인천광역시 강화군 선원면 중앙로 274-2,/ 203호 (선원면/ 창리피아노),20210704
13,E10,인천광역시교육청,강화군,교습소,3000011172,리틀아트미술교습소,20121115,20121115,개원,,,36.0,8.0,예능(대),예능(중),,미술,유치부초등:70000/ 유치부초등:85000/ 유치부초등:115000/ 중등부:85000/ 주2회:100000/ 주3회:120000/ 주4회:140000/ 주5회:160000,Y,N,23036,인천광역시 강화군 강화읍 갑룡길,/ 83/ 1층 일부 (강화읍),20210704
