,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
0,F10,광주광역시교육청,광산구,교습소,3000013354,153수학교습소,20170719,20170719,개원,,,35,7.0,입시.검정 및 보습,보통교과,수학(초등1-2),보습,수학(초등1-2):150000/ 수학(초등3-6):170000/ 수학(중등):200000/ 수학(고등):200000,Y,N,62254,광주광역시 광산구 첨단중앙로 201,/ 상가동 204호일부 (월계동/ 첨단동부아파트),20210604
1,F10,광주광역시교육청,광산구,교습소,3000013632,1등급수학교습소,20180126,20180126,개원,,,12,3.0,입시.검정 및 보습,보통교과,초등수학,보습,초등수학:150000/ 중등수학:200000/ 고등수학:250000,Y,N,62299,광주광역시 광산구 수등로 280,/ 신가1차호반리젠시빌 상가동 202호 (신가동/ 신가1차호반리젠시빌),20210604
2,F10,광주광역시교육청,광산구,교습소,3968,J예음피아노교습소,20060926,20060926,개원,,,28,5.0,예능(대),예능(중),피아노(초급),음악,피아노(초급):110000/ 피아노(중급):120000/ 피아노(고급):130000,Y,,506760,광주광역시 광산구 비아로 185,/ 상가 102동 203호 (비아동/하남지구호반아파트),20210604
3,F10,광주광역시교육청,광산구,교습소,3000014631,YSetudier(와이에스에듀디에)수학교습소,20200408,20200408,개원,,,21,7.0,입시.검정 및 보습,보통교과,,보습,,Y,N,62279,광주광역시 광산구 첨단강변로 100,/ 401동 210호 (쌍암동/ 힐스테이트 리버파크),20210604
4,F10,광주광역시교육청,광산구,교습소,3000014380,e이해법수학교습소,20190902,20190902,개원,,,28,7.0,입시.검정 및 보습,보통교과,,보습,,Y,N,62308,광주광역시 광산구 수완로33번길 79,/ 상가1동 204호 (수완동/ 수완지구 영무예다음2차 아파트),20210604
5,F10,광주광역시교육청,광산구,교습소,3000012217,가온길논술교습소,20150326,20150326,개원,,,18,5.0,입시.검정 및 보습,보통교과,,보습·논술,,Y,,506251,광주광역시 광산구 풍영로 285,/ 213동(상가동) 305호 (장덕동/ 수완2차 골든클래스),20210604
6,F10,광주광역시교육청,광산구,교습소,3000013153,강선생국어교습소,20170227,20170227,개원,,,24,4.0,입시.검정 및 보습,보통교과,국어(초등),보습,국어(초등):150000/ 국어(중등):170000/ 국어(고등):190000/ 국어2(초등):120000/ 국어2(중등):100000/ 국어2(고등):150000,Y,N,62255,광주광역시 광산구 첨단중앙로181번길 42-25,/ 선경아파트상가 204호일부 (월계동/ 첨단 선경 아파트),20210604
7,F10,광주광역시교육청,광산구,교습소,6838,강수학교습소,20100407,20100407,개원,,,15,3.0,입시.검정 및 보습,보통교과,수학(초등),보습,수학(초등):150000/ 수학(중등):200000/ 수학(고등):300000,Y,N,506780,광주광역시 광산구 목련로153번길 134,/ 상가동 208호 (운남동/광주운남6단지주공아파트),20210604
8,F10,광주광역시교육청,광산구,교습소,3000014013,개념쎈수학교습소,20181112,20181112,개원,,,27,9.0,입시.검정 및 보습,보통교과,고등수학,보습,고등수학:250000/ 수학(초등):140000/ 수학(중등):200000/ 고등수학문제풀이:50000,Y,N,62254,광주광역시 광산구 첨단중앙로181번길 42-4,/ 상가동 2층3호 (월계동/ 첨단과학산업단지 금광아파트),20210604
9,F10,광주광역시교육청,광산구,교습소,3000012984,건반이야기음악교습소,20161028,20161028,개원,,,30,5.0,예능(대),예능(중),종합(오카리나/리코더.작곡기초초급),음악,,Y,N,62287,광주광역시 광산구 장신로 306,/ 상가동 204호 (신창동/신창 대광로제비앙),20210604
10,F10,광주광역시교육청,광산구,교습소,2000003519,고고수학교습소,19991213,19991213,개원,,,12,9.0,입시.검정 및 보습,보통교과,초등수학,보습,,Y,N,506866,광주광역시 광산구 첨단중앙로181번길 88-22,/  상가 207호 (월계동/신동아아파트),20210604
11,F10,광주광역시교육청,광산구,교습소,3000014491,고래영어교습소,20191212,20191212,개원,,,48,8.0,입시.검정 및 보습,보통교과,초등영어,보습,초등영어:180000/ 중등영어:230000,Y,N,62220,광주광역시 광산구 풍영로 285,/ 204호 (장덕동/ 수완2차 골드클래스),20210604
12,F10,광주광역시교육청,광산구,교습소,3000011459,고수수학교습소,20130906,20130906,개원,,,18,6.0,입시.검정 및 보습,보통교과,수학1(초등),보습,수학1(초등):50000/ 수학2(초등):100000/ 수학(중등):180000/ 수학(고등):240000,Y,N,506901,광주광역시 광산구 수등로 275,/ 3층일부 (신가동),20210604
13,F10,광주광역시교육청,광산구,교습소,3000013847,고실한문교습소,20180627,20180627,개원,,,35,7.0,입시.검정 및 보습,보통교과,,보습,한문(초등):130000/ 한문(중등):150000/ 한문(고등):170000/ 중/고등(3일):90000,Y,N,62220,광주광역시 광산구 풍영로 285,/ 상가동 201호 (장덕동/ 수완2차 골드클래스),20210604
14,F10,광주광역시교육청,광산구,교습소,3000014771,고호미술교습소,20201210,20201210,개원,,,27,9.0,예능(대),예능(중),미술(고급A),미술,미술(고급A):120000/ 미술(고급B):140000/ 미술(고급C):170000,Y,N,62250,광주광역시 광산구 신창로71번길 16,/ 상가동 202호일부 (신창동/ 신창5차부영사랑으로),20210604
