,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
0,G10,대전광역시교육청,대덕구,교습소,3000012678,DCT수학교습소,20170404,20170404,개원,,,18,6.0,입시.검정 및 보습,보통교과,초등수학,보습,초등수학:120000/ 중등수학:150000/ 고등수학:200000,Y,N,34437,대전광역시 대덕구 한밭대로 1026,/ 2층 (오정동),20210912
1,G10,대전광역시교육청,대덕구,교습소,3000014074,E.I.C.U.영어교습소,20210223,20210223,개원,,,45,8.0,입시.검정 및 보습,보통교과,고등영어,보습,고등영어:200000/ 중등영어:190000/ 중등심화:280000/ 고등심화:310000/ 고등일반:250000,Y,N,34426,대전광역시 대덕구 홍도로135번길 68,/ 104호 (중리동),20210912
2,G10,대전광역시교육청,대덕구,교습소,3000013426,강쌤수학교습소,20190401,20190401,개원,,,30,3.0,입시.검정 및 보습,보통교과,,보습,,Y,N,34402,대전광역시 대덕구 계족산로 135,/ 선비마을4단지아파트 상가 2층 202호 (송촌동),20210912
3,G10,대전광역시교육청,대덕구,교습소,3000014157,경진영어교습소,20210512,20210512,개원,,,15,5.0,입시.검정 및 보습,보통교과,,보습,,Y,N,34309,대전광역시 대덕구 신탄진북로43번길 3,/ 2층 (신탄진동),20210912
4,G10,대전광역시교육청,대덕구,교습소,3000013605,그리니미술교습소,20190923,20190923,개원,,,72,9.0,예능(대),예능(중),,미술,,Y,N,34400,대전광역시 대덕구 동춘당로126번길 2,/ 107호 (송촌동/ 아이프라자),20210912
5,G10,대전광역시교육청,대덕구,교습소,3000013018,그리다미술교습소,20180309,20180221,개원,,,16,8.0,예능(대),예능(중),,미술,,Y,N,34304,대전광역시 대덕구 대덕대로 1587,/ 금강로하스엘크루아파트상가 205호 206호 (석봉동),20210912
6,G10,대전광역시교육청,대덕구,교습소,3000012173,그린콩영어교습소,20160318,20160318,개원,,,25,5.0,입시.검정 및 보습,보통교과,,보습,,Y,N,34407,대전광역시 대덕구 동춘당로 151,/ 상가101호 (법동),20210912
7,G10,대전광역시교육청,대덕구,교습소,2000001610,그린피아노교습소,19970708,19970708,개원,,,20,4.0,예능(대),예능(중),,음악,피아노초급(주5회):100000/ 피아노초급(주3회):85000/ 피아노중급(주5회):110000/ 피아노중급(주3회):95000/ 피아노고급:120000/ 체르니100(주3회):85000/ 체르니30(주3회):95000/ 체르니40(주3회):105000,N,,306758,대전광역시 대덕구 동춘당로 151 ,그린타운상가 103호(법동/ 그린아파트),20210912
8,G10,대전광역시교육청,대덕구,교습소,8537,김선생음악교습소,20071009,20071009,개원,,,20,5.0,예능(대),예능(중),,음악,피아노초급:120000/ 피아노중급:130000/ 피아노고급1:140000/ 피아노고급2:150000/ 드림:50000,Y,N,306806,대전광역시 대덕구 계족로608번길 46,  1층 (법동),20210912
9,G10,대전광역시교육청,대덕구,교습소,3000011526,김순천교과논술교습소,20140901,20140901,개원,,,6,3.0,입시.검정 및 보습,보통교과,초등논술주1회,보습,,,N,34385,대전광역시 대덕구 계족로663번길 29-18,/ 202호 (법동),20210912
