,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
0,I10,세종특별자치시교육청,세종특별자치시,교습소,3000012171,J제이수학교습소,20210809,20210809,개원,,,20,4.0,입시.검정 및 보습,보통교과,,보습,,Y,N,30150,세종특별자치시  남세종로 384,/ 호려울마을9단지 상가동 102호 (보람동),20210815
1,I10,세종특별자치시교육청,세종특별자치시,교습소,3000012057,M.S스터디수학교습소,20210216,20210216,개원,,,25,5.0,입시.검정 및 보습,보통교과,초등A,보습,초등A:160000/ 초등B:240000/ 초등C:160000/ 초등D:190000/ 중등A:165000/ 중등B:200000/ 고등A:180000/ 고등B:220000,Y,N,30151,세종특별자치시  시청대로 236,/ 새샘마을3단지 비상가동 비-122호 (소담동),20210604
2,I10,세종특별자치시교육청,세종특별자치시,교습소,3000011687,MJ 피아노 교습소,20190315,20190315,개원,,,35,5.0,예능(대),예능(중),피아노초급,음악,피아노초급:120000/ 피아노초급:100000/ 피아노중급:130000/ 피아노중급:110000/ 피아노고급:140000/ 피아노고급:150000/ 피아노입시:250000,Y,N,30153,세종특별자치시  대평로 34,/ 2동 203호 (대평동/ 해들마을4단지),20210604
3,I10,세종특별자치시교육청,세종특별자치시,교습소,3000012135,ST영어교습소,20210615,20210615,개원,,,28,7.0,입시.검정 및 보습,보통교과,,보습,,Y,N,30098,세종특별자치시  보듬4로 9,/ 카림애비뉴 2층 50호 (도담동/ 도램마을11단지),20210620
4,I10,세종특별자치시교육청,세종특별자치시,교습소,3000011656,THE 도레미 피아노 교습소,20190103,20190103,개원,,,30,9.0,예능(대),예능(중),,음악,,Y,N,30151,세종특별자치시  시청대로 236,/ 모아미래도아파트상가 B동 2층 129호 (소담동/ 새샘마을3단지),20210604
5,I10,세종특별자치시교육청,세종특별자치시,교습소,3000011870,YBM잉글루영어교습소(고운동캠퍼스),20200227,20200227,개원,,,18,6.0,입시.검정 및 보습,보통교과,영어A(초),보습,,Y,N,30063,세종특별자치시  마음로 49,/ 근린생활시설2/ B-0005 (고운동/ 가락마을2단지),20210604
6,I10,세종특별자치시교육청,세종특별자치시,교습소,3000011998,e해법가락18단지수학교습소,20201130,20201130,개원,,,48,8.0,입시.검정 및 보습,보통교과,,보습,,Y,Y,30062,세종특별자치시  마음안1로 137,/ 가락마을18단지 상가6동 203호 (고운동/ 가락마을18단지 근린생활시설),20210604
7,I10,세종특별자치시교육청,세종특별자치시,교습소,3000011102,e해법수학교습소,20160203,20160203,개원,,,64,8.0,입시.검정 및 보습,보통교과,,보습,,Y,N,30100,세종특별자치시  달빛1로 201,/ 에듀하이단지 상가 202호 (아름동),20210604
8,I10,세종특별자치시교육청,세종특별자치시,교습소,3000012112,가나그림미술교습소,20210514,20210514,개원,,,45,5.0,예능(대),예능(중),초급1,음악,,Y,N,30062,세종특별자치시  마음안1로 7,/ 1420동 107호 (고운동/ 가락마을14단지 근린생활시설),20210815
9,I10,세종특별자치시교육청,세종특별자치시,교습소,3000011873,가온리더수학교습소,20200227,20200227,개원,,,72,72.0,입시.검정 및 보습,보통교과,초등A,보습,,Y,N,30124,세종특별자치시  다정남로 22,/ 1단지 2동 123호  (다정동/ 가온마을1단지),20210604
10,I10,세종특별자치시교육청,세종특별자치시,교습소,3000012042,가온아뜰리에미술교습소,20210128,20210128,개원,,,36,6.0,예능(대),예능(중),,미술,,Y,N,30123,세종특별자치시  다정중앙로 20,/ 상가 213호 (다정동/ 가온마을7단지),20210604
11,I10,세종특별자치시교육청,세종특별자치시,교습소,3000011634,고고 수학교습소,20181213,20181213,개원,,,30,5.0,입시.검정 및 보습,보통교과,초등교구수학,보습,,Y,N,30130,세종특별자치시  누리로 27,/ 205호 (제이에이상가) (한솔동/ 첫마을6단지),20210801
12,I10,세종특별자치시교육청,세종특별자치시,교습소,3000011719,고운미술교습소,20190516,20190516,개원,,,36,9.0,예능(대),예능(중),,미술,,Y,N,30062,세종특별자치시  마음안1로 137,/ 상가6동 205호 (고운동/ 가락마을18단지 근린생활시설),20210604
