,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
0,M10,충청북도교육청,괴산군,교습소,3000011184,성균관수학교습소,20140218,20140217,개원,,,62,7.0,입시.검정 및 보습,보통교과,초등수학,보습,초등수학:126000/ 중등수학:180000/ 고등수학:208000,Y,,367805,충청북도 괴산군 괴산읍 읍내로4길 12,(괴산읍),20210604
1,M10,충청북도교육청,괴산군,교습소,3000012416,아이비영어교습소,20170428,20170428,개원,,,9,9.0,국제화,외국어,,실용외국어(유아/초·중·고),,Y,N,28033,충청북도 괴산군 괴산읍 읍내로 248,(괴산읍),20210725
2,M10,충청북도교육청,괴산군,교습소,3000011727,윤선생우리집앞영어교실괴산교습소,20150703,20150703,개원,,,5,5.0,국제화,외국어,,실용외국어(유아/초·중·고),,Y,N,367805,충청북도 괴산군 괴산읍 읍내로6길 20-6,(괴산읍/ 한샘학원),20210604
3,M10,충청북도교육청,괴산군,교습소,3000010615,해법영어교습소,20120514,20120514,개원,,,10,10.0,입시.검정 및 보습,보통교과,초등부,보습,,Y,N,367862,충청북도 괴산군 칠성면 도정로 67,(칠성면),20210905
4,M10,충청북도교육청,괴산군,교습소,3000012216,해법중국어괴산교습소,20161208,20161207,개원,,,36,9.0,국제화,외국어,중국어초급,실용외국어(유아/초·중·고),중국어초급:139000/ 중국어중/고급:149000/ HSK:174000/ 중국어초급:164000,Y,N,28035,충청북도 괴산군 괴산읍 읍내로4길 49,(괴산읍),20210604
5,M10,충청북도교육청,괴산군,학원,3000012717,NE능률영어학원,20180306,20180306,개원,,,90,10.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,28030,충청북도 괴산군 괴산읍 읍내로4길 10,(괴산읍),20210912
6,M10,충청북도교육청,괴산군,학원,3000013165,그레이스음악학원,20190802,20190802,개원,,,240,24.0,예능(대),예능(중),,음악,,Y,N,28035,충청북도 괴산군 괴산읍 읍내로4길 49,(괴산읍/ 월드태권도),20210604
7,M10,충청북도교육청,괴산군,학원,3000011002,성현학원,20130819,20130814,개원,,,177,59.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,367805,충청북도 괴산군 괴산읍 읍내로6길 24,/ 2층 (괴산읍/KT괴산지점),20210604
8,M10,충청북도교육청,괴산군,학원,430,승리학원,20011113,20011113,개원,,,460,50.0,종합(대),,보습/실용외국어(유아/초·중·고)/,,,Y,,367805,충청북도 괴산군 괴산읍 읍내로4길 17,(괴산읍/대우건설방수),20210604
9,M10,충청북도교육청,괴산군,학원,1000011062,에덴피아노학원,19860916,19860916,개원,,,48,12.0,예능(대),예능(중),음악/,음악,,Y,,367805,충청북도 괴산군 괴산읍 읍내로2길 37,(괴산읍/에덴피아노학원),20210711
10,M10,충청북도교육청,괴산군,학원,3000010942,영렘브란트미술학원,20130624,20130529,개원,20200207,20210306,34,17.0,예능(대),예능(중),미술/,미술,,Y,N,367805,충청북도 괴산군 괴산읍 읍내로 248,/ 201호 (괴산읍),20210604
11,M10,충청북도교육청,괴산군,학원,317,이문희음악학원,19920703,19920703,개원,,,55,11.0,예능(대),예능(중),,음악,,,,367805,충청북도 괴산군 괴산읍 읍내로2길 46,(괴산읍/이문희음악학원),20210604
12,M10,충청북도교육청,괴산군,학원,3000010404,파머스어학원,20120103,20120106,개원,,,180,164.0,종합(대),,보습/실용외국어(유아/초·중·고)/,,,Y,N,28034,충청북도 괴산군 괴산읍 읍내로 247-2,(괴산읍),20210604
13,M10,충청북도교육청,괴산군,학원,3000011899,팩토리얼학원,20151214,20151214,개원,20161031,20170108,497,71.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,28034,충청북도 괴산군 괴산읍 금산길 21,(괴산읍),20210604
14,M10,충청북도교육청,괴산군,학원,3000011334,푸른솔수학영어학원,20140725,20140721,개원,,,240,30.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,28030,충청북도 괴산군 괴산읍 읍내로6길 5,(괴산읍),20210604
15,M10,충청북도교육청,괴산군,학원,5467,플러스해법학원,20100824,20100824,개원,,,56,14.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,367802,충청북도 괴산군 괴산읍 읍내로4길 49,(괴산읍/태광아파트),20210604
16,M10,충청북도교육청,괴산군,학원,433,한샘학원,20011109,20011109,개원,,,420,60.0,종합(대),,보습/,,,Y,N,367805,충청북도 괴산군 괴산읍 읍내로6길 20-6,(괴산읍/한샘학원),20210711
17,M10,충청북도교육청,단양군,교습소,3000011120,꿈이있는미술교육꽃삽교습소,20140101,20131230,개원,,,54,9.0,예능(대),예능(중),미술(유치부),미술,미술(유치부):31500/ 미술(초등부):120000,Y,N,27010,충청북도 단양군 단양읍 군청로 2,/ 2층 (단양읍/ 단양군새마을회관),20210604
18,M10,충청북도교육청,단양군,교습소,3000013433,더클래식피아노교습소,20200529,20200529,개원,,,60,5.0,예능(대),예능(중),,음악,,Y,N,27011,충청북도 단양군 단양읍 도전3로 3,/ 1층 (단양읍/ 민물고기직판장),20210711
19,M10,충청북도교육청,단양군,교습소,3000011562,매포GGE영어교습소,20150211,20150211,개원,,,36,6.0,입시.검정 및 보습,보통교과,초등영어,보습,초등영어:120000/ 중등영어:150000,Y,N,27005,충청북도 단양군 매포읍 평동17길 10,/ 1층 (매포읍),20210604
20,M10,충청북도교육청,단양군,교습소,2473,삼성미술교습소,20050517,20050517,개원,,,189,9.0,예능(대),예능(중),미술기초반(주2회),미술,미술기초반(주2회):80000/ 미술기초반(주3회):110000/ 미술기초반(주5회):120000,Y,N,27013,충청북도 단양군 단양읍 삼봉로 103,(단양읍/ 삼성태권도장),20210604
21,M10,충청북도교육청,단양군,교습소,3000013435,새론국어교습소,20200602,20200602,개원,,,108,9.0,입시.검정 및 보습,보통교과,국어(초등),보습,국어(초등):50000/ 국어(중등):70000/ 국어(고등):150000,Y,N,27011,충청북도 단양군 단양읍 도전3로 3,/ 1층 (단양읍/ 민물고기직판장),20210711
22,M10,충청북도교육청,단양군,교습소,3000013002,선데이 아트 스튜디오(Sunday Art-Studio) 미술 교습소,20190128,20190122,개원,,,27,9.0,예능(대),예능(중),미술 주1회반,미술,,Y,N,27005,충청북도 단양군 매포읍 평동23길 4,/ 1층 (매포읍/ 대원건설),20210711
23,M10,충청북도교육청,단양군,교습소,3000010099,숲피아노교습소,20110516,20110516,개원,,,75,5.0,예능(대),예능(중),피아노 초급(바이엘),음악,피아노 초급(바이엘):100000/ 피아노 중급(체르니100):110000/ 피아노 중급(체르니30):120000/ 피아노 고급(체르니40):130000/ 입시 피아노:200000,Y,N,27012,충청북도 단양군 단양읍 도전1길 13,/ 1층 (단양읍),20210604
24,M10,충청북도교육청,단양군,교습소,3000010532,피아노숲피아노교습소,20120420,20120420,개원,,,20,5.0,예능(대),예능(중),바이엘,음악,바이엘:80000/ 중급:85000/ 고급:90000/ 취미반:100000,Y,N,27005,충청북도 단양군 매포읍 평동17길 15,/ 1층 (매포읍),20210604
25,M10,충청북도교육청,단양군,학원,530,단양루시드어학원,19990702,19990702,개원,,,158,101.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,27012,충청북도 단양군 단양읍 도전9길 3,(단양읍),20210604
26,M10,충청북도교육청,단양군,학원,627,단양입시학원,19850620,19850620,개원,,,200,40.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,27011,충청북도 단양군 단양읍 도전3로 7,/ 1층 (단양읍/ 단양입시학원),20210604
27,M10,충청북도교육청,단양군,학원,3000013298,단양커피바리스타학원,20191226,20191226,개원,,,288,24.0,직업기술,산업응용기술,식음료품(바리스타/소믈리에)/,식음료품(바리스타/소믈리에),,Y,N,27011,충청북도 단양군 단양읍 삼봉로 312,/ 2층 (단양읍/ 복생반점),20210711
28,M10,충청북도교육청,단양군,학원,786,대영학원,19890414,19890414,개원,,,396,106.0,입시.검정 및 보습,보통교과,보습/입시/,보습,,Y,N,27010,충청북도 단양군 단양읍 삼봉로 269,/ 2층 (단양읍),20210604
29,M10,충청북도교육청,단양군,학원,3000011801,도담도담학원,20150914,20150911,개원,,,420,30.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,27010,충청북도 단양군 단양읍 군청로 2,/ 4층 (단양읍/ 단양군새마을회관),20210604
30,M10,충청북도교육청,단양군,학원,3000012176,도전차수학학원,20161031,20161031,개원,,,60,15.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,27011,충청북도 단양군 단양읍 삼봉로 270,/ 2층 (단양읍),20210604
31,M10,충청북도교육청,단양군,학원,1852,매포루시드입시학원,20041213,20041213,개원,20130606,20131231,225,90.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,27004,충청북도 단양군 매포읍 평동1로 18,(매포읍),20210604
32,M10,충청북도교육청,단양군,학원,2507,비엔나피아노학원,20050604,20050604,개원,,,112,7.0,예능(대),예능(중),음악/,음악,,Y,N,27005,충청북도 단양군 매포읍 평동17길 12,(매포읍),20210604
33,M10,충청북도교육청,단양군,학원,521,예은피아노학원,19910325,19910325,개원,,,128,8.0,예능(대),예능(중),음악/,음악,,Y,N,27011,충청북도 단양군 단양읍 도전5길 20,(단양읍),20210604
34,M10,충청북도교육청,단양군,학원,578,예일학원,20011105,20011105,개원,,,120,45.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,27011,충청북도 단양군 단양읍 삼봉로 266,/ 2층 (단양읍),20210604
35,M10,충청북도교육청,단양군,학원,3000012958,윤선생우리집앞영어교실 단양도전학원,20190104,20190104,개원,,,500,50.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,27012,충청북도 단양군 단양읍 도전1길 15,/ 1층 (단양읍),20210711
36,M10,충청북도교육청,단양군,학원,3000012175,윤선생우리집앞영어교실매포학원,20161028,20161028,개원,,,280,8.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,27005,충청북도 단양군 매포읍 평동2로 9,/ 1층 (매포읍),20210711
37,M10,충청북도교육청,단양군,학원,2412,한샘학원,20050420,20050420,개원,,,210,70.0,입시.검정 및 보습,보통교과,입시/,입시,,Y,N,27012,충청북도 단양군 단양읍 도전3로 2,/ 2층 (단양읍),20210604
38,M10,충청북도교육청,단양군,학원,654,현대학원,19841211,19841211,개원,,,100,25.0,입시.검정 및 보습,보통교과,보습/,보습,,Y,N,27011,충청북도 단양군 단양읍 도전4길 4,(단양읍),20210711
39,M10,충청북도교육청,보은군,교습소,3000010859,그림담기미술교습소,20130304,20130226,개원,,,36,20.0,예능(대),예능(중),미술,미술,미술:130000,,N,28942,충청북도 보은군 보은읍 동광길 28,(보은읍/주택),20210711
40,M10,충청북도교육청,보은군,교습소,3000012054,더플러스영어교습소,20160601,20160601,개원,,,12,18.0,입시.검정 및 보습,보통교과,영어(초),보습,영어(초):80000/ 영어(중):90000/ 영어(고):100000,Y,N,28947,충청북도 보은군 보은읍 보은로 125,/ 2층 (보은읍),20210711
41,M10,충청북도교육청,보은군,교습소,3000012406,박쌤 수학 교습소,20170426,20170426,개원,,,12,20.0,입시.검정 및 보습,보통교과,수학(초등),보습,수학(초등):150000/ 수학(중등):200000,Y,N,28949,충청북도 보은군 보은읍 삼산로 35,/ 2층 (보은읍),20210711
42,M10,충청북도교육청,보은군,교습소,3000011625,아나크수학교습소,20150305,20150305,개원,,,40,15.0,입시.검정 및 보습,보통교과,초등,보습,초등:150000/ 중등:220000/ 고등:200000,Y,N,28943,충청북도 보은군 보은읍 보은로 135,(보은읍),20210711
43,M10,충청북도교육청,보은군,교습소,3000013072,정상수학교습소,20190327,20190326,개원,,,15,14.0,입시.검정 및 보습,보통교과,초등수학,보습,초등수학:160000/ 중등수학:200000/ 고등수학:240000,Y,N,28948,충청북도 보은군 보은읍 삼산로 20,/ 에메랄드 빌딩 3층 301호 (보은읍),20210711
