,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
0,N10,충청남도교육청,계룡시,교습소,3000014054,가연독서논술교습소,20190426,20190426,개원,,,28,7.0,입시.검정 및 보습,보통교과,초등독서논술,보습·논술,초등독서논술:100000/ 초등역사논술:100000/ 중등독서논술:130000/ 중등역사논술:130000,Y,N,32825,충청남도 계룡시 장안로 75,/ 상가동 208/209호 일부 (금암동/ 우림루미아트아파트),20210613
1,N10,충청남도교육청,계룡시,교습소,5453,마야미술교습소,20100831,20100825,개원,,,45,9.0,예능(대),예능(중),초(주2회),미술,초(주2회):92000/ 초(주3회):103500/ 초(주4회):110400,Y,N,32825,충청남도 계룡시 장안로 75,/ 상가동 210호 (금암동/ 우림루미아트아파트),20210704
2,N10,충청남도교육청,계룡시,교습소,3000012660,미술아놀자미술교습소,20160621,20160621,개원,,,45,9.0,예능(대),예능(중),,미술,,Y,N,32837,충청남도 계룡시 두마면 사계로 101,/ 계룡더샵아파트상가동 105호 (두마면/ 계룡 더 샵 아파트),20210613
3,N10,충청남도교육청,계룡시,교습소,3000014703,바이올린샘 음악교습소,20210201,20210201,개원,,,49,7.0,예능(대),예능(중),,음악,,Y,N,32826,충청남도 계룡시 서금암로 10,/ 한양아이클래스 114호 (금암동/ 계룡한양아이클래스),20210613
4,N10,충청남도교육청,계룡시,교습소,3000014779,비상잉글리시아이계룡금암영어교습소,20210419,20210419,개원,,,36,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,32825,충청남도 계룡시 장안로 75,/ 상가동 204/205호 (금암동/ 우림루미아트아파트),20210613
5,N10,충청남도교육청,계룡시,교습소,3000014764,비엠수학교습소,20210406,20210402,개원,,,45,9.0,입시.검정 및 보습,보통교과,,입시,,Y,N,32827,충청남도 계룡시 서금암3길 16-3,/ 301호 (금암동),20210613
6,N10,충청남도교육청,계룡시,교습소,3000013881,성균관한국사교습소,20190114,20190114,개원,,,8,8.0,입시.검정 및 보습,보통교과,한국사,보습,한국사:100000,Y,N,32808,충청남도 계룡시 엄사면 번영10길 37,/ 1층/102호 (엄사면),20210613
7,N10,충청남도교육청,계룡시,교습소,3000013924,솔루니계룡금암독서논술교습소,20190208,20190208,개원,,,81,9.0,입시.검정 및 보습,보통교과,독서논술,입시·논술,독서논술:117000/ 역사:107000/ 교과논술:130000/ 독서 1:73000/ 독서 2:82000/ 문학:110000/ 문학심화:140000/ 통합논술:129000/ 통합논술심화:160000,Y,N,32824,충청남도 계룡시 장안2길 3-4,/ 1층 (금암동),20210613
8,N10,충청남도교육청,계룡시,교습소,3000012554,쇼팽피아노교습소,20160323,20160323,개원,,,25,5.0,예능(대),예능(중),피아노(초급),음악,피아노(초급):120000/ 피아노(중급):130000/ 피아노(고급):140000,Y,N,32825,충청남도 계룡시 장안로 75,/ 206/207호 (금암동/ 우림루미아트),20210704
9,N10,충청남도교육청,계룡시,교습소,3164,신성피아노교습소,20070131,20070131,개원,,,27,32.0,예능(대),예능(중),피아노(초급),음악,,Y,N,32824,충청남도 계룡시 장안1길 9,/ 201호 (금암동/ 신성1차미소지움아파트),20210613
10,N10,충청남도교육청,계룡시,교습소,3000010066,썸아트미술교습소,20110321,20110321,개원,,,63,9.0,예능(대),예능(중),미술(초),미술,,Y,N,32835,충청남도 계룡시 두마면 사계로 51,/ 205호 (두마면/ 계룡대림e편한세상아파트),20210613
11,N10,충청남도교육청,계룡시,교습소,3000011615,에듀프라임영어교습소,20140401,20140401,개원,,,20,9.0,입시.검정 및 보습,보통교과,초등(영어),보습,초등(영어):200000/ 중2(영어):200000/ 중3(영어):200000/ 고등(영어):250000,,N,32811,충청남도 계룡시 엄사면 번영3길 43,/ 204호 (엄사면/ 비사벌아파트),20210613
12,N10,충청남도교육청,계룡시,교습소,3000010406,에쏘르아뜰리에미술교습소,20111128,20111122,개원,,,24,8.0,예능(대),예능(중),미술(초등),미술,,Y,N,32801,충청남도 계룡시 엄사면 계룡대로 518,/ 4층 (엄사면),20210613
13,N10,충청남도교육청,계룡시,교습소,4670,엘로힘음악교습소,20090623,20090623,개원,,,40,5.0,예능(대),예능(중),피아노(초급),음악,,Y,N,32837,충청남도 계룡시 두마면 사계로 101,/ 상가 103호 (두마면/ 계룡 더 샵 아파트),20210613
14,N10,충청남도교육청,계룡시,교습소,3000011106,엘리제음악교습소,20130201,20130131,개원,,,40,5.0,예능(대),예능(중),피아노(초),음악,,Y,N,32811,충청남도 계룡시 엄사면 번영3길 43,/ 203호 (엄사면/ 비사벌아파트),20210613
15,N10,충청남도교육청,계룡시,교습소,3000013911,윤선생우리집앞영어교실두마영어교습소,20190201,20190201,개원,,,45,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,32837,충청남도 계룡시 두마면 팥거리로 176-8,/ 101호 (두마면),20210613
16,N10,충청남도교육청,계룡시,교습소,3000011432,재능바둑교실교습소,20131017,20131017,개원,,,27,9.0,기타(대),기타(중),바둑(기본),바둑,바둑(기본):110000/ 바둑(주3회):75000/ 바둑(주2회):55000,Y,N,32811,충청남도 계룡시 엄사면 번영3길 43,/ 상가동 205호 (엄사면/ 비사벌아파트),20210613
17,N10,충청남도교육청,계룡시,교습소,3000013683,채송화미술교습소,20180903,20180828,개원,,,45,6.0,예능(대),예능(중),초등부,미술,초등부:96600/ 초등부:128800/ 중등입시:89600/ 중등입시 :134400/ 중등입시:224000/ 고등입시 :89600/ 고등입시:134400,Y,N,32824,충청남도 계룡시 장안1길 7,/ 상가 102호 (금암동/ 신성1차미소지움아파트 상가),20210613
18,N10,충청남도교육청,계룡시,교습소,3000011061,최선수학교습소,20121228,20121231,개원,,,36,9.0,입시.검정 및 보습,보통교과,수학(초등),보습,수학(초등):200000/ 수학(중등):250000/ 수학(고등1):300000/ 수학(고등2):350000,Y,N,32804,충청남도 계룡시 엄사면 번영로 26,/ 304호 (엄사면/ 한의원),20210613
