,ATPT_OFCDC_SC_CODE,ATPT_OFCDC_SC_NM,ADMST_ZONE_NM,ACA_INSTI_SC_NM,ACA_ASNUM,ACA_NM,ESTBL_YMD,REG_YMD,REG_STTUS_NM,CAA_BEGIN_YMD,CAA_END_YMD,TOFOR_SMTOT,DTM_RCPTN_ABLTY_NMPR_SMTOT,REALM_SC_NM,LE_ORD_NM,LE_CRSE_LIST_NM,LE_CRSE_NM,PSNBY_THCC_CNTNT,THCC_OTHBC_YN,BRHS_ACA_YN,FA_RDNZC,FA_RDNMA,FA_RDNDA,LOAD_DTM
0,P10,전라북도교육청,고창군,교습소,3000014540,E-Lab과학교습소,20200217,20200217,개원,,,18,6.0,입시.검정 및 보습,보통교과,,보습,,Y,N,56428,전라북도 고창군 고창읍 중앙로 269,/ 2층 (고창읍),20210613
1,P10,전라북도교육청,고창군,교습소,2000007643,기쁨피아노교습소,19931224,19931224,개원,,,12,4.0,예능(대),예능(중),피아노(초급),음악,,Y,N,585801,전라북도 고창군 고창읍 교촌1길 12 ,,20210613
2,P10,전라북도교육청,고창군,교습소,3000014439,김공수영어교습소,20191126,20191128,개원,,,8,8.0,국제화,외국어,,실용외국어(유아/초·중·고),,Y,N,56433,전라북도 고창군 고창읍 모양성로 41,(고창읍/ GS25 편의점),20210613
3,P10,전라북도교육청,고창군,교습소,3000013922,김유식수학교습소,20181022,20181022,개원,,,24,8.0,입시.검정 및 보습,보통교과,,보습,,Y,N,56428,전라북도 고창군 고창읍 교촌3길 4,/ 1층 (고창읍/ 로즈),20210613
4,P10,전라북도교육청,고창군,교습소,3000013923,날개달린그림미술교습소,20181022,20181022,개원,,,16,8.0,예능(대),예능(중),,미술,,Y,N,56428,전라북도 고창군 고창읍 교촌3길 4,/ 1층 (고창읍/ 로즈),20210613
5,P10,전라북도교육청,고창군,교습소,2000007676,뮤직캠프유빌라테피아노교습소,20010402,20010402,개원,,,30,5.0,예능(대),예능(중),피아노(초급),음악,,Y,N,56436,전라북도 고창군 고창읍 중앙로 170-6,/ 상가 1층 (고창읍/ 가온채아파트),20210613
6,P10,전라북도교육청,고창군,교습소,3000014831,바흐작곡교습소,20201204,20201204,개원,,,24,2.0,예능(대),예능(중),초,음악,초:70000/ 중:75000/ 고:80000,Y,N,56439,전라북도 고창군 고창읍 남구3길 21,(고창읍),20210613
7,P10,전라북도교육청,고창군,교습소,41595,배수미수학교습소,20100104,20091231,개원,,,36,9.0,입시.검정 및 보습,보통교과,수학(초등),보습,수학(초등):150000/ 수학(중등):150000/ 수학(고등):250000,Y,,585715,전라북도 고창군 고창읍 성산로 19 고창읍내휴먼시아 상가 202호,,20210613
8,P10,전라북도교육청,고창군,교습소,3000011315,본(本)수학교실교습소,20130725,20130725,개원,,,18,6.0,입시.검정 및 보습,보통교과,수학,보습,,Y,N,585803,전라북도 고창군 고창읍 보릿골로 195-14,/ 상가 103호 (고창읍/성산 현대아파트),20210613
9,P10,전라북도교육청,고창군,교습소,3000014257,송은혜수학교실교습소,20190607,20190607,개원,,,27,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,56432,전라북도 고창군 고창읍 중앙로 232,(고창읍/ 우성회관),20210613
10,P10,전라북도교육청,고창군,교습소,3000012745,수학교습소,20160317,20160317,개원,,,27,9.0,입시.검정 및 보습,보통교과,,보습,,N,N,56433,전라북도 고창군 고창읍 성산2길 31,(고창읍),20210613
11,P10,전라북도교육청,고창군,교습소,3000011625,아로마(Aroma)영어교습소,20140317,20140318,개원,,,18,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,585801,전라북도 고창군 고창읍 교촌3길 13,(고창읍),20210613
12,P10,전라북도교육청,고창군,교습소,3000014445,알파바둑교습소,20191202,20191127,개원,,,8,8.0,기타(대),기타(중),,바둑,,Y,N,56433,전라북도 고창군 고창읍 성산3길 27,(고창읍/ 예솔학원),20210613
13,P10,전라북도교육청,고창군,교습소,3000014607,엠제이잉글리쉬영어교습소,20200417,20200417,개원,,,12,6.0,국제화,외국어,,실용외국어(유아/초·중·고),,Y,N,56433,전라북도 고창군 고창읍 성산5길 9,/ 2층 (고창읍/ 연합동물병원),20210613
14,P10,전라북도교육청,고창군,교습소,3000010392,열린수학교습소,20110927,20110927,개원,,,30,6.0,입시.검정 및 보습,보통교과,수학(초등),보습,,Y,N,585807,전라북도 고창군 고창읍 중거리당산로 101 ,,20210613
15,P10,전라북도교육청,고창군,교습소,3000014125,우빈수학교습소,20190305,20190305,개원,,,30,10.0,입시.검정 및 보습,보통교과,,보습,,Y,N,56430,전라북도 고창군 고창읍 월곡공원2길 43,(고창읍),20210613
16,P10,전라북도교육청,고창군,교습소,3000010802,윤선생우리집앞영어교실현대영어교습소,20120612,20120612,개원,,,16,8.0,입시.검정 및 보습,보통교과,영어(초등),보습,,Y,N,585803,전라북도 고창군 고창읍 보릿골로 195-14,/ 302호 (고창읍/성산 현대아파트),20210613
17,P10,전라북도교육청,고창군,교습소,2000007664,은해피아노교습소,19961121,19961121,개원,,,4,4.0,예능(대),예능(중),피아노(초급),음악,,Y,,585821,전라북도 고창군 흥덕면 선운대로 3749 ,,20210613
18,P10,전라북도교육청,고창군,교습소,3000013925,이레수학교습소,20181024,20181024,개원,,,9,3.0,입시.검정 및 보습,보통교과,수학(초),보습,,Y,N,56428,전라북도 고창군 고창읍 중앙로 269,(고창읍),20210613
19,P10,전라북도교육청,고창군,교습소,3000013332,잉글리쉬 캠프,20170620,20170620,개원,,,24,9.0,입시.검정 및 보습,보통교과,,보습,,Y,N,56435,전라북도 고창군 고창읍 성산로 19,/ 2층 204호 (고창읍/ 고창읍내휴먼시아),20210613
20,P10,전라북도교육청,고창군,교습소,3000013696,정숙퀸영어교습소,20180403,20180403,개원,,,18,9.0,국제화,외국어,,실용외국어(유아/초·중·고),,Y,Y,56434,전라북도 고창군 고창읍 성산로 49,/ 1층 (고창읍),20210613
21,P10,전라북도교육청,고창군,교습소,2000007670,중앙피아노교습소,19980711,19980711,개원,,,4,4.0,예능(대),예능(중),피아노(초급),음악,,Y,,585881,전라북도 고창군 무장면 성내길 9,(무장면),20210613
