,title,link,description,cafename,cafeurl
0,고2수학<b>과외</b>,http://cafe.naver.com/kunsanbeauty/963227,고2여학생 가르쳐주실 수학<b>과외</b>선생님 <b>추천</b> 좀 해<b>주세요</b>. 경험많고 실력있는 선생님이면 좋겠어요.,군산맘 / 미녀맘[비영리카페],https://cafe.naver.com/kunsanbeauty
1,글씨가 너무 악필이에요..ㅠ,http://cafe.naver.com/studymokdong/133191,"쪽 지 로 학원이나 <b>과외</b>선생님을 소개받는경우 검증되지않고 단순 홍보인 경우도 많이 있습니다. 실제로 보내신분들의 경험을 덧글로 <b>추천해</b>주시기 바랍니다.(본 내용은 삭제후 글을 올려 주시기 바랍니다, &quot; 쪽 지... ",목동의 공부잘하는 아이,https://cafe.naver.com/studymokdong
2,초등 영어학습지 <b>추천해주세요</b>!,http://cafe.naver.com/tgpia/584228,8시쯤에 오시는 학습지 알아보고있는데 요새는 저희때랑 달리 다양하게 많더라구용~~ 체계적이고 아이 재밌게 할 수 있는 영어학습지 <b>추천</b>좀 해<b>주세요</b>~ 게시글이 마음에 들었다면 좋아요♥를 꾹/댓글~~! 글쓴이(살통회원)... ,"살통영(통영여행,통영가볼만한곳,통영...",https://cafe.naver.com/tgpia
3,[<b>과외</b>]중학 수학 <b>과외</b>,http://cafe.naver.com/bundangchild/14291,스스로 과제를 하기 무척 어려워하여 옆에 끼고 꼼꼼하게 지도해 주실 <b>과외</b> 선생님을 <b>추천</b> 받고 싶습니다.... 선생님 있으면 <b>추천</b> 부탁드립니다. 참고로 여기는 봇들마을입니다. 사소한 정보도 괜찮습니다 함께 나눠<b>주세요</b>.,[ 분당맘스쿨 ] 분당맘 판교맘의 학원...,https://cafe.naver.com/bundangchild
4,(상남동또는성주동) 독서 논술 선생님 <b>추천</b>좀 해<b>주세요</b>,http://cafe.naver.com/masanmam/5701822,--------------------------------------------------------- * 게시글 작성 안내 * 글 제목에 글의 내용이 담기도록 작성하기! 가급적 직접 촬영&amp;제작한 사진으로 글 작성하기! --------------------------------------------------------- 상남동 한솔 플ㄹ ㅌ... ,"창원 줌마렐라 [경남,마산,진해,함안,...",https://cafe.naver.com/masanmam
5,영어 회화 <b>과외</b>선생님 <b>추천</b>,http://cafe.naver.com/ineedvacation/78396,"캐나다에서 초, 중, 고 졸업하고, 미국에서 대학 졸업한 남자 선생님<b>추천</b>하려고요~ 16년 정도 해외 거주했고... 영어 표현 배우시고 싶으신 분들 위주로 수업하신다고 해요. 혹시 선생님 연락처 필요하신 분들은 댓글 <b>주세요</b>~",베이비시터구인구직,https://cafe.naver.com/ineedvacation
6,초6 수학 <b>과외</b>선생님 <b>추천해주세요</b>,http://cafe.naver.com/dongtantwomom/1616624,1:1로 진행하는 수학 <b>과외</b> 선생님 <b>추천해주세요</b>. 이해력이 부족한지 친구들과 그룹으로 수업을 들어도 좀 뒤쳐져서요..,동탄2신도시맘 ♣ 동탄투맘 모여요~ [...,https://cafe.naver.com/dongtantwomom
7,영어 회화 <b>과외</b>선생님 <b>추천</b>,http://cafe.naver.com/seosanmom/980667,"선생님<b>추천</b>하려고요~ 16년 정도 거주했고, 북미식 영어를 원어민 수준으로 구사해요. 토익 스피킹 만점... 주말만 가능하고, 토,일 주 2회 하신대요. 혹시 선생님 연락처 필요하신 분들은 댓글 <b>주세요</b>~",★서산 엄마들의 모임★,https://cafe.naver.com/seosanmom
8,영통구청쪽 고등 국어 <b>과외</b>나 학원 <b>추천해주세요</b> (광고는 사절요),http://cafe.naver.com/byungs94/6784458,특목고 준비하는 중3입니다. 고등국어 <b>과외</b>나 학원 <b>추천해주세요</b>. 국어를 놓치고 있었네요,♬~수원맘 모여라,https://cafe.naver.com/byungs94
9,"피아노<b>과외</b> 선생님한테, 200만원대 선물 부담스러울까요?",http://cafe.naver.com/dieselmania/36066403,"매주와주시고, 엄청 성심성의껏 알려주셔서 감사해서 <b>과외</b>선생님한테 말씀드리고 유튭에서 <b>추천</b>많은 200만원대 야마하 전자피아노 하나 주문해드리고싶은데 부담스럽진 않을까요?? 얘길 어떻게 해야할지 모르겠네요",●디젤매니아● 대한민국 일등 패션 커...,https://cafe.naver.com/dieselmania
