,주소,특목고진학자수,법정동코드
0,강원도 강릉시,23.0,42150
1,강원도 고성군,3.0,42820
2,강원도 동해시,3.0,42170
3,강원도 삼척시,6.0,42230
4,강원도 속초시,6.0,42210
5,강원도 양구군,0.0,42800
6,강원도 양양군,0.0,42830
7,강원도 영월군,0.0,42750
8,강원도 원주시,72.0,42130
9,강원도 인제군,3.0,42810
10,강원도 정선군,0.0,42770
11,강원도 철원군,1.0,42780
12,강원도 춘천시,57.0,42110
13,강원도 태백시,1.0,42190
14,강원도 평창군,2.0,42760
15,강원도 홍천군,3.0,42720
16,강원도 화천군,0.0,42790
17,강원도 횡성군,0.0,42730
18,경기도 가평군,49.0,41820
19,경기도 고양시,198.0,41280
20,경기도 과천시,44.0,41290
21,경기도 광명시,84.0,41210
22,경기도 광주시,21.0,41610
23,경기도 구리시,52.0,41310
24,경기도 군포시,102.0,41410
25,경기도 김포시,91.0,41570
26,경기도 남양주시,75.0,41360
27,경기도 동두천시,29.0,41250
28,경기도 부천시,100.0,41190
29,경기도 성남시,193.0,41130
30,경기도 수원시,155.0,41110
31,경기도 시흥시,43.0,41390
32,경기도 안산시,87.0,41270
33,경기도 안성시,11.0,41550
34,경기도 안양시,213.0,41170
35,경기도 양주시,36.0,41630
36,경기도 양평군,3.0,41830
37,경기도 여주시,5.0,41670
38,경기도 연천군,2.0,41800
39,경기도 오산시,17.0,41370
40,경기도 용인시,162.0,41460
41,경기도 의왕시,40.0,41430
42,경기도 의정부시,90.0,41150
43,경기도 이천시,4.0,41500
44,경기도 파주시,60.0,41480
45,경기도 평택시,13.0,41220
46,경기도 포천시,12.0,41650
47,경기도 하남시,15.0,41450
48,경기도 화성시,96.0,41590
49,경상남도 거제시,31.0,48310
50,경상남도 거창군,2.0,48880
51,경상남도 고성군,0.0,48820
52,경상남도 김해시,127.0,48250
53,경상남도 남해군,2.0,48840
54,경상남도 밀양시,6.0,48270
55,경상남도 사천시,7.0,48240
56,경상남도 산청군,0.0,48860
57,경상남도 양산시,32.0,48330
58,경상남도 의령군,0.0,48720
59,경상남도 진주시,44.0,48170
60,경상남도 창녕군,1.0,48740
61,경상남도 창원시,162.0,48120
62,경상남도 통영시,6.0,48220
63,경상남도 하동군,1.0,48850
64,경상남도 함안군,4.0,48730
65,경상남도 함양군,2.0,48870
66,경상남도 합천군,2.0,48890
67,경상북도 경산시,18.0,47290
68,경상북도 경주시,28.0,47130
69,경상북도 고령군,3.0,47830
70,경상북도 구미시,76.0,47190
71,경상북도 군위군,0.0,47720
72,경상북도 김천시,15.0,47150
73,경상북도 문경시,6.0,47280
74,경상북도 봉화군,1.0,47920
75,경상북도 상주시,7.0,47250
76,경상북도 성주군,3.0,47840
77,경상북도 안동시,12.0,47170
78,경상북도 영덕군,4.0,47770
79,경상북도 영양군,0.0,47760
80,경상북도 영주시,2.0,47210
81,경상북도 영천시,3.0,47230
82,경상북도 예천군,2.0,47900
83,경상북도 울릉군,1.0,47940
84,경상북도 울진군,1.0,47930
85,경상북도 의성군,2.0,47730
86,경상북도 청도군,1.0,47820
87,경상북도 청송군,0.0,47750
88,경상북도 칠곡군,11.0,47850
89,경상북도 포항시,29.0,47110
90,광주광역시 광산구,41.0,29200
91,광주광역시 남구,30.0,29155
92,광주광역시 동구,5.0,29110
93,광주광역시 북구,35.0,29170
94,광주광역시 서구,32.0,29140
95,대구광역시 남구,6.0,27200
96,대구광역시 달서구,54.0,27290
97,대구광역시 달성군,10.0,27710
98,대구광역시 동구,20.0,27140
99,대구광역시 북구,54.0,27230
100,대구광역시 서구,10.0,27170
101,대구광역시 수성구,81.0,27260
102,대구광역시 중구,6.0,27110
103,대전광역시 대덕구,27.0,30230
104,대전광역시 동구,28.0,30110
105,대전광역시 서구,123.0,30170
106,대전광역시 유성구,129.0,30200
107,대전광역시 중구,38.0,30140
108,부산광역시 강서구,18.0,26440
109,부산광역시 금정구,102.0,26410
110,부산광역시 기장군,23.0,26710
